infinitive,headword,preterite,past_participle,classification,notes
henten,henten,"hente(30), hent(2)",hent(10),weak,classified by morphological evidence
herkenen,herkenen,herkned(6),herkned(2),weak,classified by morphological evidence
hien,hien,hied(1),hyed(2),weak,classified by morphological evidence
hitten,hitt,hitte(5),hit(1),weak,classified by morphological evidence
honouren,honouren,,"honoured(9), honured(3)",weak,classified by morphological evidence
hunten,hunten,hunted(4),hunted(4),weak,classified by morphological evidence
hurten,hurten,"hurte(4), hurt(2)","hurt(16), yhurt(2)",weak,classified by morphological evidence
ibringen,ibring,,"ybrought(7), ybroght(6), ibrought(3)",weak,classified by morphological evidence
igreten,igret,,ygret(1),weak,classified by morphological evidence
ikissen,ikiss,,ykist(2),weak,classified by morphological evidence
ileden,iled,,ylad(2),weak,classified by morphological evidence
ileien,ilei,,"yleid(1), yleyd(1)",weak,classified by morphological evidence
imaken,imak,,"ymaked(7), ymaad(4), imaked(1), ymad(1)",weak,classified by morphological evidence
ipassen,ipass,,ypassed(2),weak,classified by morphological evidence
ireden,ired,,yred(2),weak,classified by morphological evidence
isenden,isend,,ysent(2),weak,classified by morphological evidence
isetten,isett,,"yset(2), iset(2)",weak,classified by morphological evidence
isheuen,isheu,,yshewed(2),weak,classified by morphological evidence
itechen,itech,,ytaught(1),weak,classified by morphological evidence
iturnen,iturn,,yturned(4),weak,classified by morphological evidence
japen,japen,japed(1),japed(2),weak,classified by morphological evidence
jugen,jugen,,"juged(3), jugged(1)",weak,classified by morphological evidence
kemben,kemben,kembde(1),kembd(7),weak,classified by morphological evidence
kepen,kepen,"kepte(25), kept(1)",kept(21),weak,classified by morphological evidence
kithen,kithen,kidde(1),kithed(2),weak,classified by morphological evidence
knelen,knelen,kneled(4),,weak,classified by morphological evidence
knitten,knitten,,"knyt(6), knit(5)",weak,classified by morphological evidence
knokken,knokken,knokked(3),,weak,classified by morphological evidence
labouren,labouren,laboured(2),laboured(3),weak,classified by morphological evidence
lakken,lakken,"lakked(15), lakkede(4)",,weak,classified by morphological evidence
lasen,las,,laced(2),weak,classified by morphological evidence
lepen,lepen,"leep(4), lepte(2)",,weak,classified by morphological evidence
lernen,lernen,,lerned(13),weak,classified by morphological evidence
letten,letten,"letted(4), lette(2)",let(5),weak,classified by morphological evidence
lissen,lissen,,"ylissed(2), lissed(2)",weak,classified by morphological evidence
loggen,logg,,"logged(4), ylogged(2)",weak,classified by morphological evidence
lullen,lull,lulled(1),,weak,classified by morphological evidence
lusten,lust,"luste(3), lust(2)",,weak,classified by morphological evidence
marien,mari,"maried(1), maryed(1)",,weak,classified by morphological evidence
masken,mask,,ymasked(2),weak,classified by morphological evidence
medlen,medlen,,"ymedled(1), imedled(1)",weak,classified by morphological evidence
misaccounten,misaccount,,misacounted(2),weak,classified by morphological evidence
mishappen,mishapp,,myshapped(1),weak,classified by morphological evidence
misseien,missei,,"missaid(1), myssayd(1), misseid(1), mysseyd(1)",weak,classified by morphological evidence
mistrusten,mistrusten,,"mistrusted(1), mystrusted(1)",weak,classified by morphological evidence
mortheren,mortheren,,mordred(14),weak,classified by morphological evidence
musen,mus,,"ymused(1), imused(1)",weak,classified by morphological evidence
nemnen,nemnen,nempned(2),,weak,classified by morphological evidence
nombren,nombren,,"nombred(1), noumbred(1)",weak,classified by morphological evidence
norishen,norish,,norissed(1),weak,classified by morphological evidence
obeien,obeien,obeyed(6),,weak,classified by morphological evidence
obligen,obligen,,obliged(2),weak,classified by morphological evidence
offenden,offenden,,offended(2),weak,classified by morphological evidence
onen,on,,oned(2),weak,classified by morphological evidence
openen,openen,opned(2),"opened(4), opned(2)",weak,classified by morphological evidence
oppressen,oppressen,,oppressed(6),weak,classified by morphological evidence
ordeinen,ordein,,"ordeyned(2), ordeined(1)",weak,classified by morphological evidence
ouen,ou,"oughte(41), oghte(33), ought(7), aughte(3), owghte(1), oght(1)",,weak,classified by morphological evidence
overloken,overlok,,overloked(1),weak,classified by morphological evidence
overspreden,overspreden,overspradde(2),,weak,classified by morphological evidence
paien,paien,"payde(3), paide(2), payed(1)","payed(4), ypayed(3), paid(2), payd(2), ypaied(1)",weak,classified by morphological evidence
passen,passen,passed(14),passed(31),weak,classified by morphological evidence
peinen,peinen,"peined(4), peyned(4)",,weak,classified by morphological evidence
peinten,peinten,"peinted(1), peyntede(1), peynted(1)","peynted(13), peinted(11)",weak,classified by morphological evidence
percen,percen,"perced(2), percede(1)",perced(2),weak,classified by morphological evidence
perchen,perch,,perched(2),weak,classified by morphological evidence
picchen,picch,pighte(2),,weak,classified by morphological evidence
pinchen,pinchen,,"pinched(1), pynched(1)",weak,classified by morphological evidence
pipen,pipen,,piped(1),weak,classified by morphological evidence
pissen,pissen,,pissed(2),weak,classified by morphological evidence
platen,plat,,plated(2),weak,classified by morphological evidence
plaunten,plaunt,,planted(4),weak,classified by morphological evidence
pleinen,pleinen,"pleined(2), pleyned(2)","ypleined(1), ypleyned(1)",weak,classified by morphological evidence
plesen,plesen,,plesed(2),weak,classified by morphological evidence
plighten,plight,plighte(2),plight(2),weak,classified by morphological evidence
prechen,prechen,,preched(2),weak,classified by morphological evidence
preisen,preisen,,"preysed(2), ypreised(2), preised(1)",weak,classified by morphological evidence
pressen,pressen,pressed(2),,weak,classified by morphological evidence
profren,profr,profred(5),profred(1),weak,classified by morphological evidence
pronouncen,pronouncen,,pronounced(2),weak,classified by morphological evidence
proverben,proverb,,proverbed(2),weak,classified by morphological evidence
publishen,publish,,"publiced(4), publisshed(1), publysshed(1)",weak,classified by morphological evidence
pullen,pullen,pulled(8),ypulled(2),weak,classified by morphological evidence
punishen,punish,,"ypunisshed(1), ypunysshed(1)",weak,classified by morphological evidence
purchasen,purchasen,purchased(2),,weak,classified by morphological evidence
purveien,purveien,,"purveyed(7), purveied(6), purveyd(1)",weak,classified by morphological evidence
putten,putten,"putte(31), put(2)","put(29), yput(5), pit(1)",weak,classified by morphological evidence
quenchen,quenchen,"queinte(1), queynte(1)","queint(5), queynt(5)",weak,classified by morphological evidence
quiken,quiken,"quiked(1), quyked(1)",quyked(1),weak,classified by morphological evidence
quiten,quiten,quitte(2),"quit(4), quyt(2)",weak,classified by morphological evidence
ravishen,ravishen,"ravisshed(1), ravysshed(1)","ravisshed(3), ravysshed(3)",weak,classified by morphological evidence
receiven,receiven,"received(1), receyved(1)","received(5), receyved(3)",weak,classified by morphological evidence
refreshen,refreshen,refresshed(1),refresshed(4),weak,classified by morphological evidence
regnen,regn,regned(1),,weak,classified by morphological evidence
rejoisen,rejoisen,"rejoised(1), rejoysed(1)",,weak,classified by morphological evidence
rekenen,rekenen,rekned(1),yrekened(3),weak,classified by morphological evidence
releven,releven,,"releved(1), releeved(1)",weak,classified by morphological evidence
remembren,remembren,remembred(6),,weak,classified by morphological evidence
repenten,repenten,repented(2),,weak,classified by morphological evidence
repressen,repress,,repressed(2),weak,classified by morphological evidence
requeren,requer,required(2),,weak,classified by morphological evidence
restoren,restoren,restored(4),,weak,classified by morphological evidence
returnen,returnen,,retourned(1),weak,classified by morphological evidence
reulen,reulen,,"reuled(3), ruled(2)",weak,classified by morphological evidence
romen,romen,romed(7),romed(4),weak,classified by morphological evidence
rosten,rosten,rosted(2),,weak,classified by morphological evidence
rounden,round,rounded(2),,weak,classified by morphological evidence
rounen,rounen,"rowned(4), rouned(3)",rouned(1),weak,classified by morphological evidence
rumbelen,rumbel,rombled(3),,weak,classified by morphological evidence
rusen,rus,rused(2),,weak,classified by morphological evidence
sakken,sakk,,sakked(2),weak,classified by morphological evidence
saluen,saluen,,salewed(2),weak,classified by morphological evidence
saven,saven,saved(4),saved(11),weak,classified by morphological evidence
scalden,scald,,scalded(2),weak,classified by morphological evidence
scateren,scater,,scatered(2),weak,classified by morphological evidence
scornen,scornen,"scorned(5), skorned(1)",,weak,classified by morphological evidence
setlen,setl,,ysatled(2),weak,classified by morphological evidence
setten,setten,"sette(65), set(7)",set(64),weak,classified by morphological evidence
shadwen,shadw,,"shadwed(1), yshadwed(1)",weak,classified by morphological evidence
shamen,shamen,,"shamed(3), yshamed(2)",weak,classified by morphological evidence
shenden,shenden,shente(1),shent(4),weak,classified by morphological evidence
shreden,shred,shredde(2),,weak,classified by morphological evidence
shrinen,shrin,,"shrined(1), shryned(1)",weak,classified by morphological evidence
siften,sift,,sifted(2),weak,classified by morphological evidence
sighen,sigh,sighed(2),,weak,classified by morphological evidence
signifien,signifien,signified(2),,weak,classified by morphological evidence
skippen,skippen,skipte(2),,weak,classified by morphological evidence
skriken,skrik,shrighte(5),shright(2),weak,classified by morphological evidence
slitten,slitten,slitte(1),,weak,classified by morphological evidence
smithen,smith,smythed(1),,weak,classified by morphological evidence
sneuen,sneu,snewed(2),,weak,classified by morphological evidence
somnen,somnen,,somoned(2),weak,classified by morphological evidence
sorwen,sorwen,,sorwed(2),weak,classified by morphological evidence
soulen,soul,,sowled(2),weak,classified by morphological evidence
sounen,sounen,"sowned(2), souned(2)",,weak,classified by morphological evidence
sparen,sparen,,"spared(2), yspared(2)",weak,classified by morphological evidence
spenden,spenden,,spent(3),weak,classified by morphological evidence
spillen,spillen,,spilt(2),weak,classified by morphological evidence
spotten,spott,,spotted(2),weak,classified by morphological evidence
spousen,spous,,spoused(2),weak,classified by morphological evidence
sprengen,spreng,,"spreind(1), spreynd(1)",weak,classified by morphological evidence
spurnen,spurnen,sporned(2),,weak,classified by morphological evidence
stablishen,stablish,,stablissed(2),weak,classified by morphological evidence
stalken,stalken,stalked(3),,weak,classified by morphological evidence
stemen,stem,stemed(2),,weak,classified by morphological evidence
stiken,stik,"stak(2), stiked(1)","ystiked(3), stiked(1)",weak,classified by morphological evidence
stiren,stiren,stired(2),,weak,classified by morphological evidence
stoppen,stoppen,,stopped(4),weak,classified by morphological evidence
strouten,strout,strouted(2),,weak,classified by morphological evidence
sufferen,sufferen,suffred(3),"suffred(11), ysuffred(2)",weak,classified by morphological evidence
suffisen,suffisen,,suffised(2),weak,classified by morphological evidence
sugren,sugr,,sucred(2),weak,classified by morphological evidence
supposen,supposen,supposed(2),"supposed(1), supposid(1)",weak,classified by morphological evidence
swappen,swappen,swapte(4),,weak,classified by morphological evidence
swepen,swepen,,ysweped(2),weak,classified by morphological evidence
swounen,swoun,"swowned(8), swouned(2)",swowned(2),weak,classified by morphological evidence
tasten,tast,tasted(2),,weak,classified by morphological evidence
teien,tei,,"yteid(1), yteyd(1)",weak,classified by morphological evidence
tempren,tempr,"tempred(1), temprede(1)",tempred(2),weak,classified by morphological evidence
tempten,tempten,,tempted(2),weak,classified by morphological evidence
thakken,thakk,,thakked(2),weak,classified by morphological evidence
thirlen,thirl,,thirled(4),weak,classified by morphological evidence
thirsten,thirst,thursted(2),,weak,classified by morphological evidence
thurven,thurv,dorste(2),,weak,classified by morphological evidence
tiden,tid,,"tid(7), tyd(1)",weak,classified by morphological evidence
tikelen,tikel,tikled(1),,weak,classified by morphological evidence
tirven,tirv,,terved(2),weak,classified by morphological evidence
todashen,todash,,todasshed(2),weak,classified by morphological evidence
torenden,torend,torente(2),,weak,classified by morphological evidence
touchen,touchen,"touched(2), touchede(2)",,weak,classified by morphological evidence
traishen,traish,traysed(1),,weak,classified by morphological evidence
translaten,translat,,translated(2),weak,classified by morphological evidence
transmeuen,transmeu,,transmewed(1),weak,classified by morphological evidence
trompen,trompen,tromped(2),,weak,classified by morphological evidence
trouen,trouen,trowed(4),trowed(7),weak,classified by morphological evidence
trussen,truss,,trussed(2),weak,classified by morphological evidence
trusten,trusten,trusted(4),trusted(2),weak,classified by morphological evidence
tuken,tuk,,tukked(2),weak,classified by morphological evidence
twicchen,twicch,,twight(2),weak,classified by morphological evidence
twisten,twisten,twiste(2),"twist(1), twyst(1)",weak,classified by morphological evidence
unarmen,unarm,,unarmed(1),weak,classified by morphological evidence
unbirien,unbiri,,"unburied(1), unburyed(1)",weak,classified by morphological evidence
unhorsen,unhors,,unhorsed(2),weak,classified by morphological evidence
usen,usen,used(8),used(7),weak,classified by morphological evidence
vanishen,vanishen,"vanysshed(2), vanisshed(1)","vanisshed(1), vanysshed(1)",weak,classified by morphological evidence
venquishen,venquish,,venquysshed(1),weak,classified by morphological evidence
vernishen,vernish,,"vernisshed(1), vernysshed(1)",weak,classified by morphological evidence
visiten,visiten,visited(2),,weak,classified by morphological evidence
vitailen,vitail,vitailled(2),,weak,classified by morphological evidence
voiden,voiden,,"voided(6), voyded(2), yvoided(1), yvoyded(1)",weak,classified by morphological evidence
waiten,waiten,"waited(4), wayted(2), waitede(1)",,weak,classified by morphological evidence
waknen,wakn,,"wakned(1), wakened(1)",weak,classified by morphological evidence
warishen,warishen,,"warisshed(6), warished(2)",weak,classified by morphological evidence
wasten,wasten,,wasted(7),weak,classified by morphological evidence
wedden,wedden,"wedded(4), weddede(2)","wedded(45), ywedded(7)",weak,classified by morphological evidence
welcomen,welcom,welcomed(1),,weak,classified by morphological evidence
welden,welden,"welte(2), weelded(1)",,weak,classified by morphological evidence
wenden,wenden,"wente(147), went(21)",went(4),weak,classified by morphological evidence
wernen,wernen,werned(2),,weak,classified by morphological evidence
werreien,werreien,werreyed(2),"werreied(1), wereyed(1)",weak,classified by morphological evidence
weten,weten,wette(2),,weak,classified by morphological evidence
wilnen,wilnen,wilned(4),,weak,classified by morphological evidence
wlispen,wlisp,lipsed(2),,weak,classified by morphological evidence
wondren,wondren,wondred(7),wondred(4),weak,classified by morphological evidence
wounden,wounden,,"wounded(7), wownded(1)",weak,classified by morphological evidence
wrappen,wrappen,,wrapped(4),weak,classified by morphological evidence
wratthen,wratth,,wraththed(1),weak,classified by morphological evidence
yicchen,yicch,,icched(2),weak,classified by morphological evidence
