headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,oxford_reason
haven,hadde,v%pt_3,The Knight's Tale 1359,data/riverside_cats/KnT_riv.cat,So muche sorwe hadde nevere creature,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",So muche sorwe had never creature,No exception (normal form)
yeven,hire,v%pt_3,Troilus and Criseyde; Book V 1050,data/riverside_cats/TC5_riv.cat,Men seyn I not that she yaf hym hire herte,RIVERSIDE,Strong pt sg must not end in -en or -e,"Men seyn, I not, that she yaf him hir herte.",No exception (normal form)
comen,come,v%pt_1,Troilus and Criseyde; Book V 745,data/riverside_cats/TC5_riv.cat,Me lakked alwey er that I come here,RIVERSIDE,Strong pt sg must not end in -en or -e,"Me lakked alwey, er that I cam here;",No exception (normal form)
ben,ys,v%pr_3,Book of the Duchess 597,data/riverside_cats/BD_riv.cat,For y am sorwe and sorwe ys y,RIVERSIDE,Present 3rd sg must end in -th,For I am sorwe and sorwe is I.,No exception (normal form)
haven,hadde,v%pt_1,The Wife of Bath's Prologue 608,data/riverside_cats/WBPro_riv.cat,I hadde the beste quoniam myghte be,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",I had the beste quoniam° might be.,No exception (normal form)
haven,hadde,v%pt_3,The Knight's Tale 2389,data/riverside_cats/KnT_riv.cat,Whan Vulcanus hadde caught thee in his las,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Whan Vulcanus had caught thee in his las,°",No exception (normal form)
haven,hadde,v%pt_1,Parliament of Fowls 107,data/riverside_cats/PF_riv.cat,For I hadde red of Affrican byforn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For° I had red of African beforn,No exception (normal form)
haven,hadde,v%pt_1,Book of the Duchess 1091,data/riverside_cats/BD_riv.cat,And ful gret nede I hadde to lerne,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And ful gret nede I had to lerne;,No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3221,data/riverside_cats/MilT_riv.cat,This carpenter hadde wedded newe a wyf,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",¶This carpenter had wedded newe a wif,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book I 125,data/riverside_cats/TC1_riv.cat,And ofter wolde and it hadde ben his wille,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And ofter wolde, and it had ben his wille",No exception (normal form)
dien,deyde,v%pt_3,The Wife of Bath's Prologue 495,data/riverside_cats/WBPro_riv.cat,He deyde whan I cam fro Jerusalem,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",He deid whan I cam fro Jerusalem,No exception (normal form)
haven,hadde,v%pt_3,The Reeve's Tale 4303,data/riverside_cats/RvT_riv.cat,She wende the clerk hadde wered a volupeer,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",She wend° the clerk had wered a volupeer.°,No exception (normal form)
haven,hadde,v%pt_1,The Squire's Tale 539,data/riverside_cats/SqT_riv.cat,That I hadde graunted hym fully my love,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That I had graunted him fully my love,No exception (normal form)
haven,hadde,v%pt_3,The Summoner's Tale 2218,data/riverside_cats/SumT_riv.cat,How hadde this cherl ymaginacioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",“How had this cherl imaginacioun°,No exception (normal form)
haven,hadde,v%pt_3,House of Fame 2042,data/riverside_cats/HF_riv.cat,Hadde y a fotebrede of space,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Hadde I a foote-brede° of space;,No exception (normal form)
haven,hadde,v%pt_3,The Pardoner's Tale 501,data/riverside_cats/PardT_riv.cat,Til Crist hadde boght us with his blood agayn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Til Crist had boght° us with his blood again!,No exception (normal form)
answeren,answerde,v%pt_3,Parliament of Fowls 463,data/riverside_cats/PF_riv.cat,The thridde tercel egle answerde tho,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",The thridde tercel egle answerd tho,No exception (normal form)
haven,hadde,v%pt_3,The Canon's Yeoman's Tale 1349,data/riverside_cats/CYT_riv.cat,Than hadde this preest this soory craft to leere,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Than had this preest this sory° craft to lere;°,No exception (normal form)
wenden,wente,v%pt_3,The Reeve's Tale 4159,data/riverside_cats/RvT_riv.cat,To bedde wente the doghter right anon,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",To bedde went the doghter right anon;,No exception (normal form)
haven,hadde,v%pt_1,Troilus and Criseyde; Book V 736,data/riverside_cats/TC5_riv.cat,Allas I ne hadde trowed on youre loore,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",“Allas! I ne had trowed on your lore,No exception (normal form)
techen,taughte,v%pt_3,The General Prologue 528,data/riverside_cats/GP_riv.cat,He taughte but first he folwed it hymselve,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","He taught, but first he folwed it himselve.",No exception (normal form)
wenden,wente,v%pt_3,The Wife of Bath's Prologue 10,data/riverside_cats/WBPro_riv.cat,That sith that Crist ne wente nevere but onis,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That sith that Crist ne went never but onis°,No exception (normal form)
haven,hadde,v%pt_1,Troilus and Criseyde; Book IV 1065,data/riverside_cats/TC4_riv.cat,What myght I wene and I hadde swich a thought,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","“What mighte I wene, and I had swich a thought",No exception (normal form)
bireven,birafte,v%pt_3,The Monk's Tale 2214,data/riverside_cats/MkT_riv.cat,And hym birafte the regne that he hadde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And him biraft° the regne° that he hadde.,No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 1285,data/riverside_cats/FranT_riv.cat,Whan he hadde founde his firste mansioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶Whan he had founde his firste mansioun,°",No exception (normal form)
drenchen,dreinte,v%pt_3,Book of the Duchess 72,data/riverside_cats/BD_riv.cat,And clefte her ship and dreinte hem alle,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And cleft° hir ship, and dreint° hem° alle",No exception (normal form)
haven,han,v%pr_pl,Parliament of Fowls 554,data/riverside_cats/PF_riv.cat,The waterfoules han here hedes leid,RIVERSIDE,Present plural must end in -en or -e,The water-foules han her hedes leid,No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3691,data/riverside_cats/MilT_riv.cat,To smellen sweete er he hadde kembd his heer,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","To smellen swete, er he had kembd° his heer.",No exception (normal form)
haven,hadde,v%pt_3,The Merchant's Tale 2357,data/riverside_cats/MerT_riv.cat,And whan that he hadde caught his sighte agayn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And whan that he had caught° his sighte again,No exception (normal form)
haven,hadde,v%pt_1,Book of the Duchess 1253,data/riverside_cats/BD_riv.cat,That trewely I hadde no ned,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That trewely, I had no nede",No exception (normal form)
wepen,wepte,v%pt_1,The Wife of Bath's Prologue 592,data/riverside_cats/WBPro_riv.cat,I wepte but smal and that I undertake,RIVERSIDE,Strong pt sg must not end in -en or -e,"I wept but smal, and that I undertake.°",No exception (normal form)
shulen,shul,v%pr_pl,Troilus and Criseyde; Book III 952,data/riverside_cats/TC3_riv.cat,For soone hope I we shul ben alle merye,RIVERSIDE,Present plural must end in -en or -e,For sone hope I we shulle ben alle merie.”,No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 1128,data/riverside_cats/FranT_riv.cat,Hadde prively upon his desk ylaft,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had prively upon his desk ylaft;°,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book I 1009,data/riverside_cats/TC1_riv.cat,Whan Troilus hadde herd Pandare assented,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Whan Troilus had herd Pandare assented,No exception (normal form)
haven,hadde,v%pt_3,The Summoner's Tale 1714,data/riverside_cats/SumT_riv.cat,Hadde preched at a chirche in his manere,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had preched at a chirche in his manere,No exception (normal form)
haven,hadde,v%pt_3,The Shipman's Tale 407,data/riverside_cats/ShipT_riv.cat,That he hadde yeve it me bycause of yow,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That he had yeve° it me bicause of yow,No exception (normal form)
haven,hadde,v%pt_1,The Wife of Bath's Prologue 551,data/riverside_cats/WBPro_riv.cat,I hadde the bettre leyser for to pleye,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",I had the bettre leiser for to pleye,No exception (normal form)
seien,seyn,v%inf,Book of the Duchess 1221,data/riverside_cats/BD_riv.cat,So at the laste soth to seyn,RIVERSIDE,Infinitive must end in -en or -e,"¶“So at the laste, soth to seyne",No exception (normal form)
casten,caste,v%pt_3,Troilus and Criseyde; Book IV 161,data/riverside_cats/TC4_riv.cat,Ful faste he caste how al this myghte stonde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Ful faste he cast how al this mighte stonde.,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book IV 345,data/riverside_cats/TC4_riv.cat,Hadde herd what every lord and burgeys seyde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had herd what every lord and burgeis seide,No exception (normal form)
setten,sette,v%pt_1,House of Fame 1858,data/riverside_cats/HF_riv.cat,The temple sette y al afire,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",The temple sette I al afire.,No exception (normal form)
haven,hadde,v%pt_3,The Shipman's Tale 344,data/riverside_cats/ShipT_riv.cat,How he hadde wel yboght and graciously,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","How he had wel yboght and graciously,°",No exception (normal form)
ben,ys,v%pr_3,Book of the Duchess 369,data/riverside_cats/BD_riv.cat,Quod he and ys here faste by,RIVERSIDE,Present 3rd sg must end in -th,"Quod he, “and is her faste by.”°",No exception (normal form)
answeren,answerde,v%pt_3,Parliament of Fowls 580,data/riverside_cats/PF_riv.cat,And she answerde that pleynly hire entente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And she answerd, that pleinly hir entente",No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2238,data/riverside_cats/MkT_riv.cat,Thogh he therto hadde neither right ne lawe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Thogh he therto° had neither right ne lawe.,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Tale 1024,data/riverside_cats/WBT_riv.cat,Seyde he had holde his day as he hadde hight,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Seide, he had holde his day, as he had hight,°",No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 939,data/riverside_cats/FranT_riv.cat,Hadde loved hire best of any creature,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had loved hir best of any creature,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 57,data/riverside_cats/WBPro_riv.cat,And ech of hem hadde wyves mo than two,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And ech of hem had wives mo than two;,No exception (normal form)
haven,hadde,v%pt_3,The Second Nun's Tale 539,data/riverside_cats/SNT_riv.cat,That she hadde fostred hem she gan to preche,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That she had fostred,° hem she gan to preche;",No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3191,data/riverside_cats/MilT_riv.cat,Hadde lerned art but al his fantasye,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Had lerned art,° but al his fantasie°",No exception (normal form)
haven,hadde,v%pt_3,The Shipman's Tale 194,data/riverside_cats/ShipT_riv.cat,As foul as evere hadde Genylon of France,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",As foul as ever had Geniloun of France!”,No exception (normal form)
setten,sette,v%pt_3,The Reeve's Tale 4000,data/riverside_cats/RvT_riv.cat,But therof sette the millere nat a tare,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",But therof set the miller nat a tare;°,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 675,data/riverside_cats/GP_riv.cat,This Pardoner hadde heer as yelow as wex,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",This Pardoner had heer as yelow as wex,No exception (normal form)
sterten,stirte,v%pt_3,The Wife of Bath's Prologue 163,data/riverside_cats/WBPro_riv.cat,Up stirte the Pardoner and that anon,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶Up stert the Pardoner, and that anon,°",No exception (normal form)
setten,sette,v%pt_3,The Monk's Tale 2033,data/riverside_cats/MkT_riv.cat,And sette the foxes tayles alle on fire,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And set the foxes tailes alle on fire,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 52,data/riverside_cats/GP_riv.cat,Ful ofte tyme he hadde the bord bigonne,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Ful ofte time he had the bord bigonne,No exception (normal form)
haven,hadde,v%pt_3,The Prioress' Tale 673,data/riverside_cats/PrT_riv.cat,And whan this abbot hadde this wonder seyn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And whan this abbot had this wonder seyn,No exception (normal form)
haven,hadde,v%pt_1,The Franklin's Tale 1476,data/riverside_cats/FranT_riv.cat,I hadde wel levere ystiked for to be,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",I had wel lever° stiked° for to be,No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3535,data/riverside_cats/MilT_riv.cat,Whan that oure Lord hadde warned hym biforn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Whan that our lord had warned him biforn,No exception (normal form)
comen,come,v%pt_3,House of Fame 1690,data/riverside_cats/HF_riv.cat,Ther come the ferthe companye,RIVERSIDE,Strong pt sg must not end in -en or -e,Ther com the ferthe companie—,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book I 750,data/riverside_cats/TC1_riv.cat,But natheles whan he hadde herd hym crye,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","But nathelees, whan he had herd him crie",No exception (normal form)
folwen,folwede,v%pt_1,The Wife of Bath's Prologue 623,data/riverside_cats/WBPro_riv.cat,But evere folwede myn appetit,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",But ever folewed min appetit,No exception (normal form)
reven,rafte,v%pt_3,The Monk's Tale 2098,data/riverside_cats/MkT_riv.cat,He slow and rafte the skyn of the leoun,RIVERSIDE,Strong pt sg must not end in -en or -e,"He slow, and raft° the skin of the leoun;",No exception (normal form)
heren,herde,v%pt_1,House of Fame 1313,data/riverside_cats/HF_riv.cat,Of us Thus herde y crien alle,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Of us!” Thus herde I cryen alle,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 829,data/riverside_cats/WBPro_riv.cat,The Frere lough whan he hadde herd al this,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶ The Frere lough,° whan he had herd al this",No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 1095,data/riverside_cats/FranT_riv.cat,If any wight hadde spoke whil he was oute,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","If any wight had spoke, whil he was oute",No exception (normal form)
haven,hadde,v%pt_3,The Reeve's Tale 3968,data/riverside_cats/RvT_riv.cat,That she hadde lerned in the nonnerie,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That she had lerned in the nonnerie.,No exception (normal form)
faren,ferde,v%pt_1,Book of the Duchess 785,data/riverside_cats/BD_riv.cat,And thilke tyme I ferde ryght so,RIVERSIDE,Strong pt sg must not end in -en or -e,¶“And thilke time° I ferd right so°,No exception (normal form)
haven,hadde,v%pt_3,The Knight's Tale 1470,data/riverside_cats/KnT_riv.cat,For he hadde yeve his gayler drynke so,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For he had yive his gailer° drinke so,No exception (normal form)
wenden,went,v%pt_pl,Troilus and Criseyde; Book II 910,data/riverside_cats/TC2_riv.cat,That she and alle hire folk in went yfeere,RIVERSIDE,Past plural must end in -en or -e,That she and al hir folk in wente yfere.,No exception (normal form)
henten,hente,v%pt_3,The Franklin's Tale 1391,data/riverside_cats/FranT_riv.cat,And hente the ymage in hir handes two,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And hent° the image in hir handes two,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 85,data/riverside_cats/GP_riv.cat,And he hadde been somtyme in chyvachie,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And he had been somtime in chivachie,No exception (normal form)
holden,held,v%pt_pl,The Monk's Tale 2316,data/riverside_cats/MkT_riv.cat,Of Rome and with strong hond held hem ful faste,RIVERSIDE,Past plural must end in -en or -e,"Of Rome, and with strong hond helde hem ful faste;",No exception (normal form)
costen,coste,v%pt_3,The Canon's Yeoman's Tale 1133,data/riverside_cats/CYT_riv.cat,I have a poudre heer that coste me deere,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","I have a poudre heer, that cost me dere",No exception (normal form)
wenden,wente,v%pt_3,House of Fame 1642,data/riverside_cats/HF_riv.cat,Wente this foule trumpes soun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Went this foule trumpes soun,No exception (normal form)
furtheren,further,v%inf,House of Fame 2023,data/riverside_cats/HF_riv.cat,To further the with al my myght,RIVERSIDE,Infinitive must end in -en or -e,To furthre thee° with al my might,No exception (normal form)
haven,hadde,v%pt_3,The Merchant's Tale 2395,data/riverside_cats/MerT_riv.cat,And that thy smok hadde leyn upon his brest,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And that thy smok had lein upon his brest.”,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 511,data/riverside_cats/WBPro_riv.cat,That thogh he hadde me bete on every bon,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That thogh° he had me bet° on every boon,°",No exception (normal form)
haven,hadde,v%pt_3,The Nun's Priest's Tale 3281,data/riverside_cats/NPT_riv.cat,Though he never erst hadde seyn it with his ye,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Though he never erst° had seyn it with his yë.,No exception (normal form)
durren,dorste,v%pt_3,The Franklin's Tale 952,data/riverside_cats/FranT_riv.cat,For Narcisus that dorste nat telle hir wo,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","For Narcisus, that dorst nat telle hir wo.",No exception (normal form)
wenden,wente,v%pt_3,The Franklin's Tale 1189,data/riverside_cats/FranT_riv.cat,He shewed hym er he wente to sopeer,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶He shewed him, er he went to sopeer,°",No exception (normal form)
comen,com,v%ppl,Troilus and Criseyde; Book III 554,data/riverside_cats/TC3_riv.cat,Whan he was com he gan anon to pleye,RIVERSIDE,Strong participle must end in -en or -e,"Whan he was come, he gan anoon to pleye",No exception (normal form)
heren,herde,v%pt_3,The Reeve's Tale 4168,data/riverside_cats/RvT_riv.cat,Aleyn the clerk that herde this melodye,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶Alein the clerk, that herd this melodie",No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 218,data/riverside_cats/GP_riv.cat,For he hadde power of confessioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For he had power of confessioun,No exception (normal form)
haven,hadde,v%pt_3,The Clerk's Tale 730,data/riverside_cats/ClT_riv.cat,Hadde loved hym wel the sclaundre of his diffame,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Had loved him wel, the sclaundre° of his diffame°",No exception (normal form)
helen,heel,v%inf,The Squire's Tale 471,data/riverside_cats/SqT_riv.cat,To heel with youre hurtes hastily,RIVERSIDE,Infinitive must end in -en or -e,To hele with your hurtes hastily.”,No exception (normal form)
haven,hadde,v%pt_3,The Squire's Tale 32,data/riverside_cats/SqT_riv.cat,A doghter hadde this worthy kyng also,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",A doghter had this worthy king also,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 697,data/riverside_cats/GP_riv.cat,That Seint Peter hadde whan that he wente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That Seinte Peter had, whan that he wente",No exception (normal form)
heren,herde,v%pt_3,Book of the Duchess 510,data/riverside_cats/BD_riv.cat,Made hym that he herde me noght,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Made him that he herd me noght;,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 399,data/riverside_cats/GP_riv.cat,If that he faught and hadde the hyer hond,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","If that he faught, and had the hyer hond",No exception (normal form)
comen,come,v%pt_3,House of Fame 1657,data/riverside_cats/HF_riv.cat,Tho come the thridde companye,RIVERSIDE,Strong pt sg must not end in -en or -e,¶Tho com the thridde companie,No exception (normal form)
casten,caste,v%pt_3,The Wife of Bath's Prologue 729,data/riverside_cats/WBPro_riv.cat,How Xantippa caste pisse upon his heed,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",How Xantippa cast pisse upon his heed;,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book V 723,data/riverside_cats/TC5_riv.cat,That hire hadde herd compleynen in hire sorwe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That hir had herd compleinen in hir sorwe,No exception (normal form)
