headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
comen,come,v%pt_3,Book of the Duchess 78,data/oxford_txts/BD_oxford.txt,"Hath wonder, that the king ne come",OXFORD,Strong pt sg must not end in -en or -e,Hath wonder that the king ne com,No exception (normal form)
preien,pray,v%pr_pl,The Summoner's Tale 1945,data/oxford_txts/SumT_oxford.txt,In our chapitre° pray we day and night,OXFORD,Present plural must end in -en or -e,In our chapitre praye we day and nyght,No exception (normal form)
knouen,know,v%ppl,Book of the Duchess 666,data/oxford_txts/BD_oxford.txt,Ykoude and know° the jeupardies°,OXFORD,Strong participle must end in -en or -e,Ykoud and knowe the jeupardyes,No exception (normal form)
shulen,shold,v%pt_pl,The Franklin's Tale 1530,data/oxford_txts/FranT_oxford.txt,Than° ye to me shold breke thus your trouthe,OXFORD,Past plural must end in -en or -e,Than ye to me sholde breke thus youre trouthe,No exception (normal form)
sweren,swer,v%inf,Book of the Duchess 684,data/oxford_txts/BD_oxford.txt,I dar wel swer she took the beste!,OXFORD,Infinitive must end in -en or -e,I dar wel swere she took the beste,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 909,data/oxford_txts/BD_oxford.txt,"To mak that fair, that trewly she",OXFORD,Infinitive must end in -en or -e,To make that fair that trewly she,No exception (normal form)
prien,pri,v%inf,Troilus and Criseyde; Book II 404,data/oxford_txts/TC2_oxford.txt,And send yow thanne a mirour in to prië,OXFORD,Infinitive must end in -en or -e,And sende yow than a myrour in to prye,No exception (normal form)
shinen,shoon,v%pt_pl,House of Fame 1289,data/oxford_txts/HF_oxford.txt,That shoon ful lighter than a glas,OXFORD,Past plural must end in -en or -e,That shoone ful lyghter than a glas,No exception (normal form)
heren,herd,v%pt_pl,The Squire's Tale 249,data/oxford_txts/SqT_oxford.txt,"Of craft of ringes° herd they never non,°",OXFORD,Past plural must end in -en or -e,Of craft of rynges herde they nevere noon,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 828,data/oxford_txts/WBPro_oxford.txt,"Now wol I sey my tale, if ye wol here.”",OXFORD,Infinitive must end in -en or -e,Now wol I seye my tale if ye wol heere,No exception (normal form)
boillen,boil,v%inf,The General Prologue 380,data/oxford_txts/GP_oxford.txt,To boil the chiknes with the marybones,OXFORD,Infinitive must end in -en or -e,To boille the chiknes with the marybones,No exception (normal form)
passen,pass,v%pr_pl,Book of the Duchess 41,data/oxford_txts/BD_oxford.txt,Pass we over until efte;°,OXFORD,Present plural must end in -en or -e,Passe we over untill eft,No exception (normal form)
taken,toke,v%pt_1,Book of the Duchess 839,data/oxford_txts/BD_oxford.txt,"So sodenly, that I ne toke",OXFORD,Strong pt sg must not end in -en or -e,So sodenly that I ne tok,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 666,data/oxford_txts/WBPro_oxford.txt,"¶“Now wol I sey yow sooth, by Seint Thomas",OXFORD,Infinitive must end in -en or -e,Now wol I seye yow sooth by Seint Thomas,No exception (normal form)
seien,seid,v%pt_pl,Troilus and Criseyde; Book III 301,data/oxford_txts/TC3_oxford.txt,Al seid men sooth as often as they gabbe.,OXFORD,Past plural must end in -en or -e,Al seyde men soth as often as thei gabbe,No exception (normal form)
haven,had,v%pt_pl,The Nun's Priest's Tale 3121,data/oxford_txts/NPT_oxford.txt,"That ye had rad° his legende, as have I.",OXFORD,Past plural must end in -en or -e,That ye hadde rad his legende as have I,No exception (normal form)
preien,prey,v%inf,The Summoner's Tale 1976,data/oxford_txts/SumT_oxford.txt,To prey for yow is ay° so diligent,OXFORD,Infinitive must end in -en or -e,To preye for yow is ay so diligent,No exception (normal form)
shinen,shoon,v%pt_pl,House of Fame 507,data/oxford_txts/HF_oxford.txt,So shoon the egles fethres brighte,OXFORD,Past plural must end in -en or -e,So shone the egles fethers bryghte,No exception (normal form)
haven,had,v%pt_pl,The Wife of Bath's Prologue 565,data/oxford_txts/WBPro_oxford.txt,"Til trewely we had swich daliance,°",OXFORD,Past plural must end in -en or -e,Til trewely we hadde swich daliance,No exception (normal form)
ben,wer,v%pt_pl,The Shipman's Tale 35,data/oxford_txts/ShipT_oxford.txt,Wer bothe two yborn in o° village,OXFORD,Past plural must end in -en or -e,Were bothe two yborn in o village,No exception (normal form)
blouen,blow,v%inf,House of Fame 1790,data/oxford_txts/HF_oxford.txt,"Go, blow this folk a sory grace,”°",OXFORD,Infinitive must end in -en or -e,Goo blowe this folk a sory grace,No exception (normal form)
moten,mot,v%pt_pl,Troilus and Criseyde; Book IV 1376,data/oxford_txts/TC4_oxford.txt,"Mot spenden part, the remenaunt for to save.",OXFORD,Past plural must end in -en or -e,Mote spenden part the remenant for to save,No exception (normal form)
willen,wold,v%pt_pl,The Franklin's Tale 1421,data/oxford_txts/FranT_oxford.txt,Wel rather than they wold defouled be?,OXFORD,Past plural must end in -en or -e,Wel rather than they wolde defouled be,No exception (normal form)
shulen,shold,v%pt_pl,The Shipman's Tale 352,data/oxford_txts/ShipT_oxford.txt,"Of twenty thousand sheeld shold ye nat misse,°",OXFORD,Past plural must end in -en or -e,Of twenty thousand sheeld sholde ye nat mysse,No exception (normal form)
bringen,broughte,v%pt_3,Troilus and Criseyde; Book IV 203,data/oxford_txts/TC4_oxford.txt,"Of Antenor, that broughte hem to mischaunce!",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Of Antenor that brought hem to meschaunce,No exception (normal form)
seien,sey,v%inf,The Clerk's Tale 771,data/oxford_txts/ClT_oxford.txt,But sey the maiden sholde ywedded be,OXFORD,Infinitive must end in -en or -e,But seye the mayden sholde ywedded be,No exception (normal form)
moten,most,v%pt_pl,The Wife of Bath's Prologue 427,data/oxford_txts/WBPro_oxford.txt,"That they most yeve it up,° as for the beste;",OXFORD,Past plural must end in -en or -e,That they moste yeve it up as for the beste,No exception (normal form)
taken,tooke,v%pt_3,Book of the Duchess 273,data/oxford_txts/BD_oxford.txt,Suche a lust° anoon me tooke°,OXFORD,Strong pt sg must not end in -en or -e,Such a lust anoon me took,No exception (normal form)
seien,sey,v%inf,The Pardoner's Tale 572,data/oxford_txts/PardT_oxford.txt,"And thanne wol he sey, “Sampsoun, Sampsoun.”",OXFORD,Infinitive must end in -en or -e,And thanne wol he seye Sampsoun Sampsoun,No exception (normal form)
connen,kan,v%pr_pl,The Reeve's Tale 4123,data/oxford_txts/RvT_oxford.txt,Ye kan by argumentes make a place,OXFORD,Present plural must end in -en or -e,Ye konne by argumentes make a place,No exception (normal form)
seien,sey,v%inf,The Friar's Tale 1394,data/oxford_txts/FriT_oxford.txt,"Sey that he was a somnour, for° the name.°",OXFORD,Infinitive must end in -en or -e,Seye that he was a somonour for the name,No exception (normal form)
preien,pray,v%inf,The Wife of Bath's Prologue 184,data/oxford_txts/WBPro_oxford.txt,"¶“Dame, I wold pray yow, if your wil it were,”",OXFORD,Infinitive must end in -en or -e,Dame I wolde praye yow if youre wyl it were,No exception (normal form)
putten,put,v%inf,House of Fame 598,data/oxford_txts/HF_oxford.txt,I dar wel put thee out° of doute—,OXFORD,Infinitive must end in -en or -e,I dar wel putte the out of doute,No exception (normal form)
seien,sey,v%inf,The Canon's Yeoman's Tale 1339,data/oxford_txts/CYT_oxford.txt,"To° fir and hamer; might no man sey nay,°",OXFORD,Infinitive must end in -en or -e,To fir and hamer myghte no man seye nay,No exception (normal form)
swepen,sweep,v%inf,The Canon's Yeoman's Tale 936,data/oxford_txts/CYT_oxford.txt,"As usage° is, lat sweep the floor as swithe,°",OXFORD,Infinitive must end in -en or -e,As usage is lat swepe the floor as swithe,No exception (normal form)
connen,coud,v%pt_pl,The Wife of Bath's Tale 1008,data/oxford_txts/WBT_oxford.txt,"Coud ye me wisse,° I wold wel quit your hire.”°",OXFORD,Past plural must end in -en or -e,Koude ye me wisse I wolde wel quite youre hire,No exception (normal form)
imaginen,imagining,v%inf,Troilus and Criseyde; Book I 372,data/oxford_txts/TC1_oxford.txt,Imagining that travaille nor grame,OXFORD,Infinitive must end in -en or -e,Imagenynge that travaille nor grame,No exception (normal form)
claimen,claim,v%pr_pl,The Wife of Bath's Tale 1120,data/oxford_txts/WBT_oxford.txt,"For which we claim to been of heigh parage,°",OXFORD,Present plural must end in -en or -e,For which we clayme to been of heigh parage,No exception (normal form)
seien,sey,v%inf,Troilus and Criseyde; Book IV 831,data/oxford_txts/TC4_oxford.txt,Wher shal I sey to yow ‘welcome’ or no,OXFORD,Infinitive must end in -en or -e,Wher shal I seye to yow welcom or no,No exception (normal form)
biginnen,began,v%pt_pl,House of Fame 1220,data/oxford_txts/HF_oxford.txt,That craftely began to pipe,OXFORD,Past plural must end in -en or -e,That craftely begunne to pipe,No exception (normal form)
willen,wol,v%pr_pl,The Clerk's Tale 361,data/oxford_txts/ClT_oxford.txt,"But as ye wol yourself, right so wol° I.",OXFORD,Present plural must end in -en or -e,But as ye wole youreself right so wol I,No exception (normal form)
paien,pay,v%inf,The Shipman's Tale 414,data/oxford_txts/ShipT_oxford.txt,For I wol pay yow wel and redily,OXFORD,Infinitive must end in -en or -e,For I wol paye yow wel and redily,No exception (normal form)
comen,com,v%inf,The Wife of Bath's Prologue 153,data/oxford_txts/WBPro_oxford.txt,Whan that him list° com forth and paye his dette.,OXFORD,Infinitive must end in -en or -e,Whan that hym list come forth and paye his dette,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 654,data/oxford_txts/WBPro_oxford.txt,"Than wolde he sey right thus, withouten doute",OXFORD,Infinitive must end in -en or -e,Thanne wolde he seye right thus withouten doute,No exception (normal form)
answeren,answerde,v%pt_1,House of Fame 1896,data/oxford_txts/HF_oxford.txt,"And I answerde, “No, pardee!",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And I answered Noo parde,No exception (normal form)
deliveren,deliver,v%inf,The Shipman's Tale 200,data/oxford_txts/ShipT_oxford.txt,I wol deliver yow out of this care;°,OXFORD,Infinitive must end in -en or -e,I wol delyvere yow out of this care,No exception (normal form)
haven,hadde,v%pt_1,Troilus and Criseyde; Book IV 96,data/oxford_txts/TC4_oxford.txt,Allas! I ne hadde ybrought hir in hir sherte!,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Allas I ne hadde ibrought hire in hire sherte,No exception (normal form)
bistouen,bistow,v%inf,The Wife of Bath's Prologue 113,data/oxford_txts/WBPro_oxford.txt,I wol bistow the flour° of al min age°,OXFORD,Infinitive must end in -en or -e,I wol bistowe the flour of al myn age,No exception (normal form)
knouen,know,v%pr_pl,The Wife of Bath's Prologue 90,data/oxford_txts/WBPro_oxford.txt,Ye know what this ensample may resemble.°,OXFORD,Present plural must end in -en or -e,Ye knowe what this ensample may resemble,No exception (normal form)
haven,had,v%pt_pl,The Wife of Bath's Prologue 212,data/oxford_txts/WBPro_oxford.txt,And sith they had me yeven° all hir lond,OXFORD,Past plural must end in -en or -e,And sith they hadde me yeven al hir lond,No exception (normal form)
seien,sey,v%inf,The Canon's Yeoman's Tale 956,data/oxford_txts/CYT_oxford.txt,"But, be it hoot or cold, I dar sey this",OXFORD,Infinitive must end in -en or -e,But be it hoot or coold I dar seye this,No exception (normal form)
ben,wer,v%pt_pl,The Monk's Tale 2088,data/oxford_txts/MkT_oxford.txt,And eek three thousand bodies wer ther slain,OXFORD,Past plural must end in -en or -e,And eek thre thousand bodyes were ther slayn,No exception (normal form)
pleien,pley,v%inf,Book of the Duchess 961,data/oxford_txts/BD_oxford.txt,¶“Therto she coude so wel pley,OXFORD,Infinitive must end in -en or -e,Therto she koude so wel pleye,No exception (normal form)
preien,pray,v%inf,The Summoner's Tale 1960,data/oxford_txts/SumT_oxford.txt,To pray for yow ben insufficient?,OXFORD,Infinitive must end in -en or -e,To praye for yow been insufficient,No exception (normal form)
mouen,mow,v%pr_pl,The Canon's Yeoman's Tale 909,data/oxford_txts/CYT_oxford.txt,Our walles mow° nat make hem resistence,OXFORD,Present plural must end in -en or -e,Oure walles mowe nat make hem resistence,No exception (normal form)
shulen,shold,v%pt_pl,The Wife of Bath's Prologue 138,data/oxford_txts/WBPro_oxford.txt,Than shold men take of chastitee no cure.°,OXFORD,Past plural must end in -en or -e,Thanne sholde men take of chastitee no cure,No exception (normal form)
taken,toke,v%pt_3,Book of the Duchess 48,data/oxford_txts/BD_oxford.txt,"A romaunce, and he it me toke°",OXFORD,Strong pt sg must not end in -en or -e,A romaunce and he it me tok,No exception (normal form)
holden,hold,v%pr_pl,The Summoner's Tale 1959,data/oxford_txts/SumT_oxford.txt,"Hold ye° than me, or elles our covent",OXFORD,Present plural must end in -en or -e,Holde ye thanne me or elles oure covent,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 195,data/oxford_txts/WBPro_oxford.txt,"I shal sey sooth, tho housbonds that I hadde",OXFORD,Infinitive must end in -en or -e,I shal seye sooth tho housbondes that I hadde,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 962,data/oxford_txts/BD_oxford.txt,"Whan that hir list, that I dar sey",OXFORD,Infinitive must end in -en or -e,Whan that hir lyste that I dar seye,No exception (normal form)
speken,spake,v%pt_3,House of Fame 1870,data/oxford_txts/HF_oxford.txt,Me thoughte goodly° to me spake,OXFORD,Strong pt sg must not end in -en or -e,Me thoughte goodly to me spak,No exception (normal form)
witen,wit,v%pr_pl,The Canon's Yeoman's Tale 906,data/oxford_txts/CYT_oxford.txt,And wit° ye how? ful ofte it happeth so,OXFORD,Present plural must end in -en or -e,And wite ye how Ful ofte it happeth so,No exception (normal form)
areden,ared,v%inf,Book of the Duchess 289,data/oxford_txts/BD_oxford.txt,"I trowe, ared° my dremes even.°",OXFORD,Infinitive must end in -en or -e,I trowe arede my dremes even,No exception (normal form)
biholden,bihelde,v%pt_3,Troilus and Criseyde; Book II 1606,data/oxford_txts/TC2_oxford.txt,And goodly on Criseyde she bihelde,OXFORD,Strong pt sg must not end in -en or -e,And goodly on Criseyde she biheld,No exception (normal form)
seien,seyn,v%inf,Troilus and Criseyde; Book II 684,data/oxford_txts/TC2_oxford.txt,"And, sooth to seyn, she nas nat al a fo",OXFORD,Infinitive must end in -en or -e,And soth to seyne she nas not al a foo,No exception (normal form)
willen,wold,v%pt_pl,Book of the Duchess 1130,data/oxford_txts/BD_oxford.txt,But wold ye tel me the manere,OXFORD,Past plural must end in -en or -e,But wolde ye tel me the manere,No exception (normal form)
finden,fonde,v%pt_3,The Monk's Tale 2331,data/oxford_txts/MkT_oxford.txt,"That he nas° glad, if he that grace° fonde,°",OXFORD,Strong pt sg must not end in -en or -e,That he nas glad if he that grace fond,No exception (normal form)
appareillen,apparail,v%inf,The Wife of Bath's Prologue 343,data/oxford_txts/WBPro_oxford.txt,"Ye wommen shul apparail yow,” quod he",OXFORD,Infinitive must end in -en or -e,Ye wommen shul apparaille yow quod he,No exception (normal form)
seien,sey,v%inf,The Nun's Priest's Tale 3425,data/oxford_txts/NPT_oxford.txt,"I shal sey sooth° to yow, God help me so.”",OXFORD,Infinitive must end in -en or -e,I shal seye sooth to yow God help me so,No exception (normal form)
haven,had,v%pt_pl,The Wife of Bath's Prologue 428,data/oxford_txts/WBPro_oxford.txt,Or elles had we never been in reste.,OXFORD,Past plural must end in -en or -e,Or elles hadde we nevere been in reste,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 830,data/oxford_txts/BD_oxford.txt,"Shortly, what shal I more sey?",OXFORD,Infinitive must end in -en or -e,Shortly what shal y more seye,No exception (normal form)
comen,com,v%inf,The Wife of Bath's Tale 984,data/oxford_txts/WBT_oxford.txt,Whan that he saugh he might nat com therby,OXFORD,Infinitive must end in -en or -e,Whan that he saugh he myghte nat come therby,No exception (normal form)
comen,cam,v%pt_pl,Book of the Duchess 372,data/oxford_txts/BD_oxford.txt,Whan we cam to the forest side,OXFORD,Past plural must end in -en or -e,Whan we came to the forest syde,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Tale 1073,data/oxford_txts/WBT_oxford.txt,"¶Now wolden som men sey, paraventure",OXFORD,Infinitive must end in -en or -e,Now wolden som men seye paraventure,No exception (normal form)
savouren,savour,v%inf,The Wife of Bath's Prologue 171,data/oxford_txts/WBPro_oxford.txt,"Er that I go, shal savour° wors than ale.",OXFORD,Infinitive must end in -en or -e,Er that I go shal savoure wors than ale,No exception (normal form)
knouen,know,v%pr_pl,The Franklin's Tale 1113,data/oxford_txts/FranT_oxford.txt,And wel ye know that of a sursanure°,OXFORD,Present plural must end in -en or -e,And wel ye knowe that of a sursanure,No exception (normal form)
pleien,pley,v%inf,Book of the Duchess 239,data/oxford_txts/BD_oxford.txt,And yet me list right evel to pley—,OXFORD,Infinitive must end in -en or -e,And yet me lyst ryght evel to pleye,No exception (normal form)
paien,pay,v%inf,The Canon's Yeoman's Tale 1361,data/oxford_txts/CYT_oxford.txt,"Ye shul pay fourty pound, so God me save!",OXFORD,Infinitive must end in -en or -e,Ye shul paye fourty pound so God me save,No exception (normal form)
witen,wit,v%inf,The Friar's Tale 1514,data/oxford_txts/FriT_oxford.txt,Thou wolt algates° wit° how we ben shape;,OXFORD,Infinitive must end in -en or -e,Thou wolt algates wite how we been shape,No exception (normal form)
hongen,hang,v%inf,The Canon's Yeoman's Tale 1029,data/oxford_txts/CYT_oxford.txt,Another day do hang me by the hals!”°,OXFORD,Infinitive must end in -en or -e,Another day do hange me by the hals,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 553,data/oxford_txts/BD_oxford.txt,"For, by my trouth,° to mak you hool,°",OXFORD,Infinitive must end in -en or -e,For by my trouthe to make yow hool,No exception (normal form)
drauen,draw,v%ppl,Book of the Duchess 682,data/oxford_txts/BD_oxford.txt,I wolde have draw the same draught.°,OXFORD,Strong participle must end in -en or -e,I wolde have drawe the same draughte,No exception (normal form)
purveien,purveith,v%pr_3,Troilus and Criseyde; Book IV 1066,data/oxford_txts/TC4_oxford.txt,But that God purveith thing that is to come,OXFORD,Present 3rd sg must end in -eth,But that God purveyeth thyng that is to come,No exception (normal form)
kissen,kiss,v%inf,The Miller's Tale 3284,data/oxford_txts/MilT_oxford.txt,"And seide, “I wol nat kiss thee, by my fey",OXFORD,Infinitive must end in -en or -e,And seyde I wol nat kisse thee by my fey,No exception (normal form)
haven,had,v%pt_pl,House of Fame 1138,data/oxford_txts/HF_oxford.txt,"That had ybeen in mochel wele,°",OXFORD,Past plural must end in -en or -e,That had iben in mochel wele,No exception (normal form)
witen,wist,v%pt_pl,Troilus and Criseyde; Book IV 1618,data/oxford_txts/TC4_oxford.txt,“For if ye wist how sore it doth me smerte,OXFORD,Past plural must end in -en or -e,For if ye wiste how soore it doth me smerte,No exception (normal form)
shulen,shuld,v%pt_pl,Parliament of Fowls 590,data/oxford_txts/PF_oxford.txt,That men shuld loven alwey causeles,OXFORD,Past plural must end in -en or -e,That men shulde loven alwey causeles,No exception (normal form)
trouen,trow,v%inf,Troilus and Criseyde; Book V 902,data/oxford_txts/TC5_oxford.txt,And that anoon; ye nil not trow how sone;,OXFORD,Infinitive must end in -en or -e,And that anon ye nyl nat trowe how sone,No exception (normal form)
ben,wer,v%pt_pl,The Franklin's Tale 892,data/oxford_txts/FranT_oxford.txt,Wer sonken° into helle for his sake!,OXFORD,Past plural must end in -en or -e,Were sonken into helle for his sake,No exception (normal form)
aspien,aspyede,v%pt_3,Troilus and Criseyde; Book III 85,data/oxford_txts/TC3_oxford.txt,Criseyde al this aspyede wel ynough,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Criseyde al this aspied wel ynough,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 1160,data/oxford_txts/BD_oxford.txt,Althogh I coud not mak so wele,OXFORD,Infinitive must end in -en or -e,Althogh I koude not make so wel,No exception (normal form)
dien,dey,v%inf,Book of the Duchess 692,data/oxford_txts/BD_oxford.txt,But live and dey° right in this thoght.,OXFORD,Infinitive must end in -en or -e,But lyve and deye ryght in this thoght,No exception (normal form)
bringen,bring,v%inf,The Wife of Bath's Prologue 221,data/oxford_txts/WBPro_oxford.txt,To bring me gaye thinges fro the faire.,OXFORD,Infinitive must end in -en or -e,To brynge me gaye thynges fro the fayre,No exception (normal form)
comen,comth,v%pr_3,Troilus and Criseyde; Book I 402,data/oxford_txts/TC1_oxford.txt,"If love be good, from whennes comth my wo?",OXFORD,Present 3rd sg must end in -eth,If love be good from whennes cometh my woo,No exception (normal form)
breken,breek,v%pr_pl,The Franklin's Tale 1320,data/oxford_txts/FranT_oxford.txt,"Aviseth yow,° er that ye breek your trouthe.°",OXFORD,Present plural must end in -en or -e,Avyseth yow er that ye breke youre trouthe,No exception (normal form)
mouen,mow,v%pr_pl,The Merchant's Tale 1838,data/oxford_txts/MerT_oxford.txt,For in our actes we mow do no sinne.,OXFORD,Present plural must end in -en or -e,For in oure actes we mowe do no synne,No exception (normal form)
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 801,data/oxford_txts/TC2_oxford.txt,"And coye hem, that they sey non harm of me?",OXFORD,Present plural must end in -en or -e,And coye hem that they seye noon harm of me,No exception (normal form)
comen,com,v%inf,The Canon's Yeoman's Tale 1216,data/oxford_txts/CYT_oxford.txt,"But go with yow, and com with yow agein.”",OXFORD,Infinitive must end in -en or -e,But go with yow and come with yow ageyn,No exception (normal form)
greten,gret,v%inf,The Clerk's Tale 1014,data/oxford_txts/ClT_oxford.txt,"With other folk, to gret the markisesse",OXFORD,Infinitive must end in -en or -e,With oother folk to greete the markysesse,No exception (normal form)
haven,had,v%pt_pl,The Pardoner's Tale 892,data/oxford_txts/PardT_oxford.txt,"Than had thise wrecches two, er hir ending.°",OXFORD,Past plural must end in -en or -e,Than hadde thise wrecches two er hir endyng,No exception (normal form)
putten,put,v%inf,Troilus and Criseyde; Book IV 1512,data/oxford_txts/TC4_oxford.txt,To put that sikernesse in jupartie.,OXFORD,Infinitive must end in -en or -e,To putte that sikernesse in jupertie,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Tale 1019,data/oxford_txts/WBT_oxford.txt,"That dar sey nay, of that I shal thee teche;",OXFORD,Infinitive must end in -en or -e,That dar seye nay of that I shal thee teche,No exception (normal form)
shulen,shold,v%pt_pl,The Miller's Tale 3454,data/oxford_txts/MilT_oxford.txt,Men shold nat knowe of Goddes privetee.°,OXFORD,Past plural must end in -en or -e,Men sholde nat knowe of Goddes pryvetee,No exception (normal form)
helen,heel,v%inf,Book of the Duchess 571,data/oxford_txts/BD_oxford.txt,Ne° heel me may no phisicien,OXFORD,Infinitive must end in -en or -e,Ne hele me may no phisicien,No exception (normal form)
tellen,tell,v%inf,The Shipman's Tale 120,data/oxford_txts/ShipT_oxford.txt,“Dar I nat tell how that it stant with me.,OXFORD,Infinitive must end in -en or -e,Dar I nat telle how that it stant with me,No exception (normal form)
shulen,shold,v%pt_pl,The Franklin's Tale 1220,data/oxford_txts/FranT_oxford.txt,What somme° shold this maistres gerdon° be,OXFORD,Past plural must end in -en or -e,What somme sholde this maistres gerdon be,No exception (normal form)
tellen,tell,v%inf,The Knight's Tale 1967,data/oxford_txts/KnT_oxford.txt,¶Why sholde I noght as wel eek tell yow al,OXFORD,Infinitive must end in -en or -e,Why sholde I noght as wel eek telle yow al,No exception (normal form)
undertaken,undertak,v%inf,The Squire's Tale 36,data/oxford_txts/SqT_oxford.txt,I dar nat undertak so heigh a thing.,OXFORD,Infinitive must end in -en or -e,I dar nat undertake so heigh a thyng,No exception (normal form)
finden,find,v%pr_pl,The Nun's Priest's Tale 2957,data/oxford_txts/NPT_oxford.txt,Ne find yow nat repleet° of humours hote;,OXFORD,Present plural must end in -en or -e,Ne fynde yow nat repleet of humours hoote,No exception (normal form)
answeren,answer,v%inf,The Shipman's Tale 412,data/oxford_txts/ShipT_oxford.txt,"I wol answer yow shortly, to the point.",OXFORD,Infinitive must end in -en or -e,I wol answere yow shortly to the poynt,No exception (normal form)
liven,lived,v%pt_pl,Book of the Duchess 915,data/oxford_txts/BD_oxford.txt,That ever lived were now alive,OXFORD,Past plural must end in -en or -e,That ever livede were now alyve,No exception (normal form)
maken,mak,v%pr_pl,The Friar's Tale 1505,data/oxford_txts/FriT_oxford.txt,Mak ye yow newe bodies thus alway,OXFORD,Present plural must end in -en or -e,Make ye yow newe bodies thus alway,No exception (normal form)
shulen,shold,v%pt_pl,The Franklin's Tale 1478,data/oxford_txts/FranT_oxford.txt,But if ye shold° your trouthe kepe and save.°,OXFORD,Past plural must end in -en or -e,But if ye sholde youre trouthe kepe and save,No exception (normal form)
ben,wer,v%pt_pl,The Canon's Yeoman's Tale 864,data/oxford_txts/CYT_oxford.txt,"For had we him,° than wer we siker ynow.°",OXFORD,Past plural must end in -en or -e,For hadde we hym thanne were we siker ynow,No exception (normal form)
speken,spake,v%pt_3,The Pardoner's Tale 776,data/oxford_txts/PardT_oxford.txt,¶The worste of hem he spake the firste word.,OXFORD,Strong pt sg must not end in -en or -e,The worste of hem he spak the firste word,No exception (normal form)
wedden,wed,v%inf,The Wife of Bath's Prologue 168,data/oxford_txts/WBPro_oxford.txt,Yet hadde I lever° wed no wif toyere!”°,OXFORD,Infinitive must end in -en or -e,Yet hadde I levere wedde no wyf toyeere,No exception (normal form)
paien,pay,v%inf,The General Prologue 834,data/oxford_txts/GP_oxford.txt,Shal pay for al that by the wey is spent.,OXFORD,Infinitive must end in -en or -e,Shal paye for al that by the wey is spent,No exception (normal form)
haven,hath,v%pr_3,Parliament of Fowls 38,data/oxford_txts/PF_oxford.txt,That him for joye in armes hath ynome.°,OXFORD,Present 3rd sg must end in -eth,That hym for joie in armes hath inome,No exception (normal form)
pleien,pley,v%inf,Book of the Duchess 850,data/oxford_txts/BD_oxford.txt,Laughe and pley so womanly,OXFORD,Infinitive must end in -en or -e,Laughe and pleye so womanly,No exception (normal form)
comen,com,v%ppl,Book of the Duchess 135,data/oxford_txts/BD_oxford.txt,"¶Whan he was com, she bad him thus:",OXFORD,Strong participle must end in -en or -e,Whan he was come she bad hym thus,No exception (normal form)
finden,found,v%ppl,House of Fame 2054,data/oxford_txts/HF_oxford.txt,"“That shal be found, that dar I leye”°:—",OXFORD,Strong participle must end in -en or -e,That shal be founde That dar I leye,No exception (normal form)
sitten,sete,v%pt_3,Book of the Duchess 501,data/oxford_txts/BD_oxford.txt,He ferd° thus evel° there° he sete,OXFORD,Strong pt sg must not end in -en or -e,He ferde thus evel there he set,No exception (normal form)
ben,wer,v%pt_pl,The Wife of Bath's Prologue 118,data/oxford_txts/WBPro_oxford.txt,"Trusteth right wel, they wer nat maad for noght.",OXFORD,Past plural must end in -en or -e,Trusteth right wel they were nat maad for noght,No exception (normal form)
loken,lok,v%inf,The Wife of Bath's Prologue 317,data/oxford_txts/WBPro_oxford.txt,"I trow,° thou woldest lok° me in thy chiste!",OXFORD,Infinitive must end in -en or -e,I trowe thou woldest loke me in thy chiste,No exception (normal form)
tellen,tell,v%inf,The Franklin's Tale 1316,data/oxford_txts/FranT_oxford.txt,Noght wolde I° tell how me is wo bigon;°,OXFORD,Infinitive must end in -en or -e,Noght wolde I telle how me is wo bigon,No exception (normal form)
seien,sey,v%inf,The Merchant's Tale 1254,data/oxford_txts/MerT_oxford.txt,"I can nat sey, but swich a greet corage°",OXFORD,Infinitive must end in -en or -e,I kan nat seye but swich a greet corage,No exception (normal form)
taken,tak,v%inf,The Pardoner's Tale 886,data/oxford_txts/PardT_oxford.txt,To tak the botel ther° the poison was,OXFORD,Infinitive must end in -en or -e,To take the botel ther the poyson was,No exception (normal form)
knouen,know,v%pr_pl,Parliament of Fowls 386,data/oxford_txts/PF_oxford.txt,"Ye know wel how, Seint Valentines day",OXFORD,Present plural must end in -en or -e,Ye knowe wel how Seynt Valentynes day,No exception (normal form)
