headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
setten,sette,v%pt_3,The Merchant's Tale 2234,data/oxford_txts/MerT_oxford.txt,This king of fairie thanne adoun him sette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This kyng of Fairye thanne adoun hym sette,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 341,data/oxford_txts/WBPro_oxford.txt,And sey thise wordes in the apostles name,OXFORD,Infinitive must end in -en or -e,And seye thise wordes in the Apostles name,No exception (normal form)
shitten,shette,v%pt_3,The Shipman's Tale 249,data/oxford_txts/ShipT_oxford.txt,"And with that word his countour-dore he shette,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And with that word his countourdore he shette,No exception (normal form)
drauen,draw,v%ppl,Book of the Duchess 682,data/oxford_txts/BD_oxford.txt,I wolde have draw the same draught.°,OXFORD,Strong participle must end in -en or -e,I wolde have drawe the same draughte,No exception (normal form)
cacchen,caughte,v%pt_3,The Clerk's Tale 619,data/oxford_txts/ClT_oxford.txt,This markis caughte yet another lest°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This markys caughte yet another lest,No exception (normal form)
loken,lok,v%inf,The Wife of Bath's Prologue 317,data/oxford_txts/WBPro_oxford.txt,"I trow,° thou woldest lok° me in thy chiste!",OXFORD,Infinitive must end in -en or -e,I trowe thou woldest loke me in thy chiste,No exception (normal form)
wenden,wente,v%pt_3,The Clerk's Tale 536,data/oxford_txts/ClT_oxford.txt,As though he wolde han slain it er° he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",As though he wolde han slayn it er he wente,No exception (normal form)
heren,herde,v%pt_3,Parliament of Fowls 60,data/oxford_txts/PF_oxford.txt,And after that the melodie herde he,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And after that the melodye herde he,No exception (normal form)
answeren,answerde,v%pt_3,The Second Nun's Tale 319,data/oxford_txts/SNT_oxford.txt,To whom Cecile answerde boldely,OXFORD,"Weak pt sg must end in -ed, -d, or -t",To whom Cecile answerde boldely,No exception (normal form)
henten,hente,v%pt_3,The Canon's Yeoman's Tale 1325,data/oxford_txts/CYT_oxford.txt,"And hidde it, and him hente° by the breest",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And hidde it and hym hente by the breest,No exception (normal form)
taken,toke,v%pt_1,Book of the Duchess 839,data/oxford_txts/BD_oxford.txt,"So sodenly, that I ne toke",OXFORD,Strong pt sg must not end in -en or -e,So sodenly that I ne tok,No exception (normal form)
sterten,sterte,v%pt_3,Troilus and Criseyde; Book V 200,data/oxford_txts/TC5_oxford.txt,Tho sodeinly doun from his hors he sterte,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Tho sodeynly doun from his hors he sterte,No exception (normal form)
sitten,sete,v%pt_3,Book of the Duchess 501,data/oxford_txts/BD_oxford.txt,He ferd° thus evel° there° he sete,OXFORD,Strong pt sg must not end in -en or -e,He ferde thus evel there he set,No exception (normal form)
seien,sey,v%inf,The Miller's Tale 3412,data/oxford_txts/MilT_oxford.txt,And to hir housbonde bad° hir for to sey,OXFORD,Infinitive must end in -en or -e,And to hire housbonde bad hire for to seye,No exception (normal form)
taken,toke,v%pt_3,Book of the Duchess 48,data/oxford_txts/BD_oxford.txt,"A romaunce, and he it me toke°",OXFORD,Strong pt sg must not end in -en or -e,A romaunce and he it me tok,No exception (normal form)
liven,lived,v%pt_pl,Book of the Duchess 915,data/oxford_txts/BD_oxford.txt,That ever lived were now alive,OXFORD,Past plural must end in -en or -e,That ever livede were now alyve,No exception (normal form)
claimen,claim,v%pr_pl,The Wife of Bath's Tale 1120,data/oxford_txts/WBT_oxford.txt,"For which we claim to been of heigh parage,°",OXFORD,Present plural must end in -en or -e,For which we clayme to been of heigh parage,No exception (normal form)
closen,clos,v%inf,Book of the Duchess 873,data/oxford_txts/BD_oxford.txt,"And clos; for, were she never so glad",OXFORD,Infinitive must end in -en or -e,And close for were she never so glad,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book II 899,data/oxford_txts/TC2_oxford.txt,But every word which that she of hir herde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",But every word which that she of hire herde,No exception (normal form)
haven,had,v%pt_pl,The Wife of Bath's Prologue 565,data/oxford_txts/WBPro_oxford.txt,"Til trewely we had swich daliance,°",OXFORD,Past plural must end in -en or -e,Til trewely we hadde swich daliance,No exception (normal form)
heren,herde,v%pt_3,The Prioress' Tale 518,data/oxford_txts/PrT_oxford.txt,He Alma redemptoris° herde singe,OXFORD,"Weak pt sg must end in -ed, -d, or -t",He Alma redemptoris herde synge,No exception (normal form)
stonden,stond,v%inf,Parliament of Fowls 315,data/oxford_txts/PF_oxford.txt,"For me to stond, so ful was al the place.",OXFORD,Infinitive must end in -en or -e,For me to stonde so ful was al the place,No exception (normal form)
techen,taughte,v%pt_1,The Wife of Bath's Tale 1050,data/oxford_txts/WBT_oxford.txt,I taughte this answere unto the knight;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",I taughte this answere unto the knyght,No exception (normal form)
answeren,answerde,v%pt_3,The Clerk's Tale 299,data/oxford_txts/ClT_oxford.txt,"Answerde, “Lord, he is al redy here.”",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Answerde Lord he is al redy heere,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book III 1792,data/oxford_txts/TC3_oxford.txt,"That lover was, whan he it wiste or herde.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That lovere was whan he it wiste or herde,No exception (normal form)
ben,wer,v%pt_pl,The Monk's Tale 2088,data/oxford_txts/MkT_oxford.txt,And eek three thousand bodies wer ther slain,OXFORD,Past plural must end in -en or -e,And eek thre thousand bodyes were ther slayn,No exception (normal form)
heren,herde,v%pt_3,The Wife of Bath's Tale 1036,data/oxford_txts/WBT_oxford.txt,"With manly vois, that al the court it herde:",OXFORD,"Weak pt sg must end in -ed, -d, or -t",With manly voys that al the court it herde,No exception (normal form)
putten,putte,v%pt_3,The Clerk's Tale 1138,data/oxford_txts/ClT_oxford.txt,Al putte he nat his wif in greet assay.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Al putte he nat his wyf in greet assay,No exception (normal form)
comen,com,v%inf,The Miller's Tale 3616,data/oxford_txts/MilT_oxford.txt,Noës flood com walwing° as the see,OXFORD,Infinitive must end in -en or -e,Noees flood come walwynge as the see,No exception (normal form)
willen,wold,v%pt_pl,Book of the Duchess 1130,data/oxford_txts/BD_oxford.txt,But wold ye tel me the manere,OXFORD,Past plural must end in -en or -e,But wolde ye tel me the manere,No exception (normal form)
haven,had,v%pt_pl,House of Fame 1138,data/oxford_txts/HF_oxford.txt,"That had ybeen in mochel wele,°",OXFORD,Past plural must end in -en or -e,That had iben in mochel wele,No exception (normal form)
biginnen,began,v%pt_pl,House of Fame 1220,data/oxford_txts/HF_oxford.txt,That craftely began to pipe,OXFORD,Past plural must end in -en or -e,That craftely begunne to pipe,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 830,data/oxford_txts/BD_oxford.txt,"Shortly, what shal I more sey?",OXFORD,Infinitive must end in -en or -e,Shortly what shal y more seye,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 603,data/oxford_txts/TC5_oxford.txt,And after this he to the yates wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And after this he to the yates wente,No exception (normal form)
knouen,know,v%inf,The Franklin's Tale 1362,data/oxford_txts/FranT_oxford.txt,"Or know myselven fals, or lees my name",OXFORD,Infinitive must end in -en or -e,Or knowe myselven fals or lese my name,No exception (normal form)
answeren,answerde,v%pt_3,The Franklin's Tale 1585,data/oxford_txts/FranT_oxford.txt,¶This philosophre sobrely° answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This philosophre sobrely answerde,No exception (normal form)
preien,pray,v%inf,The Wife of Bath's Prologue 184,data/oxford_txts/WBPro_oxford.txt,"¶“Dame, I wold pray yow, if your wil it were,”",OXFORD,Infinitive must end in -en or -e,Dame I wolde praye yow if youre wyl it were,No exception (normal form)
prien,pri,v%inf,Troilus and Criseyde; Book II 404,data/oxford_txts/TC2_oxford.txt,And send yow thanne a mirour in to prië,OXFORD,Infinitive must end in -en or -e,And sende yow than a myrour in to prye,No exception (normal form)
henten,hente,v%pt_3,Troilus and Criseyde; Book II 924,data/oxford_txts/TC2_oxford.txt,Til at the last the dede sleep hir hente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Til at the laste the dede slep hire hente,No exception (normal form)
preien,prey,v%inf,The Summoner's Tale 1976,data/oxford_txts/SumT_oxford.txt,To prey for yow is ay° so diligent,OXFORD,Infinitive must end in -en or -e,To preye for yow is ay so diligent,No exception (normal form)
wenden,i,v%pt_1,Book of the Duchess 357,data/oxford_txts/BD_oxford.txt,"I took my hors, and forthe I went",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Took my hors and forth I wente,No exception (normal form)
blouen,blow,v%inf,House of Fame 1790,data/oxford_txts/HF_oxford.txt,"Go, blow this folk a sory grace,”°",OXFORD,Infinitive must end in -en or -e,Goo blowe this folk a sory grace,No exception (normal form)
clepen,clep,v%inf,The Miller's Tale 3577,data/oxford_txts/MilT_oxford.txt,"Than wol I clep,° ‘how! Alison! how! John!",OXFORD,Infinitive must end in -en or -e,Thanne wol I clepe How Alison How John,No exception (normal form)
wenden,wente,v%pt_3,The Nun's Priest's Tale 3102,data/oxford_txts/NPT_oxford.txt,And ship and man under the water wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And ship and man under the water wente,No exception (normal form)
speken,spake,v%pt_3,House of Fame 1870,data/oxford_txts/HF_oxford.txt,Me thoughte goodly° to me spake,OXFORD,Strong pt sg must not end in -en or -e,Me thoughte goodly to me spak,No exception (normal form)
wenden,wente,v%pt_3,The Knight's Tale 2637,data/oxford_txts/KnT_oxford.txt,For er° the sonne unto the reste wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",For er the sonne unto the reste wente,No exception (normal form)
tellen,tell,v%inf,The Shipman's Tale 120,data/oxford_txts/ShipT_oxford.txt,“Dar I nat tell how that it stant with me.,OXFORD,Infinitive must end in -en or -e,Dar I nat telle how that it stant with me,No exception (normal form)
wenden,wente,v%pt_3,The Prioress' Tale 614,data/oxford_txts/PrT_oxford.txt,"The Cristen folk, that thurgh the strete wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",The Cristene folk that thurgh the strete wente,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book I 317,data/oxford_txts/TC1_oxford.txt,Out of the temple al esiliche he wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Out of the temple al esilich he wente,No exception (normal form)
answeren,answerde,v%pt_3,The Franklin's Tale 1511,data/oxford_txts/FranT_oxford.txt,"And she answerde, half as° she wer mad",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And she answerde half as she were mad,No exception (normal form)
wenden,wente,v%pt_3,The Reeve's Tale 4211,data/oxford_txts/RvT_oxford.txt,And up he roos and softely he wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And up he roos and softely he wente,No exception (normal form)
bringen,broughte,v%pt_3,Troilus and Criseyde; Book IV 203,data/oxford_txts/TC4_oxford.txt,"Of Antenor, that broughte hem to mischaunce!",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Of Antenor that brought hem to meschaunce,No exception (normal form)
seien,sey,v%inf,The Canon's Yeoman's Tale 1041,data/oxford_txts/CYT_oxford.txt,To swich a man I can never sey nay.”,OXFORD,Infinitive must end in -en or -e,To swich a man I kan never seye nay,No exception (normal form)
henten,hente,v%pt_3,Troilus and Criseyde; Book III 1187,data/oxford_txts/TC3_oxford.txt,He hir in armes faste to him hente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",He hire in armes faste to hym hente,No exception (normal form)
seien,sey,v%inf,The Canon's Yeoman's Tale 1339,data/oxford_txts/CYT_oxford.txt,"To° fir and hamer; might no man sey nay,°",OXFORD,Infinitive must end in -en or -e,To fir and hamer myghte no man seye nay,No exception (normal form)
cacchen,caughte,v%pt_3,The Clerk's Tale 674,data/oxford_txts/ClT_oxford.txt,"That he hir doghter caughte, right so he",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That he hire doghter caughte right so he,No exception (normal form)
knouen,know,v%inf,The Second Nun's Tale 238,data/oxford_txts/SNT_oxford.txt,"To know the trouthe, as I do in this place.”",OXFORD,Infinitive must end in -en or -e,To knowe the trouthe as I do in this place,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book II 1087,data/oxford_txts/TC2_oxford.txt,"The ruby in his signet, and it sette",OXFORD,"Weak pt sg must end in -ed, -d, or -t",The ruby in his signet and it sette,No exception (normal form)
connen,coud,v%pt_pl,The Wife of Bath's Tale 1008,data/oxford_txts/WBT_oxford.txt,"Coud ye me wisse,° I wold wel quit your hire.”°",OXFORD,Past plural must end in -en or -e,Koude ye me wisse I wolde wel quite youre hire,No exception (normal form)
henten,hente,v%pt_3,The General Prologue 698,data/oxford_txts/GP_oxford.txt,"Upon the see, til Jhesu Crist him hente.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Upon the see til Jhesu Crist hym hente,No exception (normal form)
sitten,satte,v%pt_3,The Pardoner's Tale 664,data/oxford_txts/PardT_oxford.txt,"And as they satte, they herde a belle clinke°",OXFORD,Strong pt sg must not end in -en or -e,And as they sat they herde a belle clynke,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book IV 1653,data/oxford_txts/TC4_oxford.txt,To this answerde Troilus and seide,OXFORD,"Weak pt sg must end in -ed, -d, or -t",To this answerde Troilus and seyde,No exception (normal form)
singen,sing,v%inf,Book of the Duchess 318,data/oxford_txts/BD_oxford.txt,"To sing, for ech of hem him peined",OXFORD,Infinitive must end in -en or -e,To synge for ech of hem hym peyned,No exception (normal form)
faren,far,v%inf,The Wife of Bath's Prologue 501,data/oxford_txts/WBPro_oxford.txt,"Lat him far wel, God yeve his soule reste",OXFORD,Infinitive must end in -en or -e,Lat hym fare wel God yeve his soule reste,No exception (normal form)
techen,taughte,v%pt_3,The General Prologue 497,data/oxford_txts/GP_oxford.txt,"That first he wroghte, and afterward he taughte;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That first he wroghte and afterward he taughte,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book III 1581,data/oxford_txts/TC3_oxford.txt,"Whan time was, hom til hir hous she wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Whan tyme was hom til here hous she wente,No exception (normal form)
knouen,know,v%pr_pl,The Wife of Bath's Prologue 90,data/oxford_txts/WBPro_oxford.txt,Ye know what this ensample may resemble.°,OXFORD,Present plural must end in -en or -e,Ye knowe what this ensample may resemble,No exception (normal form)
mouen,might,v%pt_pl,The Reeve's Tale 4117,data/oxford_txts/RvT_oxford.txt,"For it was night, and forther might they noght;",OXFORD,Past plural must end in -en or -e,For it was nyght and forther myghte they noght,No exception (normal form)
durren,dorst,v%pt_pl,The Nun's Priest's Tale 2918,data/oxford_txts/NPT_oxford.txt,How dorst ye° seyn for shame unto your love,OXFORD,Past plural must end in -en or -e,How dorste ye seyn for shame unto youre love,No exception (normal form)
henten,hente,v%pt_3,Troilus and Criseyde; Book I 1045,data/oxford_txts/TC1_oxford.txt,And Pandare in his armes hente faste,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And Pandare in his armes hente faste,No exception (normal form)
boillen,boil,v%inf,The General Prologue 380,data/oxford_txts/GP_oxford.txt,To boil the chiknes with the marybones,OXFORD,Infinitive must end in -en or -e,To boille the chiknes with the marybones,No exception (normal form)
thinken,think,v%inf,Parliament of Fowls 548,data/oxford_txts/PF_oxford.txt,Me wolde think how that the worthieste,OXFORD,Infinitive must end in -en or -e,Me wolde thynke how that the worthieste,No exception (normal form)
asterten,astert,v%inf,Book of the Duchess 1154,data/oxford_txts/BD_oxford.txt,"And who hath that, may not astert.°",OXFORD,Infinitive must end in -en or -e,And who hath that may not asterte,No exception (normal form)
mouen,might,v%pt_pl,The Squire's Tale 634,data/oxford_txts/SqT_oxford.txt,They niste° how they might the faucon glade.°,OXFORD,Past plural must end in -en or -e,They nyste hou they myghte the faucon glade,No exception (normal form)
paien,pay,v%inf,The General Prologue 834,data/oxford_txts/GP_oxford.txt,Shal pay for al that by the wey is spent.,OXFORD,Infinitive must end in -en or -e,Shal paye for al that by the wey is spent,No exception (normal form)
helen,heel,v%inf,Book of the Duchess 40,data/oxford_txts/BD_oxford.txt,That may me heel; but that is done.°,OXFORD,Infinitive must end in -en or -e,That may me hele but that is don,No exception (normal form)
wenden,wente,v%pt_1,The Wife of Bath's Prologue 544,data/oxford_txts/WBPro_oxford.txt,(So often times I to my gossib wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",So often tymes I to my gossyb wente,No exception (normal form)
tellen,tell,v%inf,The Franklin's Tale 1316,data/oxford_txts/FranT_oxford.txt,Noght wolde I° tell how me is wo bigon;°,OXFORD,Infinitive must end in -en or -e,Noght wolde I telle how me is wo bigon,No exception (normal form)
bisien,besied,v%pt_pl,Parliament of Fowls 192,data/oxford_txts/PF_oxford.txt,Som besied hem° hir briddes° forth to bringe;,OXFORD,Past plural must end in -en or -e,Some besyede hem here bryddes forth to brynge,No exception (normal form)
tellen,tell,v%inf,The Merchant's Tale 1872,data/oxford_txts/MerT_oxford.txt,Tell thy wo? She wole alwey seye ‘nay’;,OXFORD,Infinitive must end in -en or -e,Telle thy wo She wole alwey seye nay,No exception (normal form)
setten,sette,v%pt_3,The Canon's Yeoman's Tale 1145,data/oxford_txts/CYT_oxford.txt,Upon the fir anon sette this thing,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Upon the fir anon sette this thyng,No exception (normal form)
setten,sette,v%pt_1,The Wife of Bath's Prologue 215,data/oxford_txts/WBPro_oxford.txt,"I sette hem so awerke, by my fey,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",I sette hem so awerke by my fey,No exception (normal form)
ben,wer,v%pt_pl,The Franklin's Tale 892,data/oxford_txts/FranT_oxford.txt,Wer sonken° into helle for his sake!,OXFORD,Past plural must end in -en or -e,Were sonken into helle for his sake,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book I 163,data/oxford_txts/TC1_oxford.txt,"In general, ther wente many a wight",OXFORD,"Weak pt sg must end in -ed, -d, or -t",In general ther wente many a wight,No exception (normal form)
heren,herde,v%pt_1,House of Fame 2057,data/oxford_txts/HF_oxford.txt,The thinges that I herde there,OXFORD,"Weak pt sg must end in -ed, -d, or -t",The thinges that I herde there,No exception (normal form)
areden,ared,v%inf,Book of the Duchess 289,data/oxford_txts/BD_oxford.txt,"I trowe, ared° my dremes even.°",OXFORD,Infinitive must end in -en or -e,I trowe arede my dremes even,No exception (normal form)
heren,herde,v%pt_3,The Knight's Tale 1123,data/oxford_txts/KnT_oxford.txt,"¶This Palamon, whan he tho° wordes herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Palamon whan he tho wordes herde,No exception (normal form)
heren,herde,v%pt_3,The Merchant's Tale 1519,data/oxford_txts/MerT_oxford.txt,"¶Justinus, that ay° stille sat and herde,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Justinus that ay stille sat and herde,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book II 927,data/oxford_txts/TC2_oxford.txt,Under hir breste his longe clawes sette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Under hire brest his longe clawes sette,No exception (normal form)
comen,com,v%inf,Troilus and Criseyde; Book II 430,data/oxford_txts/TC2_oxford.txt,"“By God, I shal nomore com here this wike",OXFORD,Infinitive must end in -en or -e,By God I shal namore come here this wyke,No exception (normal form)
comen,com,v%inf,The Friar's Tale 1516,data/oxford_txts/FriT_oxford.txt,Com ther thee nedeth nat of me to lere.°,OXFORD,Infinitive must end in -en or -e,Come there thee nedeth nat of me to leere,No exception (normal form)
appareillen,apparail,v%inf,The Wife of Bath's Prologue 343,data/oxford_txts/WBPro_oxford.txt,"Ye wommen shul apparail yow,” quod he",OXFORD,Infinitive must end in -en or -e,Ye wommen shul apparaille yow quod he,No exception (normal form)
haven,had,v%pt_pl,The Nun's Priest's Tale 3121,data/oxford_txts/NPT_oxford.txt,"That ye had rad° his legende, as have I.",OXFORD,Past plural must end in -en or -e,That ye hadde rad his legende as have I,No exception (normal form)
haven,had,v%pt_pl,The Pardoner's Tale 892,data/oxford_txts/PardT_oxford.txt,"Than had thise wrecches two, er hir ending.°",OXFORD,Past plural must end in -en or -e,Than hadde thise wrecches two er hir endyng,No exception (normal form)
wenden,wente,v%pt_3,The Merchant's Tale 2376,data/oxford_txts/MerT_oxford.txt,"“Strugle!” quod he, “Ye, algate° in it wente!",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Strugle quod he Ye algate in it wente,No exception (normal form)
comen,come,v%pt_3,Book of the Duchess 78,data/oxford_txts/BD_oxford.txt,"Hath wonder, that the king ne come",OXFORD,Strong pt sg must not end in -en or -e,Hath wonder that the king ne com,No exception (normal form)
ben,wer,v%pt_pl,House of Fame 1350,data/oxford_txts/HF_oxford.txt,And they wer set as thikke of nouchis°,OXFORD,Past plural must end in -en or -e,And they were set as thik of nouchis,No exception (normal form)
wenden,wente,v%pt_3,The Canon's Yeoman's Tale 1017,data/oxford_txts/CYT_oxford.txt,"For bord° ne clothing, wente he never so gaye;°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",For bord ne clothyng wente he never so gaye,No exception (normal form)
connen,can,v%pr_pl,The Merchant's Tale 1424,data/oxford_txts/MerT_oxford.txt,"They can° so muchel craft° on Wades boot,°",OXFORD,Present plural must end in -en or -e,They konne so muchel craft on Wades boot,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 263,data/oxford_txts/BD_oxford.txt,If he can mak me slepe sone,OXFORD,Infinitive must end in -en or -e,Yf he kan make me slepe sone,No exception (normal form)
sterten,sterte,v%pt_3,The Knight's Tale 1573,data/oxford_txts/KnT_oxford.txt,A longe time; and after he up sterte.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",A longe tyme and after he up sterte,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book III 801,data/oxford_txts/TC3_oxford.txt,And with a sik she sorwfully answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And with a sik she sorwfully answerde,No exception (normal form)
chesen,chees,v%inf,The Wife of Bath's Tale 898,data/oxford_txts/WBT_oxford.txt,"To chees,° whether she wolde him save or spille.°",OXFORD,Infinitive must end in -en or -e,To chese wheither she wolde hym save or spille,No exception (normal form)
comen,com,v%inf,Book of the Duchess 731,data/oxford_txts/BD_oxford.txt,To com to hir. Another rage,OXFORD,Infinitive must end in -en or -e,To come to hir Another rage,No exception (normal form)
answeren,answerde,v%pt_3,Parliament of Fowls 638,data/oxford_txts/PF_oxford.txt,With dredful° vois the formel hir answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",With dredful vois the formel hire answerde,No exception (normal form)
heren,herde,v%pt_3,The Knight's Tale 953,data/oxford_txts/KnT_oxford.txt,"With herte pitous, whan he herde hem speke.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",With herte pitous whan he herde hem speke,No exception (normal form)
answeren,answerde,v%pt_3,The Reeve's Tale 4040,data/oxford_txts/RvT_oxford.txt,"¶Alein answerde, “John, and wiltow swa,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Aleyn answerde John and wiltow swa,No exception (normal form)
techen,taughte,v%pt_3,The Manciple's Tale 317,data/oxford_txts/MancT_oxford.txt,"But nathelees, thus taughte me my dame:",OXFORD,"Weak pt sg must end in -ed, -d, or -t",But nathelees thus taughte me my dame,No exception (normal form)
comen,com,v%inf,The Canon's Yeoman's Tale 1395,data/oxford_txts/CYT_oxford.txt,"In this craft, that men can nat com therby,°",OXFORD,Infinitive must end in -en or -e,In this craft that men kan nat come therby,No exception (normal form)
wenden,wente,v%pt_3,House of Fame 1925,data/oxford_txts/HF_oxford.txt,This queinte hous aboute wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This queynte hous aboute wente,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book II 1100,data/oxford_txts/TC2_oxford.txt,"Criseyde, whan that she hir uncle herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Criseyde whan that she hire uncle herde,No exception (normal form)
heren,herde,v%pt_3,The Miller's Tale 3844,data/oxford_txts/MilT_oxford.txt,"It was for noght, no man his reson herde;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",It was for noght no man his reson herde,No exception (normal form)
sterten,sterte,v%pt_3,The Knight's Tale 2684,data/oxford_txts/KnT_oxford.txt,"Out of the ground a furie infernal sterte,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Out of the ground a furie infernal sterte,No exception (normal form)
wenden,wente,v%pt_3,House of Fame 222,data/oxford_txts/HF_oxford.txt,And how with alle pine° he wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And how with alle pyne he wente,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Tale 1154,data/oxford_txts/WBT_oxford.txt,And hadde hise eldres noble and vertuous,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And hadde his eldres noble and vertuous,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book III 700,data/oxford_txts/TC3_oxford.txt,By Troilus adoun right he him sette.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",By Troilus adown right he hym sette,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book IV 338,data/oxford_txts/TC4_oxford.txt,Out of his brest ech after other wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Out of his brest ech after other wente,No exception (normal form)
connen,kon,v%pr_pl,House of Fame 338,data/oxford_txts/HF_oxford.txt,How sore that ye men kon grone,OXFORD,Present plural must end in -en or -e,How sore that ye men konne groone,No exception (normal form)
putten,put,v%inf,Troilus and Criseyde; Book IV 1512,data/oxford_txts/TC4_oxford.txt,To put that sikernesse in jupartie.,OXFORD,Infinitive must end in -en or -e,To putte that sikernesse in jupertie,No exception (normal form)
slepen,sleep,v%inf,Book of the Duchess 274,data/oxford_txts/BD_oxford.txt,"To sleep, that right upon my booke",OXFORD,Infinitive must end in -en or -e,To slepe that ryght upon my book,No exception (normal form)
wenden,wente,v%pt_3,The Merchant's Tale 2119,data/oxford_txts/MerT_oxford.txt,By which into his gardin ofte he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",By which into his gardyn ofte he wente,No exception (normal form)
connen,con,v%pr_pl,The Nun's Priest's Tale 2921,data/oxford_txts/NPT_oxford.txt,Allas! and con ye been° agast of swevenis?°,OXFORD,Present plural must end in -en or -e,Allas And konne ye been agast of swevenys,No exception (normal form)
witen,wit,v%pr_pl,The Canon's Yeoman's Tale 906,data/oxford_txts/CYT_oxford.txt,And wit° ye how? ful ofte it happeth so,OXFORD,Present plural must end in -en or -e,And wite ye how Ful ofte it happeth so,No exception (normal form)
heren,herde,v%pt_3,The Miller's Tale 3439,data/oxford_txts/MilT_oxford.txt,"¶But al for noght, he herde nat a word;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",But al for noght he herde nat a word,No exception (normal form)
cacchen,caughte,v%pt_3,The General Prologue 498,data/oxford_txts/GP_oxford.txt,Out of the gospel he tho wordes caughte;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Out of the gospel he tho wordes caughte,No exception (normal form)
henten,hente,v%pt_3,The Clerk's Tale 534,data/oxford_txts/ClT_oxford.txt,"And spak namore, but out the child he hente°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And spak namoore but out the child he hente,No exception (normal form)
