headword,word,line_number,filename,context,is_elided,is_final,source_csv
swete,swete,Troilus and Criseyde; Book III 147,data/oxford_txts/TC3_oxford.txt,"Lo, this mene I, min owene swete herte.”",False,False,TC3_gui_complete.csv
sobre,sobre,Troilus and Criseyde; Book III 237,data/oxford_txts/TC3_oxford.txt,And gan to speken in a sobre wise,False,False,TC3_gui_complete.csv
god,gode,Troilus and Criseyde; Book III 264,data/oxford_txts/TC3_oxford.txt,"But gode brother, do now as thee oughte",False,False,TC3_gui_complete.csv
secre,secree,Troilus and Criseyde; Book III 286,data/oxford_txts/TC3_oxford.txt,To holden secree swich an heigh matere;,False,False,TC3_gui_complete.csv
wise,wise,Troilus and Criseyde; Book III 327,data/oxford_txts/TC3_oxford.txt,"For wel wot I, in wise folk, that vice",False,False,TC3_gui_complete.csv
lef,leve,Troilus and Criseyde; Book III 330,data/oxford_txts/TC3_oxford.txt,“But now to purpos; leve brother dere,False,False,TC3_gui_complete.csv
treu,trewe,Troilus and Criseyde; Book III 333,data/oxford_txts/TC3_oxford.txt,For at thy day thou shalt me trewe finde.,False,False,TC3_gui_complete.csv
ded,dede,Troilus and Criseyde; Book III 352,data/oxford_txts/TC3_oxford.txt,That han in winter dede been and dreie,False,False,TC3_gui_complete.csv
god,goode,Troilus and Criseyde; Book III 631,data/oxford_txts/TC3_oxford.txt,"“But goode nece, if I mighte ever plese",False,False,TC3_gui_complete.csv
muche,muche,Troilus and Criseyde; Book III 638,data/oxford_txts/TC3_oxford.txt,"Criseyde, whiche that coude as muche good",False,False,TC3_gui_complete.csv
huge,huge,Troilus and Criseyde; Book III 656,data/oxford_txts/TC3_oxford.txt,"And seide, “Lord, this is an huge rain!",False,False,TC3_gui_complete.csv
sobre,sobre,Troilus and Criseyde; Book III 747,data/oxford_txts/TC3_oxford.txt,"And Pandarus, with a ful sobre chere",False,False,TC3_gui_complete.csv
dere,dere,Troilus and Criseyde; Book III 774,data/oxford_txts/TC3_oxford.txt,And him hir ‘leef ’ and ‘dere herte’ calle,False,False,TC3_gui_complete.csv
ouen,owne,Troilus and Criseyde; Book III 915,data/oxford_txts/TC3_oxford.txt,Ye knowe eek how it is your owne knight,False,False,TC3_gui_complete.csv
prime,prime,Troilus and Criseyde; Book III 919,data/oxford_txts/TC3_oxford.txt,"And eek so lik a sooth, at prime face",False,False,TC3_gui_complete.csv
god,gode,Troilus and Criseyde; Book III 975,data/oxford_txts/TC3_oxford.txt,"Now doth him sitte, gode nece dere",False,False,TC3_gui_complete.csv
gret,grete,Troilus and Criseyde; Book III 992,data/oxford_txts/TC3_oxford.txt,"Your grete trouthe, and servise every day",False,False,TC3_gui_complete.csv
grene,grene,Troilus and Criseyde; Book III 1062,data/oxford_txts/TC3_oxford.txt,And after winter folweth grene May.,False,False,TC3_gui_complete.csv
ofte,ofte,Troilus and Criseyde; Book III 1129,data/oxford_txts/TC3_oxford.txt,"And al foryaf, and ofte time him keste.",False,False,TC3_gui_complete.csv
swete,swete,Troilus and Criseyde; Book III 1173,data/oxford_txts/TC3_oxford.txt,"Have mercy, swete herte min, Criseyde!",False,False,TC3_gui_complete.csv
swete,swete,Troilus and Criseyde; Book III 1183,data/oxford_txts/TC3_oxford.txt,"Foryeve it me, min owene swete herte.”",False,False,TC3_gui_complete.csv
bitter,bittre,Troilus and Criseyde; Book III 1215,data/oxford_txts/TC3_oxford.txt,Ful bittre drink; and for to han gladnesse,False,False,TC3_gui_complete.csv
juste,juste,Troilus and Criseyde; Book III 1227,data/oxford_txts/TC3_oxford.txt,As she that juste cause hadde him to triste,False,False,TC3_gui_complete.csv
swete,swete,Troilus and Criseyde; Book III 1278,data/oxford_txts/TC3_oxford.txt,"Min herte swete, how I yow mighte plese!",False,False,TC3_gui_complete.csv
fresh,fresshe,Troilus and Criseyde; Book III 1296,data/oxford_txts/TC3_oxford.txt,"For certes, fresshe wommanliche wif",False,False,TC3_gui_complete.csv
foul,foule,Troilus and Criseyde; Book III 1321,data/oxford_txts/TC3_oxford.txt,"Awey, thou foule daunger and thou fere",False,False,TC3_gui_complete.csv
neue,newe,Troilus and Criseyde; Book III 1404,data/oxford_txts/TC3_oxford.txt,And fallen in a newe joye anoon,False,False,TC3_gui_complete.csv
sore,sore,Troilus and Criseyde; Book III 1421,data/oxford_txts/TC3_oxford.txt,"With herte sore, to Troilus thus seide:—",False,False,TC3_gui_complete.csv
humble,humble,Troilus and Criseyde; Book III 1487,data/oxford_txts/TC3_oxford.txt,"That I, your humble servaunt and your knight",False,False,TC3_gui_complete.csv
treu,trewe,Troilus and Criseyde; Book III 1648,data/oxford_txts/TC3_oxford.txt,"And seide, “Freend, as I am trewe knight",False,False,TC3_gui_complete.csv
neue,newe,Troilus and Criseyde; Book III 1654,data/oxford_txts/TC3_oxford.txt,But now I fele a newe qualitee,False,False,TC3_gui_complete.csv
treu,trewe,The Merchant's Tale 1298,data/oxford_txts/MerT_oxford.txt,"A trewe servant dooth more diligence,°",False,False,MerT_gui_complete.csv
treu,trewe,The Merchant's Tale 1302,data/oxford_txts/MerT_oxford.txt,Thy verrai° frendes or a trewe knave°,False,False,MerT_gui_complete.csv
povre,povre,The Merchant's Tale 1342,data/oxford_txts/MerT_oxford.txt,"If he be povre,° she helpeth him to swinke;°",False,False,MerT_gui_complete.csv
humble,humble,The Merchant's Tale 1376,data/oxford_txts/MerT_oxford.txt,"As seith Senek,° above an humble wif.",False,False,MerT_gui_complete.csv
straunge,straunge,The Merchant's Tale 1440,data/oxford_txts/MerT_oxford.txt,"In straunge hand, and this I tell yow alle.",False,False,MerT_gui_complete.csv
dere,dere,The Merchant's Tale 1488,data/oxford_txts/MerT_oxford.txt,Min owene dere brother and my lord,False,False,MerT_gui_complete.csv
ouen,owene,The Merchant's Tale 1490,data/oxford_txts/MerT_oxford.txt,I hold° your owene conseil is the beste.,False,False,MerT_gui_complete.csv
badde,badde,The Merchant's Tale 1593,data/oxford_txts/MerT_oxford.txt,"And somme were riche, and hadden badde name.°",False,False,MerT_gui_complete.csv
sengle,sengle,The Merchant's Tale 1667,data/oxford_txts/MerT_oxford.txt,Wel ofte rather than a sengle° man!,False,False,MerT_gui_complete.csv
long,longe,The Merchant's Tale 1696,data/oxford_txts/MerT_oxford.txt,"I trowe° it were to longe yow to tarie,°",False,False,MerT_gui_complete.csv
tender,tendre,The Merchant's Tale 1738,data/oxford_txts/MerT_oxford.txt,Whan tendre youthe hath wedded stouping° age,False,False,MerT_gui_complete.csv
fals,false,The Merchant's Tale 1785,data/oxford_txts/MerT_oxford.txt,"O servant traitour, false hoomly° hewe,°",False,False,MerT_gui_complete.csv
fresh,fresshe,The Merchant's Tale 1882,data/oxford_txts/MerT_oxford.txt,Unto his faire fresshe° lady May.,False,False,MerT_gui_complete.csv
secre,secree,The Merchant's Tale 1937,data/oxford_txts/MerT_oxford.txt,"In secree wise° his purs, and eek his bille,°",False,False,MerT_gui_complete.csv
fair,faire,The Merchant's Tale 1955,data/oxford_txts/MerT_oxford.txt,¶Who studieth° now but faire fresshe May?,False,False,MerT_gui_complete.csv
ofte,ofte,The Merchant's Tale 2038,data/oxford_txts/MerT_oxford.txt,"¶Ful ofte time he, Pluto, and his quene",False,False,MerT_gui_complete.csv
warm,warme,The Merchant's Tale 2117,data/oxford_txts/MerT_oxford.txt,"In warme wex° hath emprented° the cliket,°",False,False,MerT_gui_complete.csv
olde,olde,The Merchant's Tale 2149,data/oxford_txts/MerT_oxford.txt,¶Swiche olde lewed° wordes used he;,False,False,MerT_gui_complete.csv
treu,trewe,The Merchant's Tale 2164,data/oxford_txts/MerT_oxford.txt,"Than thee offende,° trewe dere wif!",False,False,MerT_gui_complete.csv
dere,dere,The Merchant's Tale 2164,data/oxford_txts/MerT_oxford.txt,"Than thee offende,° trewe dere wif!",False,False,MerT_gui_complete.csv
wilde,wilde,The Merchant's Tale 2252,data/oxford_txts/MerT_oxford.txt,A wilde fir° and corrupt pestilence,False,False,MerT_gui_complete.csv
blind,blinde,The Merchant's Tale 2259,data/oxford_txts/MerT_oxford.txt,Unto this olde blinde worthy knight,False,False,MerT_gui_complete.csv
treu,trewe,The Merchant's Tale 2281,data/oxford_txts/MerT_oxford.txt,"Wommen ful trewe, ful gode, and vertuous.",False,False,MerT_gui_complete.csv
treu,trewe,The Merchant's Tale 2285,data/oxford_txts/MerT_oxford.txt,Of many a verrai trewe wif also.,False,False,MerT_gui_complete.csv
rude,rude,The Merchant's Tale 2351,data/oxford_txts/MerT_oxford.txt,"I can nat glose,° I am a rude° man.",False,False,MerT_gui_complete.csv
store,store,The Merchant's Tale 2367,data/oxford_txts/MerT_oxford.txt,"“O stronge° lady store,° what dostow?”°",False,False,MerT_gui_complete.csv
god,gode,The Merchant's Tale 2387,data/oxford_txts/MerT_oxford.txt,"“Ye maze,° maze, gode sire,” quod she",False,False,MerT_gui_complete.csv
grene,grene,The Reeve's Prologue 3878,data/oxford_txts/RvPro_oxford.txt,"To have an hoor heed° and a grene tail,°",False,False,RvPro_gui_complete.csv
olde,olde,The Reeve's Prologue 3898,data/oxford_txts/RvPro_oxford.txt,"With olde folk, save dotage,° is namore.”°",False,False,RvPro_gui_complete.csv
wilde,wilde,Sir Thopas 736,data/oxford_txts/Thop_oxford.txt,He coude° hunte at° wilde deer,False,False,Thop_gui_complete.csv
wilde,wilde,Sir Thopas 755,data/oxford_txts/Thop_oxford.txt,Therinne° is many a wilde best,False,False,Thop_gui_complete.csv
prive,privee,Sir Thopas 801,data/oxford_txts/Thop_oxford.txt,"That he fond, in a privee° woon,°",False,False,Thop_gui_complete.csv
humble,humble,The Franklin's Tale 758,data/oxford_txts/FranT_oxford.txt,"Sire, I wol be your humble trewe wif",False,False,FranT_gui_complete.csv
treu,trewe,The Franklin's Tale 758,data/oxford_txts/FranT_oxford.txt,"Sire, I wol be your humble trewe wif",False,False,FranT_gui_complete.csv
humble,humble,The Franklin's Tale 791,data/oxford_txts/FranT_oxford.txt,¶Heer may men seen an humble wis accord;,False,False,FranT_gui_complete.csv
yong,yonge,The Franklin's Tale 956,data/oxford_txts/FranT_oxford.txt,"Ther° yonge folk kepen° hir observaunces,°",False,False,FranT_gui_complete.csv
derk,derke,The Franklin's Tale 1074,data/oxford_txts/FranT_oxford.txt,Into hir owne derke regioun,False,False,FranT_gui_complete.csv
long,longe,The Franklin's Tale 1081,data/oxford_txts/FranT_oxford.txt,And longe time he lay forth° in a traunce.,False,False,FranT_gui_complete.csv
ded,dede,The Franklin's Tale 1181,data/oxford_txts/FranT_oxford.txt,And he answerde him that they dede° were,False,False,FranT_gui_complete.csv
wilde,wilde,The Franklin's Tale 1190,data/oxford_txts/FranT_oxford.txt,"Forestes, parkes° ful of wilde deer;",False,False,FranT_gui_complete.csv
wilde,wilde,The Franklin's Tale 1195,data/oxford_txts/FranT_oxford.txt,"He saugh, whan voided° wer thise wilde deer",False,False,FranT_gui_complete.csv
double,double,The Franklin's Tale 1252,data/oxford_txts/FranT_oxford.txt,"Janus sit by the fir, with double berd",False,False,FranT_gui_complete.csv
humble,humble,The Franklin's Tale 1309,data/oxford_txts/FranT_oxford.txt,"With dredful° herte and with ful humble chere,°",False,False,FranT_gui_complete.csv
noble,noble,The Franklin's Tale 1364,data/oxford_txts/FranT_oxford.txt,"Hath ther nat many a noble wif, er this",False,False,FranT_gui_complete.csv
lef,leve,The Franklin's Tale 1607,data/oxford_txts/FranT_oxford.txt,"¶This philosophre answerd, “Leve° brother",False,False,FranT_gui_complete.csv
dere,dere,Troilus and Criseyde; Book IV 405,data/oxford_txts/TC4_oxford.txt,"Forthi be glad, min owene dere brother",False,False,TC4_gui_complete.csv
neue,newe,Troilus and Criseyde; Book IV 416,data/oxford_txts/TC4_oxford.txt,And upon newe cas lith newe avis.,False,False,TC4_gui_complete.csv
lef,leve,Troilus and Criseyde; Book IV 458,data/oxford_txts/TC4_oxford.txt,"It lith not in my power, leve brother.",False,False,TC4_gui_complete.csv
nice,nice,Troilus and Criseyde; Book IV 536,data/oxford_txts/TC4_oxford.txt,Now is not this a nice vanitee?,False,False,TC4_gui_complete.csv
blak,blake,Troilus and Criseyde; Book IV 779,data/oxford_txts/TC4_oxford.txt,"Shul blake been, in tokening, herte swete",False,False,TC4_gui_complete.csv
tender,tendre,Troilus and Criseyde; Book IV 795,data/oxford_txts/TC4_oxford.txt,How shal your tendre herte this sustene?,False,False,TC4_gui_complete.csv
secre,secree,Troilus and Criseyde; Book IV 810,data/oxford_txts/TC4_oxford.txt,"Unto Criseyde, in a ful secree wise",False,False,TC4_gui_complete.csv
purpure,purpre,Troilus and Criseyde; Book IV 869,data/oxford_txts/TC4_oxford.txt,Aboute hir eyen two a purpre ring,False,False,TC4_gui_complete.csv
lef,leve,Troilus and Criseyde; Book IV 926,data/oxford_txts/TC4_oxford.txt,"And nought encresse, leve nece swete;",False,False,TC4_gui_complete.csv
fre,free,Troilus and Criseyde; Book IV 971,data/oxford_txts/TC4_oxford.txt,But that free chois is yeven us everichoon.,False,False,TC4_gui_complete.csv
fre,free,Troilus and Criseyde; Book IV 980,data/oxford_txts/TC4_oxford.txt,"We have no free chois, as these clerkes rede.",False,False,TC4_gui_complete.csv
smothe,smothe,Troilus and Criseyde; Book IV 996,data/oxford_txts/TC4_oxford.txt,That han hir top ful heighe and smothe yshore;,False,False,TC4_gui_complete.csv
fre,free,Troilus and Criseyde; Book IV 1059,data/oxford_txts/TC4_oxford.txt,For to destroye our free chois every del.—,False,False,TC4_gui_complete.csv
bitter,bittre,Troilus and Criseyde; Book IV 1136,data/oxford_txts/TC4_oxford.txt,"As bittre weren, out of teres kinde",False,False,TC4_gui_complete.csv
ofte,ofte,Troilus and Criseyde; Book IV 1161,data/oxford_txts/TC4_oxford.txt,But ofte time hir colde mouth he kiste;,False,False,TC4_gui_complete.csv
huge,huge,Troilus and Criseyde; Book IV 1387,data/oxford_txts/TC4_oxford.txt,“And that shal been an huge quantitee,False,False,TC4_gui_complete.csv
treu,trewe,Troilus and Criseyde; Book IV 1417,data/oxford_txts/TC4_oxford.txt,And that hir herte trewe was and kinde,False,False,TC4_gui_complete.csv
treu,trewe,Troilus and Criseyde; Book IV 1439,data/oxford_txts/TC4_oxford.txt,That of hir heste he might hir trewe finde.,False,False,TC4_gui_complete.csv
swete,swete,Troilus and Criseyde; Book IV 1449,data/oxford_txts/TC4_oxford.txt,"Dwel rather here, min owene swete herte!",False,False,TC4_gui_complete.csv
humble,humble,Troilus and Criseyde; Book IV 1499,data/oxford_txts/TC4_oxford.txt,"“For which, with humble, trewe, and pitous herte",False,False,TC4_gui_complete.csv
bar,bare,Troilus and Criseyde; Book IV 1522,data/oxford_txts/TC4_oxford.txt,"That, though we comen in our bare sherte",False,False,TC4_gui_complete.csv
riche,riche,The Miller's Tale 3188,data/oxford_txts/MilT_oxford.txt,"A riche gnof,° that gestes heeld to bord,°",False,False,MilT_gui_complete.csv
derne,derne,The Miller's Tale 3200,data/oxford_txts/MilT_oxford.txt,Of derne° love he coude and of° solas;°,False,False,MilT_gui_complete.csv
mek,meke,The Miller's Tale 3202,data/oxford_txts/MilT_oxford.txt,And lik a maiden meke for to see.,False,False,MilT_gui_complete.csv
derne,derne,The Miller's Tale 3278,data/oxford_txts/MilT_oxford.txt,"For derne° love of thee, lemman,° I spille.”°",False,False,MilT_gui_complete.csv
dere,dere,The Miller's Tale 3361,data/oxford_txts/MilT_oxford.txt,"“Now, dere lady, if thy wille be",False,False,MilT_gui_complete.csv
large,large,The Miller's Tale 3497,data/oxford_txts/MilT_oxford.txt,And broghte of mighty ale a large quart;,False,False,MilT_gui_complete.csv
ouen,owne,The Miller's Tale 3588,data/oxford_txts/MilT_oxford.txt,For it is Goddes owne heste° dere.,False,False,MilT_gui_complete.csv
dere,dere,The Miller's Tale 3610,data/oxford_txts/MilT_oxford.txt,"Go, dere spouse, and help to save our lif.”",False,False,MilT_gui_complete.csv
treu,trewe,The Miller's Tale 3715,data/oxford_txts/MilT_oxford.txt,That trewe love was ever so ivel biset!°,False,False,MilT_gui_complete.csv
swete,swete,The Miller's Tale 3726,data/oxford_txts/MilT_oxford.txt,"Lemman, thy grace, and swete brid, thin ore!”°",False,False,MilT_gui_complete.csv
softe,softe,The Miller's Tale 3760,data/oxford_txts/MilT_oxford.txt,A softe paas he wente over the street,False,False,MilT_gui_complete.csv
swete,swete,The Miller's Tale 3767,data/oxford_txts/MilT_oxford.txt,"“What, Absolon! for Cristes swete tree,°",False,False,MilT_gui_complete.csv
treu,trewe,The Miller's Tale 3781,data/oxford_txts/MilT_oxford.txt,"Thou sholdest have, as I am trewe smith;",False,False,MilT_gui_complete.csv
swete,swete,The Miller's Tale 3805,data/oxford_txts/MilT_oxford.txt,"“Spek, swete brid,° I noot° nat wher thou art.”",False,False,MilT_gui_complete.csv
grene,grene,The Clerk's Tale 120,data/oxford_txts/ClT_oxford.txt,"And though your grene youthe floure as yit,°",False,False,ClT_gui_complete.csv
heigh,hye,The Clerk's Tale 135,data/oxford_txts/ClT_oxford.txt,"And tak a wif, for hye Goddes sake;",False,False,ClT_gui_complete.csv
straunge,straunge,The Clerk's Tale 138,data/oxford_txts/ClT_oxford.txt,And that a straunge successour shold take,False,False,ClT_gui_complete.csv
mek,meke,The Clerk's Tale 141,data/oxford_txts/ClT_oxford.txt,Hir° meke preiere and hir pitous chere°,False,False,ClT_gui_complete.csv
selde,selde,The Clerk's Tale 146,data/oxford_txts/ClT_oxford.txt,That selde time is founde in mariage;,False,False,ClT_gui_complete.csv
povre,povre,The Clerk's Tale 200,data/oxford_txts/ClT_oxford.txt,In which that povre folk of that village,False,False,ClT_gui_complete.csv
povre,povre,The Clerk's Tale 204,data/oxford_txts/ClT_oxford.txt,Amonges thise povre folk ther dwelte a man,False,False,ClT_gui_complete.csv
tender,tendre,The Clerk's Tale 218,data/oxford_txts/ClT_oxford.txt,But thogh this maide tendre were of age,False,False,ClT_gui_complete.csv
povre,povre,The Clerk's Tale 222,data/oxford_txts/ClT_oxford.txt,Hir olde povre fader fostred she;°,False,False,ClT_gui_complete.csv
ofte,ofte,The Clerk's Tale 233,data/oxford_txts/ClT_oxford.txt,Ful ofte sithe° this markis sette his eye,False,False,ClT_gui_complete.csv
humble,humble,The Clerk's Tale 298,data/oxford_txts/ClT_oxford.txt,"And she with reverence, in humble chere,°",False,False,ClT_gui_complete.csv
lege,lige,The Clerk's Tale 310,data/oxford_txts/ClT_oxford.txt,And art my feithful lige man ybore;,False,False,ClT_gui_complete.csv
pale,pale,The Clerk's Tale 340,data/oxford_txts/ClT_oxford.txt,For which she loked with ful pale face.,False,False,ClT_gui_complete.csv
sobre,sobre,The Clerk's Tale 366,data/oxford_txts/ClT_oxford.txt,And forth he gooth with a ful sobre chere°,False,False,ClT_gui_complete.csv
wroth,wrothe,The Clerk's Tale 437,data/oxford_txts/ClT_oxford.txt,"Were wrothe,° she wold bringen hem atoon;°",False,False,ClT_gui_complete.csv
long,longe,The Clerk's Tale 442,data/oxford_txts/ClT_oxford.txt,Nat longe time after that this Grisild,False,False,ClT_gui_complete.csv
maide,maide,The Clerk's Tale 446,data/oxford_txts/ClT_oxford.txt,For though a maide child come al bifore,False,False,ClT_gui_complete.csv
sterne,sterne,The Clerk's Tale 465,data/oxford_txts/ClT_oxford.txt,With sterne face and with ful trouble chere,False,False,ClT_gui_complete.csv
trouble,trouble,The Clerk's Tale 465,data/oxford_txts/ClT_oxford.txt,With sterne face and with ful trouble chere,False,False,ClT_gui_complete.csv
ouen,owene,The Clerk's Tale 504,data/oxford_txts/ClT_oxford.txt,Your owene thing;° werketh after your wille.,False,False,ClT_gui_complete.csv
yong,yonge,The Clerk's Tale 567,data/oxford_txts/ClT_oxford.txt,“Have heer again your litel yonge maide.°,False,False,ClT_gui_complete.csv
ouen,owne,The Clerk's Tale 652,data/oxford_txts/ClT_oxford.txt,"Ye been our lord, doth with your owne thing",False,False,ClT_gui_complete.csv
povre,povre,The Clerk's Tale 724,data/oxford_txts/ClT_oxford.txt,For° he a povre womman wedded hadde,False,False,ClT_gui_complete.csv
humble,humble,The Clerk's Tale 824,data/oxford_txts/ClT_oxford.txt,But humble servant to your worthinesse,False,False,ClT_gui_complete.csv
treu,trewe,The Clerk's Tale 838,data/oxford_txts/ClT_oxford.txt,"And am your trewe wif, it is no drede",False,False,ClT_gui_complete.csv
neue,newe,The Clerk's Tale 841,data/oxford_txts/ClT_oxford.txt,"And of your newe wif, God of his grace",False,False,ClT_gui_complete.csv
bar,bare,The Clerk's Tale 879,data/oxford_txts/ClT_oxford.txt,Be seyn al bare; wherfor I yow preye,False,False,ClT_gui_complete.csv
povre,povre,The Clerk's Tale 904,data/oxford_txts/ClT_oxford.txt,For out of doute this olde povre man,False,False,ClT_gui_complete.csv
rude,rude,The Clerk's Tale 916,data/oxford_txts/ClT_oxford.txt,"For rude° was the cloth, and more of age°",False,False,ClT_gui_complete.csv
tender,tendre,The Clerk's Tale 927,data/oxford_txts/ClT_oxford.txt,"No tendre mouth, non herte delicaat",False,False,ClT_gui_complete.csv
neue,newe,The Clerk's Tale 942,data/oxford_txts/ClT_oxford.txt,"Was couth° eek, that a newe markisesse",False,False,ClT_gui_complete.csv
humble,humble,The Clerk's Tale 949,data/oxford_txts/ClT_oxford.txt,And she with humble herte and glad visage,False,False,ClT_gui_complete.csv
dere,dere,The Clerk's Tale 999,data/oxford_txts/ClT_oxford.txt,"Ay ful of clapping,° dere ynogh a jane;°",False,False,ClT_gui_complete.csv
sad,sadde,The Clerk's Tale 1002,data/oxford_txts/ClT_oxford.txt,Thus seiden sadde folk° in that citee,False,False,ClT_gui_complete.csv
neue,newe,The Clerk's Tale 1005,data/oxford_txts/ClT_oxford.txt,To han a newe lady of hir toun.,False,False,ClT_gui_complete.csv
povre,povre,The Clerk's Tale 1043,data/oxford_txts/ClT_oxford.txt,As coude a povre° fostred creature.”,False,False,ClT_gui_complete.csv
dere,dere,The Clerk's Tale 1056,data/oxford_txts/ClT_oxford.txt,"Now knowe I, dere wif, thy stedfastnesse,”",False,False,ClT_gui_complete.csv
deinte,deintee,The Clerk's Tale 1112,data/oxford_txts/ClT_oxford.txt,That it was deintee° for to seen the chere,False,False,ClT_gui_complete.csv
riche,riche,The Clerk's Tale 1118,data/oxford_txts/ClT_oxford.txt,With a coroune of many a riche stoon°,False,False,ClT_gui_complete.csv
riche,riche,The Knight's Tale 864,data/oxford_txts/KnT_oxford.txt,Ful many a riche contree hadde he wonne;,False,False,KnT_gui_complete.csv
large,large,The Knight's Tale 886,data/oxford_txts/KnT_oxford.txt,"I have, God woot,° a large feeld to ere,°",False,False,KnT_gui_complete.csv
weik,waike,The Knight's Tale 887,data/oxford_txts/KnT_oxford.txt,And waike° been the oxen in my plough.,False,False,KnT_gui_complete.csv
treu,trewe,The Knight's Tale 959,data/oxford_txts/KnT_oxford.txt,"And swoor his ooth, as he was trewe knight",False,False,KnT_gui_complete.csv
quik,quike,The Knight's Tale 1015,data/oxford_txts/KnT_oxford.txt,"Nat fully quike,° ne fully dede they were",False,False,KnT_gui_complete.csv
ded,dede,The Knight's Tale 1015,data/oxford_txts/KnT_oxford.txt,"Nat fully quike,° ne fully dede they were",False,False,KnT_gui_complete.csv
lef,leve,The Knight's Tale 1184,data/oxford_txts/KnT_oxford.txt,"And soothly,° leve brother, this is al.",False,False,KnT_gui_complete.csv
treu,trewe,The Knight's Tale 1326,data/oxford_txts/KnT_oxford.txt,"That many a trewe man hath doon mescheef,°",False,False,KnT_gui_complete.csv
double,double,The Knight's Tale 1338,data/oxford_txts/KnT_oxford.txt,Encresen double wise the peines stronge,False,False,KnT_gui_complete.csv
muche,muche,The Knight's Tale 1359,data/oxford_txts/KnT_oxford.txt,So muche sorwe had never creature,False,False,KnT_gui_complete.csv
lene,lene,The Knight's Tale 1362,data/oxford_txts/KnT_oxford.txt,"That lene° he wex,° and drie as is a shaft.°",False,False,KnT_gui_complete.csv
povre,povre,The Knight's Tale 1409,data/oxford_txts/KnT_oxford.txt,And cladde him as a povre laborer,False,False,KnT_gui_complete.csv
double,double,The Knight's Tale 1454,data/oxford_txts/KnT_oxford.txt,Who feleth double soor and hevinesse,False,False,KnT_gui_complete.csv
fair,faire,The Knight's Tale 1511,data/oxford_txts/KnT_oxford.txt,"Welcome be thou, faire fresshe May",False,False,KnT_gui_complete.csv
fresh,fresshe,The Knight's Tale 1511,data/oxford_txts/KnT_oxford.txt,"Welcome be thou, faire fresshe May",False,False,KnT_gui_complete.csv
long,longe,The Knight's Tale 1573,data/oxford_txts/KnT_oxford.txt,A longe time; and after he up sterte.,False,False,KnT_gui_complete.csv
fals,false,The Knight's Tale 1580,data/oxford_txts/KnT_oxford.txt,"And seide: “Arcite, false traitour wikke,°",False,False,KnT_gui_complete.csv
mete,mete,The Knight's Tale 1631,data/oxford_txts/KnT_oxford.txt,Bothe suffisaunt and mete° to darreine°,False,False,KnT_gui_complete.csv
ouen,owne,The Knight's Tale 1744,data/oxford_txts/KnT_oxford.txt,"Youre owne mouth, by your confessioun",False,False,KnT_gui_complete.csv
muche,muche,The Knight's Tale 1808,data/oxford_txts/KnT_oxford.txt,Can° hem therfor as muche thank as me;,False,False,KnT_gui_complete.csv
noble,noble,The Knight's Tale 1885,data/oxford_txts/KnT_oxford.txt,That swich a noble theatre° as it was,False,False,KnT_gui_complete.csv
riche,riche,The Knight's Tale 1911,data/oxford_txts/KnT_oxford.txt,An oratorie riche for to see,False,False,KnT_gui_complete.csv
noble,noble,The Knight's Tale 1913,data/oxford_txts/KnT_oxford.txt,Hath Theseus don wroght° in noble wise.,False,False,KnT_gui_complete.csv
gaudi,gaude,The Knight's Tale 2079,data/oxford_txts/KnT_oxford.txt,In gaude° grene hir statue clothed was,False,False,KnT_gui_complete.csv
huge,huge,The Knight's Tale 2145,data/oxford_txts/KnT_oxford.txt,"A wrethe° of gold arm-greet,° of huge wighte,°",False,False,KnT_gui_complete.csv
tame,tame,The Knight's Tale 2186,data/oxford_txts/KnT_oxford.txt,Ful many a tame leoun and lepart.°,False,False,KnT_gui_complete.csv
humble,humble,The Knight's Tale 2219,data/oxford_txts/KnT_oxford.txt,"And doun he kneleth, and with humble chere°",False,False,KnT_gui_complete.csv
vein,veine,The Knight's Tale 2240,data/oxford_txts/KnT_oxford.txt,"Ne renoun° in this cas, ne veine glorie",False,False,KnT_gui_complete.csv
chaste,chaste,The Knight's Tale 2304,data/oxford_txts/KnT_oxford.txt,"Chaste goddesse, wel wostow° that I",False,False,KnT_gui_complete.csv
hot,hote,The Knight's Tale 2319,data/oxford_txts/KnT_oxford.txt,"That al hir hote love, and hir desir",False,False,KnT_gui_complete.csv
clene,clene,The Knight's Tale 2326,data/oxford_txts/KnT_oxford.txt,"Bihold, goddesse of clene° chastitee",False,False,KnT_gui_complete.csv
fair,faire,The Knight's Tale 2386,data/oxford_txts/KnT_oxford.txt,"Of faire yonge fresshe Venus free,°",False,False,KnT_gui_complete.csv
yong,yonge,The Knight's Tale 2386,data/oxford_txts/KnT_oxford.txt,"Of faire yonge fresshe Venus free,°",False,False,KnT_gui_complete.csv
treu,trewe,The Knight's Tale 2657,data/oxford_txts/KnT_oxford.txt,"I wol be trewe juge, and no partie.°",False,False,KnT_gui_complete.csv
olde,olde,The Knight's Tale 2828,data/oxford_txts/KnT_oxford.txt,"Of olde folk, and folk of tendre yeres",False,False,KnT_gui_complete.csv
bar,bare,The Knight's Tale 2877,data/oxford_txts/KnT_oxford.txt,He leide him bare the visage° on the bere,False,False,KnT_gui_complete.csv
grene,grene,The Knight's Tale 2935,data/oxford_txts/KnT_oxford.txt,And than with grene wode and spicerie,False,False,KnT_gui_complete.csv
