headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,riverside_context,oxford_reason,riverside_reason
ben,is,v%pr_3,Troilus and Criseyde; Book IV 1240,data/oxford_txts/TC4_oxford.txt,"“But with this selve swerd, which that here is",BOTH,Present 3rd sg must end in -th,"“But with this selve swerd, which that here is",But with this selve swerd which that here is,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,wot,v%pr_3,The Knight's Tale 3064,data/oxford_txts/KnT_oxford.txt,"Can he hem thank? nay, God wot, never a deel°",BOTH,Present 3rd sg must end in -th,"Can he hem thank? nay, God wot, never a deel°",Kan he hem thank Nay God woot never a deel,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 22,data/oxford_txts/TC2_oxford.txt,"Ye knowe eek, that in forme of speche is chaunge",BOTH,Present 3rd sg must end in -th,"Ye knowe eek, that in forme of speche is chaunge",Ye knowe ek that in forme of speche is chaunge,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Physician's Tale 183,data/oxford_txts/PhyT_oxford.txt,"My servant, which that° is my thral° by right",BOTH,Present 3rd sg must end in -th,"My servant, which that° is my thral° by right",My servant which that is my thral by right,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,be,v%pr_3,The Summoner's Tale 1723,data/oxford_txts/SumT_oxford.txt,"Thanked be God, in wele° and habundaunce.",BOTH,Present 3rd sg must end in -th,"Thanked be God, in wele° and habundaunce.",Thanked be God in wele and habundaunce,Present 3rd sg must end in -th,Present 3rd sg must end in -th
shulen,shal,v%pr_3,Troilus and Criseyde; Book II 1445,data/oxford_txts/TC2_oxford.txt,"Answerde, “It shal be doon; and I can finde",BOTH,Present 3rd sg must end in -th,"Answerde, “It shal be doon; and I can finde",Answerd It shal be don and I kan fynde,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book IV 1587,data/oxford_txts/TC4_oxford.txt,"By pacience, and thenk that lord is he",BOTH,Present 3rd sg must end in -th,"By pacience, and thenk that lord is he",By pacience and thynk that lord is he,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,wot,v%pr_3,Troilus and Criseyde; Book III 609,data/oxford_txts/TC3_oxford.txt,"God wot, ther was no deintee for to fette.",BOTH,Present 3rd sg must end in -th,"God wot, ther was no deintee for to fette.",God woot ther was no deynte for to fette,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book III 735,data/oxford_txts/TC3_oxford.txt,So helpeth to this werk that is bigonne!”,BOTH,Present 3rd sg must end in -th,So helpeth to this werk that is bigonne!”,So helpeth to this werk that is bygonne,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Book of the Duchess 812,data/oxford_txts/BD_oxford.txt,"That is to lyen ful comune,°",BOTH,Present 3rd sg must end in -th,"That is to lyen ful comune,°",That ys to lyen ful comune,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,hade,v%pt_3,The General Prologue 617,data/oxford_txts/GP_oxford.txt,A long surcote of pers upon he hade,BOTH,"Weak pt sg must end in -ed, -d, or -t",A long surcote of pers upon he hade,A long surcote of pers upon he hade,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
ben,be,v%pr_3,The Second Nun's Tale 165,data/oxford_txts/SNT_oxford.txt,And if that it a verray° angel be,BOTH,Present 3rd sg must end in -th,And if that it a verray° angel be,And if that it a verray angel bee,Present 3rd sg must end in -th,Present 3rd sg must end in -th
gon,go,v%inf,The Miller's Tale 3718,data/oxford_txts/MilT_oxford.txt,¶“Wiltow than go thy wey therwith?” quod she.,BOTH,Infinitive must end in -en or -e,¶“Wiltow than go thy wey therwith?” quod she.,Wiltow thanne go thy wey therwith quod she,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%pr_pl,The Clerk's Tale 1039,data/oxford_txts/ClT_oxford.txt,"This tendre maiden, as ye han don mo;°",BOTH,Present plural must end in -en or -e,"This tendre maiden, as ye han don mo;°",This tendre mayden as ye han doon mo,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book III 1688,data/oxford_txts/TC3_oxford.txt,This is no litel thing of for to seye,BOTH,Present 3rd sg must end in -th,This is no litel thing of for to seye,This is no litel thyng of for to seye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
gon,goon,v%inf,Troilus and Criseyde; Book V 907,data/oxford_txts/TC5_oxford.txt,"Destroyed been? Why, nay, so mote I goon!",BOTH,Infinitive must end in -en or -e,"Destroyed been? Why, nay, so mote I goon!",Destroied ben Whi nay so mote I gon,Infinitive must end in -en or -e,Infinitive must end in -en or -e
shulen,shal,v%pr_3,The Knight's Tale 2705,data/oxford_txts/KnT_oxford.txt,"Men seide eek, that Arcite shal nat die;",BOTH,Present 3rd sg must end in -th,"Men seide eek, that Arcite shal nat die;",Men seyde eek that Arcite shal nat dye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Wife of Bath's Tale 1015,data/oxford_txts/WBT_oxford.txt,"Thy lif is sauf, for I wol stonde therby",BOTH,Present 3rd sg must end in -th,"Thy lif is sauf, for I wol stonde therby",Thy lyf is sauf for I wol stonde therby,Present 3rd sg must end in -th,Present 3rd sg must end in -th
shulen,shal,v%pr_3,Troilus and Criseyde; Book IV 1659,data/oxford_txts/TC4_oxford.txt,"I can no more, it shal be founde at preve.”",BOTH,Present 3rd sg must end in -th,"I can no more, it shal be founde at preve.”",I kan na more it shal be founde at preve,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,House of Fame 578,data/oxford_txts/HF_oxford.txt,"And this cas,° that betid thee is",BOTH,Present 3rd sg must end in -th,"And this cas,° that betid thee is",And this caas that betyd the is,Present 3rd sg must end in -th,Present 3rd sg must end in -th
durren,dorste,v%pt_1,Troilus and Criseyde; Book I 931,data/oxford_txts/TC1_oxford.txt,"That thou art noon of tho, I dorste seye.",BOTH,"Weak pt sg must end in -ed, -d, or -t","That thou art noon of tho, I dorste seye.",That thow art non of tho I dorste saye,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
seien,seyn,v%inf,The Squire's Tale 332,data/oxford_txts/SqT_oxford.txt,In swich a gise° as I shal to yow seyn,BOTH,Infinitive must end in -en or -e,In swich a gise° as I shal to yow seyn,In swich a gyse as I shal to yow seyn,Infinitive must end in -en or -e,Infinitive must end in -en or -e
moten,mot,v%pr_3,Troilus and Criseyde; Book V 1329,data/oxford_txts/TC5_oxford.txt,"Fro day to day am I, and so mot dwelle",BOTH,Present 3rd sg must end in -th,"Fro day to day am I, and so mot dwelle",Fro day to day am I and so mot dwelle,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Book of the Duchess 627,data/oxford_txts/BD_oxford.txt,"Is she, for she wol sone wryen;°",BOTH,Present 3rd sg must end in -th,"Is she, for she wol sone wryen;°",Ys she for she wol sone wrien,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_3,The Wife of Bath's Tale 999,data/oxford_txts/WBT_oxford.txt,A fouler wight° ther may no man devise.°,BOTH,Present 3rd sg must end in -th,A fouler wight° ther may no man devise.°,A fouler wight ther may no man devyse,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Book of the Duchess 539,data/oxford_txts/BD_oxford.txt,"“Sir,” quod I, “this game° is doon;",BOTH,Present 3rd sg must end in -th,"“Sir,” quod I, “this game° is doon;",Sir quod I this game is doon,Present 3rd sg must end in -th,Present 3rd sg must end in -th
shulen,shal,v%pr_pl,The Canon's Yeoman's Tale 1105,data/oxford_txts/CYT_oxford.txt,"And whan he comth, as faste° shal ye see",BOTH,Present plural must end in -en or -e,"And whan he comth, as faste° shal ye see",And whan he comth as faste shal ye see,Present plural must end in -en or -e,Present plural must end in -en or -e
lasten,laste,v%pr_3,The Franklin's Tale 1070,data/oxford_txts/FranT_oxford.txt,And spring flood° laste bothe night and day.,BOTH,Present 3rd sg must end in -th,And spring flood° laste bothe night and day.,And spryng flood laste bothe nyght and day,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book V 408,data/oxford_txts/TC5_oxford.txt,"For certes, it noon honour is to thee",BOTH,Present 3rd sg must end in -th,"For certes, it noon honour is to thee",For certes it non honour is to the,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,woot,v%pr_3,Troilus and Criseyde; Book V 364,data/oxford_txts/TC5_oxford.txt,Ther woot no man aright what dremes mene.,BOTH,Present 3rd sg must end in -th,Ther woot no man aright what dremes mene.,Ther woot no man aright what dremes mene,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Wife of Bath's Tale 949,data/oxford_txts/WBT_oxford.txt,But that tale is nat worth a rake-stele;°,BOTH,Present 3rd sg must end in -th,But that tale is nat worth a rake-stele;°,But that tale is nat worth a rakestele,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book III 926,data/oxford_txts/TC3_oxford.txt,"My sowle bringe, as me is for him wo!",BOTH,Present 3rd sg must end in -th,"My sowle bringe, as me is for him wo!",My soule brynge as me is for hym wo,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Knight's Tale 1264,data/oxford_txts/KnT_oxford.txt,And to a dronke man the wey is slider.°,BOTH,Present 3rd sg must end in -th,And to a dronke man the wey is slider.°,And to a dronke man the wey is slider,Present 3rd sg must end in -th,Present 3rd sg must end in -th
seien,seyn,v%inf,The Nun's Priest's Tale 2918,data/oxford_txts/NPT_oxford.txt,How dorst ye° seyn for shame unto your love,BOTH,Infinitive must end in -en or -e,How dorst ye° seyn for shame unto your love,How dorste ye seyn for shame unto youre love,Infinitive must end in -en or -e,Infinitive must end in -en or -e
mouen,may,v%pr_3,The Merchant's Tale 1796,data/oxford_txts/MerT_oxford.txt,No lenger may the body of him sojurne°,BOTH,Present 3rd sg must end in -th,No lenger may the body of him sojurne°,No lenger may the body of hym sojurne,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book V 543,data/oxford_txts/TC5_oxford.txt,"O thou lanterne, of which queint is the light",BOTH,Present 3rd sg must end in -th,"O thou lanterne, of which queint is the light",O thow lanterne of which queynt is the light,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,doon,v%inf,The General Prologue 768,data/oxford_txts/GP_oxford.txt,"To doon yow ese, and it shal coste noght.",BOTH,Infinitive must end in -en or -e,"To doon yow ese, and it shal coste noght.",To doon yow ese and it shal coste noght,Infinitive must end in -en or -e,Infinitive must end in -en or -e
connen,can,v%pr_3,The Summoner's Tale 2085,data/oxford_txts/SumT_oxford.txt,"Lo, what seide he, that so wel teche° can?",BOTH,Present 3rd sg must end in -th,"Lo, what seide he, that so wel teche° can?",Lo what seyde he that so wel teche kan,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Clerk's Tale 727,data/oxford_txts/ClT_oxford.txt,"No wonder is, for to the peples ere",BOTH,Present 3rd sg must end in -th,"No wonder is, for to the peples ere",No wonder is for to the peples ere,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Canon's Yeoman's Tale 887,data/oxford_txts/CYT_oxford.txt,"Hir savour° is so rammish° and so hoot,°",BOTH,Present 3rd sg must end in -th,"Hir savour° is so rammish° and so hoot,°",Hir savour is so rammyssh and so hoot,Present 3rd sg must end in -th,Present 3rd sg must end in -th
helpen,helpe,v%pr_3,Troilus and Criseyde; Book III 1566,data/oxford_txts/TC3_oxford.txt,"God helpe me so, ye caused al this fare",BOTH,Present 3rd sg must end in -th,"God helpe me so, ye caused al this fare",God help me so ye caused al this fare,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,woot,v%pr_3,Troilus and Criseyde; Book IV 1342,data/oxford_txts/TC4_oxford.txt,What woot my fader what lif that I lede?,BOTH,Present 3rd sg must end in -th,What woot my fader what lif that I lede?,What woot my fader what lif that I lede,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Clerk's Tale 831,data/oxford_txts/ClT_oxford.txt,Foryelde° it yow; there is namore to seye.,BOTH,Present 3rd sg must end in -th,Foryelde° it yow; there is namore to seye.,Foryelde it yow ther is namoore to seye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Reeve's Tale 4264,data/oxford_txts/RvT_oxford.txt,For by that lord that called is Seint Jame,BOTH,Present 3rd sg must end in -th,For by that lord that called is Seint Jame,For by that lord that called is Seint Jame,Present 3rd sg must end in -th,Present 3rd sg must end in -th
willen,wol,v%pr_3,Troilus and Criseyde; Book II 1645,data/oxford_txts/TC2_oxford.txt,"And as he may enduren, he wol here.",BOTH,Present 3rd sg must end in -th,"And as he may enduren, he wol here.",And as he may enduren he wol here,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,be,v%pr_3,The Franklin's Tale 1398,data/oxford_txts/FranT_oxford.txt,"Than be defouled, as it thinketh me.",BOTH,Present 3rd sg must end in -th,"Than be defouled, as it thinketh me.",Than be defouled as it thynketh me,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Knight's Tale 1857,data/oxford_txts/KnT_oxford.txt,"This is to seyn, that whether he or thou",BOTH,Present 3rd sg must end in -th,"This is to seyn, that whether he or thou",This is to seyn that wheither he or thow,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Second Nun's Tale 387,data/oxford_txts/SNT_oxford.txt,"Your cours is doon, your feith han ye conserved",BOTH,Present 3rd sg must end in -th,"Your cours is doon, your feith han ye conserved",Youre cours is doon youre feith han ye conserved,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,doon,v%pr_pl,The Shipman's Tale 341,data/oxford_txts/ShipT_oxford.txt,As freendes doon whan they ben met yfere.°,BOTH,Present plural must end in -en or -e,As freendes doon whan they ben met yfere.°,As freendes doon whan they been met yfeere,Present plural must end in -en or -e,Present plural must end in -en or -e
witen,woot,v%pr_3,Troilus and Criseyde; Book III 1481,data/oxford_txts/TC3_oxford.txt,"And of my lif, God woot, how that shal be",BOTH,Present 3rd sg must end in -th,"And of my lif, God woot, how that shal be",And of my lif God woot how that shal be,Present 3rd sg must end in -th,Present 3rd sg must end in -th
seien,seyn,v%pr_pl,The Summoner's Tale 1794,data/oxford_txts/SumT_oxford.txt,"For lettre sleeth,° so as we clerkes seyn.",BOTH,Present plural must end in -en or -e,"For lettre sleeth,° so as we clerkes seyn.",For lettre sleeth so as we clerkes seyn,Present plural must end in -en or -e,Present plural must end in -en or -e
lien,lie,v%pr_3,The Merchant's Tale 1292,data/oxford_txts/MerT_oxford.txt,Thogh that he lie bedrede° til he sterve.°,BOTH,Present 3rd sg must end in -th,Thogh that he lie bedrede° til he sterve.°,Though that he lye bedrede til he sterve,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,hadde,v%pt_3,The Squire's Tale 208,data/oxford_txts/SqT_oxford.txt,The hors that hadde winges for to flee;°,BOTH,"Weak pt sg must end in -ed, -d, or -t",The hors that hadde winges for to flee;°,The hors that hadde wynges for to flee,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
willen,wol,v%pr_3,The Manciple's Tale 185,data/oxford_txts/MancT_oxford.txt,Or leest of reputacion wol she take,BOTH,Present 3rd sg must end in -th,Or leest of reputacion wol she take,Or leest of reputacioun wol she take,Present 3rd sg must end in -th,Present 3rd sg must end in -th
slen,slain,v%ppl,The Manciple's Tale 265,data/oxford_txts/MancT_oxford.txt,And in his ire° his wif thanne hath he slain.°,BOTH,Strong participle must end in -en or -e,And in his ire° his wif thanne hath he slain.°,And in his ire his wyf thanne hath he slayn,Strong participle must end in -en or -e,Strong participle must end in -en or -e
witen,wot,v%pr_3,The Merchant's Tale 2113,data/oxford_txts/MerT_oxford.txt,"Yet was he blent;° and, God wot,° so ben mo,°",BOTH,Present 3rd sg must end in -th,"Yet was he blent;° and, God wot,° so ben mo,°",Yet was he blent and God woot so been mo,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Clerk's Tale 1155,data/oxford_txts/ClT_oxford.txt,"He preveth° folk al day, it is no drede",BOTH,Present 3rd sg must end in -th,"He preveth° folk al day, it is no drede",He preeveth folk al day it is no drede,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_3,The Clerk's Tale 266,data/oxford_txts/ClT_oxford.txt,"That may be founde, as fer as last Itaille.°",BOTH,Present 3rd sg must end in -th,"That may be founde, as fer as last Itaille.°",That may be founde as fer as last Ytaille,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Nun's Priest's Tale 3441,data/oxford_txts/NPT_oxford.txt,"For Seint Paul seith, that al that writen is",BOTH,Present 3rd sg must end in -th,"For Seint Paul seith, that al that writen is",For Seint Paul seith that al that writen is,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,hadde,v%pt_3,The General Prologue 464,data/oxford_txts/GP_oxford.txt,She hadde passed many a straunge strem;,BOTH,"Weak pt sg must end in -ed, -d, or -t",She hadde passed many a straunge strem;,She hadde passed many a straunge strem,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,Troilus and Criseyde; Book I 802,data/oxford_txts/TC1_oxford.txt,"For Grekes han biseged us, ywis?",BOTH,Present plural must end in -en or -e,"For Grekes han biseged us, ywis?",For Grekes han biseged us iwys,Present plural must end in -en or -e,Present plural must end in -en or -e
twinen,twine,v%pr_3,Troilus and Criseyde; Book V 7,data/oxford_txts/TC5_oxford.txt,Til Lachesis his threed no lenger twine.—,BOTH,Present 3rd sg must end in -th,Til Lachesis his threed no lenger twine.—,Til Lachesis his thred no lenger twyne,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book III 1127,data/oxford_txts/TC3_oxford.txt,"What, Troilus! wol ye do thus, for shame?”",BOTH,Infinitive must end in -en or -e,"What, Troilus! wol ye do thus, for shame?”",What Troilus wol ye do thus for shame,Infinitive must end in -en or -e,Infinitive must end in -en or -e
don,doon,v%pr_pl,Troilus and Criseyde; Book II 152,data/oxford_txts/TC2_oxford.txt,"As freendes doon, whan they ben met yfere;",BOTH,Present plural must end in -en or -e,"As freendes doon, whan they ben met yfere;",As frendes doon whan thei ben mette yfere,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,is,v%pr_3,Book of the Duchess 378,data/oxford_txts/BD_oxford.txt,Withinne a whil the herte founde is,BOTH,Present 3rd sg must end in -th,Withinne a whil the herte founde is,Withynne a while the hert yfounde ys,Present 3rd sg must end in -th,Present 3rd sg must end in -th
seien,seyn,v%inf,Troilus and Criseyde; Book V 1296,data/oxford_txts/TC5_oxford.txt,“And see now why; for this I dar wel seyn,BOTH,Infinitive must end in -en or -e,“And see now why; for this I dar wel seyn,And se now whi for this I dar wel seyn,Infinitive must end in -en or -e,Infinitive must end in -en or -e
shulen,shal,v%pr_3,The Merchant's Tale 2256,data/oxford_txts/MerT_oxford.txt,His owene man° shal make him cokewold;°,BOTH,Present 3rd sg must end in -th,His owene man° shal make him cokewold;°,His owene man shal make hym cokewold,Present 3rd sg must end in -th,Present 3rd sg must end in -th
slen,yslain,v%ppl,The Knight's Tale 2708,data/oxford_txts/KnT_oxford.txt,That of hem alle was ther noon yslain,BOTH,Strong participle must end in -en or -e,That of hem alle was ther noon yslain,That of hem alle was ther noon yslayn,Strong participle must end in -en or -e,Strong participle must end in -en or -e
haven,hadde,v%pt_3,The General Prologue 663,data/oxford_txts/GP_oxford.txt,In daunger hadde he at his owne gise,BOTH,"Weak pt sg must end in -ed, -d, or -t",In daunger hadde he at his owne gise,In daunger hadde he at his owene gise,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
mouen,may,v%pr_3,Troilus and Criseyde; Book III 1586,data/oxford_txts/TC3_oxford.txt,To him to come in al the haste he may.,BOTH,Present 3rd sg must end in -th,To him to come in al the haste he may.,To hym to com in al the haste he may,Present 3rd sg must end in -th,Present 3rd sg must end in -th
dien,deide,v%pt_3,The Knight's Tale 2846,data/oxford_txts/KnT_oxford.txt,"“In al this world, that som time he ne deide.",BOTH,"Weak pt sg must end in -ed, -d, or -t","“In al this world, that som time he ne deide.",In al this world that som tyme he ne deyde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,The General Prologue 641,data/oxford_txts/GP_oxford.txt,"No wonder is, he herde it al the day;",BOTH,Present 3rd sg must end in -th,"No wonder is, he herde it al the day;",No wonder is he herde it al the day,Present 3rd sg must end in -th,Present 3rd sg must end in -th
willen,wol,v%pr_3,The Prioress' Tale 632,data/oxford_txts/PrT_oxford.txt,"Ivel shal have, that ivel wol deserve.",BOTH,Present 3rd sg must end in -th,"Ivel shal have, that ivel wol deserve.",Yvele shal have that yvele wol deserve,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Shipman's Tale 328,data/oxford_txts/ShipT_oxford.txt,"And telleth hir that chaffare° is so dere,°",BOTH,Present 3rd sg must end in -th,"And telleth hir that chaffare° is so dere,°",And telleth hire that chaffare is so deere,Present 3rd sg must end in -th,Present 3rd sg must end in -th
shulen,shal,v%pr_3,The Clerk's Tale 328,data/oxford_txts/ClT_oxford.txt,And al this shal be doon in thy presence,BOTH,Present 3rd sg must end in -th,And al this shal be doon in thy presence,And al this shal be doon in thy presence,Present 3rd sg must end in -th,Present 3rd sg must end in -th
connen,can,v%pr_3,Troilus and Criseyde; Book IV 703,data/oxford_txts/TC4_oxford.txt,Swich vanitee ne can don hir non ese,BOTH,Present 3rd sg must end in -th,Swich vanitee ne can don hir non ese,Swich vanyte ne kan don hire non ese,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,House of Fame 766,data/oxford_txts/HF_oxford.txt,And every speche that is spoken,BOTH,Present 3rd sg must end in -th,And every speche that is spoken,And every speche that ys spoken,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,The Reeve's Tale 4083,data/oxford_txts/RvT_oxford.txt,And he that bettre sholde han knit the reine.”°,BOTH,Infinitive must end in -en or -e,And he that bettre sholde han knit the reine.”°,And he that bettre sholde han knyt the reyne,Infinitive must end in -en or -e,Infinitive must end in -en or -e
helpen,help,v%pr_3,The Summoner's Tale 1949,data/oxford_txts/SumT_oxford.txt,"As help me Crist, as I, in fewe° yeres",BOTH,Present 3rd sg must end in -th,"As help me Crist, as I, in fewe° yeres",As help me Crist as I in fewe yeres,Present 3rd sg must end in -th,Present 3rd sg must end in -th
gon,go,v%inf,Troilus and Criseyde; Book IV 488,data/oxford_txts/TC4_oxford.txt,Why niltow lete hir fro thin herte go?,BOTH,Infinitive must end in -en or -e,Why niltow lete hir fro thin herte go?,Why nyltow lete hire fro thyn herte go,Infinitive must end in -en or -e,Infinitive must end in -en or -e
techen,taughte,v%pt_3,The Pardoner's Tale 684,data/oxford_txts/PardT_oxford.txt,"Thus taughte me my dame,° I sey namore.”",BOTH,"Weak pt sg must end in -ed, -d, or -t","Thus taughte me my dame,° I sey namore.”",Thus taughte me my dame I sey namoore,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book II 872,data/oxford_txts/TC2_oxford.txt,In which min herte growen is so faste,BOTH,Present 3rd sg must end in -th,In which min herte growen is so faste,In which myn herte growen is so faste,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,woot,v%pr_3,Troilus and Criseyde; Book II 1679,data/oxford_txts/TC2_oxford.txt,"Receiveth wrong, as woot wel here Pandare",BOTH,Present 3rd sg must end in -th,"Receiveth wrong, as woot wel here Pandare",Receyveth wrong as woot weel here Pandare,Present 3rd sg must end in -th,Present 3rd sg must end in -th
faren,ferde,v%pt_3,The Squire's Tale 461,data/oxford_txts/SqT_oxford.txt,That ferde° with° himself so pitously.°,BOTH,Strong pt sg must not end in -en or -e,That ferde° with° himself so pitously.°,That ferde with hymself so pitously,Strong pt sg must not end in -en or -e,Strong pt sg must not end in -en or -e
ben,is,v%pr_3,The Canon's Yeoman's Tale 1425,data/oxford_txts/CYT_oxford.txt,"For, if ye doon, your thrift° is goon ful clene.°",BOTH,Present 3rd sg must end in -th,"For, if ye doon, your thrift° is goon ful clene.°",For if ye doon youre thrift is goon ful clene,Present 3rd sg must end in -th,Present 3rd sg must end in -th
listen,list,v%pr_3,The Knight's Tale 2377,data/oxford_txts/KnT_oxford.txt,And hem fortunest° as thee list devise,BOTH,Present 3rd sg must end in -th,And hem fortunest° as thee list devise,And hem fortunest as thee lyst devyse,Present 3rd sg must end in -th,Present 3rd sg must end in -th
seien,seyn,v%inf,The Squire's Tale 435,data/oxford_txts/SqT_oxford.txt,That any foul may in his ledene° seyn,BOTH,Infinitive must end in -en or -e,That any foul may in his ledene° seyn,That any fowel may in his leden seyn,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%pr_pl,House of Fame 1732,data/oxford_txts/HF_oxford.txt,We han don neither that ne this,BOTH,Present plural must end in -en or -e,We han don neither that ne this,We han don neither that ne this,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book IV 419,data/oxford_txts/TC4_oxford.txt,For sin it is but casuel plesaunce,BOTH,Present 3rd sg must end in -th,For sin it is but casuel plesaunce,For syn it is but casuel plesaunce,Present 3rd sg must end in -th,Present 3rd sg must end in -th
slen,slain,v%ppl,The Summoner's Tale 2023,data/oxford_txts/SumT_oxford.txt,"That seide thus, ‘Thou hast thy felaw slain",BOTH,Strong participle must end in -en or -e,"That seide thus, ‘Thou hast thy felaw slain",That seyde thus Thou hast thy felawe slayn,Strong participle must end in -en or -e,Strong participle must end in -en or -e
willen,wol,v%pr_3,House of Fame 670,data/oxford_txts/HF_oxford.txt,"Wol with som maner thing thee quite,°",BOTH,Present 3rd sg must end in -th,"Wol with som maner thing thee quite,°",Wol with som maner thing the quyte,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book I 636,data/oxford_txts/TC1_oxford.txt,"If thou do so, thy wit is wel biwared;",BOTH,Present 3rd sg must end in -th,"If thou do so, thy wit is wel biwared;",If thow do so thi wit is wel bewared,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book IV 459,data/oxford_txts/TC4_oxford.txt,"And though I mighte, I wolde not do so.",BOTH,Infinitive must end in -en or -e,"And though I mighte, I wolde not do so.",And though I myght I wolde nat do so,Infinitive must end in -en or -e,Infinitive must end in -en or -e
ben,is,v%pr_3,Parliament of Fowls 422,data/oxford_txts/PF_oxford.txt,As she that is my lady sovereine;,BOTH,Present 3rd sg must end in -th,As she that is my lady sovereine;,As she that is my lady sovereyne,Present 3rd sg must end in -th,Present 3rd sg must end in -th
twisten,twiste,v%pr_3,Troilus and Criseyde; Book III 1769,data/oxford_txts/TC3_oxford.txt,"And hertes colde, hem wolde I that he twiste",BOTH,Present 3rd sg must end in -th,"And hertes colde, hem wolde I that he twiste",And hertes colde hem wolde I that he twiste,Present 3rd sg must end in -th,Present 3rd sg must end in -th
