headword,infinitive,preterite,past_participle,classification,notes
wedden,wedden,"wedded(3), weddede(1)","wedded(31), ywedded(6), wedde(1), have(1)",weak,classified by morphological evidence
weien,weien,weied(1),,weak,classified by morphological evidence (check!)
weilen,weilen,wailed(2),,strong,"Wallen in list, I think this is same"
welcomen,welcomen,welcomed(1),,weak,classified by morphological evidence
welden,welden,"welte(1), welded(1)",,weak,classified by morphological evidence
wenden,wenden,"wente(145), went(14)",went(13),weak,classified by morphological evidence
wenen,wenen,"wende(40), wend(5)","wend(4), ywent(1)",weak,classified by morphological evidence (check!)
wepen,wepen,"weep(25), wepte(8), wept(3), weepe(1)","wept(3), wopen(2), wepen(1)",strong,known strong verb
weren,weren,"wered(8), werede(1)",wered(3),strong,known strong verb (check!)
werken,werken,"wroghte(17), wroughte(7), wrouhte(1), hem(1)","wroght(20), wrought(7), wroughte(1), ywrought(1)",weak,Never appears in inf I think
werreien,werreien,werreyed(1),werreied(1),weak,classified by morphological evidence
weten,weten,wette(1),ywet(1),weak,classified by morphological evidence
weven,weven,waf(1),ywoven(1),strong,classified by computer (CHECK)
whetten,whetten,,whette(1),strong,classified by computer (CHECK)
willen,willen,"wolde(436), wold(60)",wold(1),irregular,Known irregular
wilnen,wilnen,wilned(2),,weak,classified by morphological evidence
winden,winden,wond(1),,weak,classified by computer (CHECK)
winnen,winnen,"wan(17), wanne(1)","wonne(14), wonnen(3)",strong,known strong verb
wipen,wipen,wiped(3),,weak,Y is spelling variation
witen,witen,"wiste(79), wist(4), woot(2), man(1)",wist(19),weak,Seams weak
withdrauen,withdrauen,,withdrawe(1),strong,classified by computer (CHECK)
withholden,withholden,,"withholde(2), withholden(1)",strong,classified by computer (CHECK)
withseien,withseien,withseide(1),,weak,classified by computer (CHECK)
withstonden,withstonden,"withstood(1), withstode(1)",withstonde(3),TODO,classified by computer (CHECK)
wlispen,wlispen,lipsed(1),,weak,classified by morphological evidence
wondren,wondren,wondred(2),wondred(2),weak,classified by morphological evidence
wonen,wonen,woned(2),"wont(45), woned(6)",weak,classified by morphological evidence (check!)
wouen,wouen,wowed(1),,weak,classified by computer (CHECK)
wounden,wounden,,wounded(7),weak,classified by morphological evidence
wrappen,wrappen,,wrapped(2),weak,classified by morphological evidence
wratthen,wratthen,,wrathed(1),weak,classified by morphological evidence
wreken,wreken,wrak(1),"wreke(2), wroken(2), wreken(1), ywroke(1)",strong,known strong verb
wrien,wrien,"wreigh(1), wryed(1)","ywrie(2), wrie(1), ywryen(1)",strong,I think this is in lists
wringen,wringen,wrong(5),,strong,known strong verb
writen,writen,"wroot(25), wrot(3), wrote(2)","writen(15), ywriten(6), write(4), written(1), ywrite(1)",strong,known strong verb
yeden,yeden,yede(3),,weak,classified by computer (CHECK)
yelden,yelden,,"yolde(1), yolden(1)",strong,Seems strong even though not in list
yeven,yeven,"yaf(76), gaf(2), yave(1)","yeven(17), yeve(7), yive(7), yiven(5), yyeve(1), iyive(1)",strong,known strong verb
yicchen,yicchen,,icched(1),weak,classified by morphological evidence
