LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book I 276,"“O mercy, God!” thoughte he, “Wher hastow woned",o@interj merci@n1 god@n1#propn thinken@v2%pt_3 he@pron1%nom wher@adv&conj haven@v%pr_2_pron wonen@v1%ppl,u Su S ux S u Su Sx
Troilus and Criseyde; Book I 277,That art so fair and goodly to devise?”,that@pron ben@v%pr_2 so@adv fair@adj and@conj godli@adj2 to@part devisen@v%inf,u S u S u Su S uSx
Troilus and Criseyde; Book I 278,Therwith his herte gan to sprede and rise,ther-with@adv his@pron1%gen herte@n ginnen@v%pt_3 to@part spreden@v%inf and@conj risen@v%inf,uS u Su S u Sx u Sx
Troilus and Criseyde; Book I 279,"And softe sighed, lest men mighte him here",and@conj softe@adv sighen@v%pt_3 leste@conj man@n%pl mouen@v3%pt_pl him@pron%obj heren@v%inf,u Su Su S u Sx u Sx
Troilus and Criseyde; Book I 280,And caughte ayein his firste pleying chere.,and@conj cacchen@v%pt_3 ayen@adv his@pron1%gen first@num_adj pleien@v1#adj%prp chere@n1,u Sx uS u Su Su Sx
Troilus and Criseyde; Book I 281,She nas not with the leste of hir stature,she@pron%nom ben@v%pt_3_neg not@adv with@prep the@def_art leste@adj1#n%sup of@prep hire@pron1%fem_gen stature@n,u S u S u Sx u S uSx
Troilus and Criseyde; Book I 282,But alle hir limes so wel answeringe,but@conj al@gram_adj hire@pron1%fem_gen lim@n1%pl so@adv wel@adv answeren@v#adj%prp,u Sx u Su S u SuSx
Troilus and Criseyde; Book I 283,"Weren to womanhod, that creature",ben@v%pt_pl to@prep wommanhede@n that@conj creature@n,uS u SuS u SuSx
Troilus and Criseyde; Book I 284,Was neuer lasse mannish in seminge.,ben@v%pt_3 never@adv lesse@adv%comp mannish@adj in@prep seminge@ger,S u Su Su S uSx
Troilus and Criseyde; Book I 285,And eek the pure wise of her movinge,and@conj ek@adv the@def_art pure@adj wise@n2 of@prep hire@pron1%fem_gen mevinge@ger,u S u Su Sx u S uSx
Troilus and Criseyde; Book I 286,"Shewede wel, that men might in hir gesse",sheuen@v1%pt_3 wel@adv that@conj man@n%pl mouen@v3%pt_pl in@prep hire@pron2%fem_obj gessen@v%inf,uSu S u S u S u Sx
Troilus and Criseyde; Book I 287,"Honour, estat, and wommanly noblesse.",honour@n estat@n and@conj wommanli@adj noblesse@n,uS uS u SuS uSx
Troilus and Criseyde; Book I 288,To Troilus right wonder wel withalle,to@prep troilus@n#propn righte@adv wonder@adv wel@adv with-al@adv,u SuS u Su S uSx
Troilus and Criseyde; Book I 289,Gan for to like hir movinge and hir chere,ginnen@v%pt_3 for@prep#adv to@part liken@v1%inf hire@pron1%fem_gen mevinge@ger and@conj hire@pron1%fem_gen chere@n1,u S u Sx u Sux S u Sx
Troilus and Criseyde; Book I 290,"Which somdel deinous was, for she leet falle",which@pron som-del@adv deinous@adj ben@v%pt_3 for@conj she@pron%nom leten@v%pt_3 fallen@v%inf,u Su Su S u S u Sx
Troilus and Criseyde; Book I 291,"Hir look a lite aside, in swich manere",hire@pron1%fem_gen lok@n4 a@indef_art lite@n3 aside@adv in@prep swich@gram_adj manere@n,u S u Sx uSx u S uSx
Troilus and Criseyde; Book I 292,"Ascaunces, “What! may I not stonden here?”",ascaunce@adv what@interj mouen@v3%pr_1 ich@pron%nom not@adv stonden@v1%inf her@adv,uSu S u S u Su Sx
Troilus and Criseyde; Book I 293,And after that hir loking gan she lighte,and@conj after@prep that@pron hire@pron1%fem_gen lokinge@ger ginnen@v%pt_3 she@pron%nom lighten@v2%inf,u Su S u Su S u Sx
Troilus and Criseyde; Book I 294,That never thoughte him seen so good a sighte.,that@conj never@adv thinken@v1%pt_3 him@pron%obj sen@v1%inf so@adv god@adj a@indef_art sighte@n,u Su Sx u S u S u Sx
Troilus and Criseyde; Book I 295,And of hir look in him ther gan to quiken,and@conj of@prep hire@pron1%fem_gen lok@n4 in@prep him@pron%obj ther@adv ginnen@v%pt_3 to@part quiken@v%inf,u S u S u S u S u Su
Troilus and Criseyde; Book I 296,"So greet desir, and swich affeccioun",so@adv gret@adj desir@n and@conj swich@gram_adj affeccioun@n,u S uS u S uSuS
Troilus and Criseyde; Book I 297,That in his hertes botme gan to stiken,that@conj in@prep his@pron1%gen herte@n%gen botme@n ginnen@v%pt_3 to@part stiken@v%inf,u S u Su Sx u S uS
Troilus and Criseyde; Book I 298,Of hir his fixe and depe impressioun:,of@prep hire@pron2%fem_obj his@pron1%gen fix@adj and@conj dep@adj impressioun@n,u S u Sx u Sx uSuS
Troilus and Criseyde; Book I 299,And though he erst had poured up and doun,and@conj though@conj he@pron1%nom erest@adv%sup haven@v%pt_3 pouren@v1%ppl up@adv and@conj doun@adv,u S u S u Su S u S
Troilus and Criseyde; Book I 300,He was tho glad his hornes in to shrinke;,he@pron1%nom ben@v%pt_3 tho@adv glad@adj his@pron1%gen horn@n%pl in@adv to@part shrinken@v%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book I 301,Unnethes wiste he how to loke or winke.,unethe@adv witen@v1%pt_3 he@pron1%nom hou@adv&conj to@part loken@v2%inf or@conj winken@v%inf,uSu Sx u S u Sx u Sx
Troilus and Criseyde; Book I 302,"Lo, he that leet himselven so konninge",lo@interj he@pron1%nom that@pron leten@v%pt_3 him-self@pron so@adv conning@prp#adj,u S u S uSu S uSx
Troilus and Criseyde; Book I 303,And scorned hem that loves peines dryen,and@conj scornen@v%pt_3 hem@pron%pl_obj that@pron love@n1#propn%gen peine@n%pl drien@v2%pt_pl,u Su S u Su Su Su
Troilus and Criseyde; Book I 304,Was ful unwar that love hadde his dwellinge,ben@v%pt_3 ful@adv unwar@adj that@conj love@n1#propn haven@v%pt_3 his@pron1%gen dwellinge@ger,u S uS u Sx ux S uSx
Troilus and Criseyde; Book I 305,Withinne the subtile stremes of hir yän;,with-inne@prep the@def_art sotil@adj strem@n%pl of@prep hire@pron1%fem_gen eie@n1%pl,uSx u Sux Su S u S
Troilus and Criseyde; Book I 306,That sodeinly him thoughte he felte dyen,that@conj sodeinli@adv him@pron%obj thinken@v1%pt_3 he@pron1%nom felen@v1%pt_3 dien@v%inf,u SuS u Sx u Sx uS
Troilus and Criseyde; Book I 307,"Right with hir look, the spirit in his herte;",righte@adv with@prep hire@pron1%fem_gen lok@n4 the@def_art spirit@n in@prep his@pron1%gen herte@n,u S u S u Su S u Sx
Troilus and Criseyde; Book I 308,"Blessed be love, that thus can folk converte!",blessen@v%ppl ben@v%pr_3 love@n1#propn that@pron thus@adv connen@v%pr_3 folk@n converten@v%inf,uS u Sx u S u S uSx
Troilus and Criseyde; Book I 309,"She, this in blak, liking to Troilus",she@pron%nom this@pron in@prep blak@n likinge@prp#adj to@prep troilus@n#propn,u S u S uS u SuS
Troilus and Criseyde; Book I 310,Over alle thing he stood for to biholde;,over@prep al@gram_adj thing@n he@pron1%nom stonden@v1%pt_3 for@prep#adv to@part biholden@v%inf,uS ux S u S u S uSx
Troilus and Criseyde; Book I 311,"Ne his desir, ne wherfor he stood thus",ne@conj1 his@pron1%gen desir@n ne@conj1 wher-for@adv he@pron1%nom stonden@v1%pt_3 thus@adv,u S uS u Su S u S
Troilus and Criseyde; Book I 312,"He neither chere made, ne worde tolde;",he@pron1%nom neither@conj chere@n1 maken@v1%pt_3 ne@conj1 word@n tellen@v%pt_3,u Su Su Sx u Su Sx
Troilus and Criseyde; Book I 313,"But from afer, his maner for to holde",but@conj from@prep afer@adv his@pron1%gen manere@n for@prep#adv to@part holden@v1%inf,u S uS u Su S u Sx
Troilus and Criseyde; Book I 314,On other thing his look somtime he caste,on@prep other@gram_adj thing@n his@pron1%gen lok@n4 som-time@adv he@pron1%nom casten@v%pt_3,u Su S u S uSx u Sx
Troilus and Criseyde; Book I 315,"And ofte on hir, whil that servise laste.",and@conj eft@adv on@prep hire@pron2%fem_obj whil@conj that@part servise@n lasten@v1%pt_3,u Sx u S u S uSu Sx
Troilus and Criseyde; Book I 316,"And after this, not fulliche al awhaped",and@conj after@prep this@pron not@adv fulli@adv al@adv awhaped@ppl_abs,u Su S u Sux S uSx
Troilus and Criseyde; Book I 317,Out of the temple al esiliche he wente,oute@adv#prep of@prep the@def_art temple@n1 al@adv esili@adv he@pron1%nom wenden@v%pt_3,u S u Su S xuSx u Sx
Troilus and Criseyde; Book I 318,Repentinge him that he hadde ever yjaped,repenten@v%prp_abs him@pron%obj that@conj he@pron1%nom haven@v%pt_3 ever@adv japen@v%ppl,uSux S u S ux S uSx
Troilus and Criseyde; Book I 319,"Of loves folk, lest fully the descente",of@prep love@n1#propn%gen folk@n leste@conj fulli@adv the@def_art descent@n,u Su S u Su S uSx
Troilus and Criseyde; Book I 320,"Of scorn fille on himself; but, what he mente",of@prep scorn@n fallen@v%pt_3 on@prep him-self@pron but@conj what@pron he@pron1%nom menen@v1%pt_3,u S ux S uS u S u Sx
Troilus and Criseyde; Book I 321,Lest it were wist on any maner side,leste@conj hit@pron ben@v%pt_3 witen@v1%ppl on@prep ani@gram_adj manere@n#adj side@n,u S ux S u Su Su Sx
Troilus and Criseyde; Book I 322,His wo he gan dissimulen and hide.,his@pron1%gen wo@n he@pron1%nom ginnen@v%pt_3 dissimulen@v%inf and@conj hiden@v%inf,u S u S uSuS u Sx
Troilus and Criseyde; Book I 323,Whan he was fro the temple thus departed,whan@adv&conj he@pron1%nom ben@v%pt_3 from@prep the@def_art temple@n1 thus@adv departen@v%ppl,u S u S u Su S uSx
Troilus and Criseyde; Book I 324,He streight anoon unto his paleis torneth,he@pron1%nom streight@adv an-on@adv unto@prep his@pron1%gen palais@n turnen@v%pr_3,u S uS uS u Su Sx
Troilus and Criseyde; Book I 325,Right with hir look thurgh shoten and thurgh darted,righte@adv with@prep hire@pron1%fem_gen lok@n4 thurgh@prep sheten@v%ppl_abs and@conj thurgh@prep darten@v%ppl_abs,u S u S u Su S u Sx
Troilus and Criseyde; Book I 326,Al feineth he in lust that he sojorneth;,al@conj feinen@v%pr_3 he@pron1%nom in@prep lust@n that@conj he@pron1%nom sojournen@v%pr_3,u Su S u S u S uSx
Troilus and Criseyde; Book I 327,And al his chere and speche also he borneth;,and@conj al@gram_adj his@pron1%gen chere@n1 and@conj speche@n also@adv he@pron1%nom burnen@v%pr_3,u S u Sx u Sx uS u Sx
Troilus and Criseyde; Book I 328,"And ay, of loves servants every while",and@conj ai@adv of@prep love@n1#propn%gen servaunt@n%pl everi@pron_gram_adj whil@n,u S u Su Su Sxu Sx
Troilus and Criseyde; Book I 329,"Himself to wrie, at hem he gan to smile.",him-self@pron to@part wrien@v1%inf at@prep hem@pron%pl_obj he@pron1%nom ginnen@v%pt_3 to@part smilen@v%inf,uS u S u S u S u Sx
Troilus and Criseyde; Book I 330,"And seide, “Lord, so ye live al in lest",and@conj seien@v1%pt_3 lord@n so@adv ye@pron%pl_nom liven@v1%pr_pl al@adv in@prep list@n2,u Sx u S u Su S u S
Troilus and Criseyde; Book I 331,Ye loveres! for the conningest of yow,ye@pron%pl_nom lovere@n2%pl for@conj the@def_art conning@prp#adj%sup of@prep you@pron%pl_obj,u SuS u S uSx u S
Troilus and Criseyde; Book I 332,That serveth most ententiflich and best,that@pron serven@v1%pr_3 most@adv%sup ententifli@adv and@conj best@adv%sup,u Su S uSuS u S
Troilus and Criseyde; Book I 333,Him tit as often harm therof as prow;,him@pron%obj tiden@v%pr_3 as@conj often@adv harm@n ther-of@adv as@conj prou@n,u S u Su S uS u S
Troilus and Criseyde; Book I 334,"Your hire is quit ayein, ye, God wot how!",your@pron%pl_gen hire@n ben@v%pr_3 quiten@v%ppl ayen@adv ye@adv god@n1#propn witen@v1%pr_3 hou@adv&conj,u Sx u S uS u S u S
Troilus and Criseyde; Book I 335,"Nought wel for wel, but scorn for good servise;",nought@adv wel@adj#n for@prep wel@adj#n but@conj scorn@n for@prep god@adj servise@n,u S u S u S u S uSx
Troilus and Criseyde; Book I 336,"In feith, your ordre is ruled in good wise!",in@prep feith@n your@pron%pl_gen ordre@n ben@v%pr_3 reulen@v%ppl in@prep god@adj wise@n2,u S u Sx u Su S u Sx
Troilus and Criseyde; Book I 337,“In nouncertein ben al your observaunces,in@prep noncertein@n ben@v%pr_pl al@gram_adj your@pron%pl_gen observaunce@n%pl,u SuS u S u SuSx
Troilus and Criseyde; Book I 338,But it a sely fewe pointes be;,but@conj hit@pron a@indef_art seli@adj feue@pron_gram_adj pointe@n1%pl ben@v%pr_pl,u S u Su Su Su S
Troilus and Criseyde; Book I 339,Ne nothing asketh so grete attendaunces,ne@conj1 no-thing@adv asken@v%pr_3 so@adv gret@adj attendaunce@n%pl,u Su Su S ux SuSx
Troilus and Criseyde; Book I 340,"As doth your lay, and that knowe alle ye;",as@conj don@v1%pr_3 your@pron%pl_gen lei@n and@conj that@pron knouen@v%pr_pl al@gram_adj ye@pron%pl_nom,u S u S u S ux Su S
Troilus and Criseyde; Book I 341,"But that is not the worste, as mote I thee;",but@conj that@pron ben@v%pr_3 not@adv the@def_art werste@n as@conj moten@v2%pr_1 ich@pron%nom then@v%inf,u S u S u Sx u Sx u S
Troilus and Criseyde; Book I 342,"But, tolde I yow the worste point, I leve",but@conj tellen@v%pt_1 ich@pron%nom you@pron%pl_obj the@def_art werste@adj%sup pointe@n1 ich@pron%nom leven@v4%pr_1,u Sx u S u Su S u Sx
Troilus and Criseyde; Book I 343,"Al seide I sooth, ye wolden at me greve!",al@conj seien@v1%pt_1 ich@pron%nom soth@n ye@pron%pl_nom willen@v%pt_pl at@prep me@pron2%obj greven@v%inf,u Sx u S u Su S u Sx
Troilus and Criseyde; Book I 344,"“But tak this, that ye loveres ofte eschuwe",but@conj taken@v%imp this@pron that@pron ye@pron%pl_nom lovere@n2%pl ofte@adv escheuen@v%pr_pl,u S u S u Sux Sx uSx
Troilus and Criseyde; Book I 345,Or elles doon of good entencioun,or@conj elles@adv don@v1%pr_pl of@prep god@adj entencioun@n,u Su S u S uSuS
Troilus and Criseyde; Book I 346,Ful oft thy lady wole it misconstrue,ful@adv ofte@adv thin@pron%gen ladie@n willen@v%pr_3 hit@pron misconstruen@v%inf,u S u Su Sx u SuS
Troilus and Criseyde; Book I 347,And deme it harm in hir opinioun;,and@conj demen@v%inf hit@pron harm@n in@prep hire@pron1%fem_gen opinioun@n,u Sx u S u S uSuS
Troilus and Criseyde; Book I 348,"And yet if she, for other enchesoun",and@conj yet@adv if@conj she@pron%nom for@prep other@gram_adj enchesoun@n,u S u S u Su SuS
Troilus and Criseyde; Book I 349,"Be wrooth, than shalt thou han a groin anoon:",ben@v%pr_3 wroth@adj thanne@adv shulen@v1%pr_2 thou@pron%nom haven@v%inf a@indef_art groin@n2 an-on@adv,u S u S u S u S uS
Troilus and Criseyde; Book I 350,Lord! wel is him that may be of yow oon!”,lord@n wel@adj ben@v%pr_3 him@pron%obj that@pron mouen@v3%pr_3 ben@v%inf of@prep you@pron%pl_obj on@pron,u S u S u S u S u S
Troilus and Criseyde; Book I 351,"But for al this, whan that he say his time",but@conj for@prep al@gram_adj this@pron whan@adv&conj that@part he@pron1%nom sen@v1%pt_3 his@pron1%gen time@n,u S u S u S u S u Sx
Troilus and Criseyde; Book I 352,"He held his pees, non other bote him gained;",he@pron1%nom holden@v1%pt_3 his@pron1%gen pes@n --@dash non@gram_adj other@gram_adj bote@n1 him@pron%obj geinen@v%pt_3 --@dash,u S u S u Su Sx u Sx
Troilus and Criseyde; Book I 353,For love bigan his fetheres so to lime,for@conj love@n1 biginnen@v%pt_3 his@pron1%gen fether@n%pl so@adv to@part limen@v1%inf,u Sx uS u Su S u Sx
Troilus and Criseyde; Book I 354,That wel unnethe unto his folk he feined,that@conj wel@adv unethe@adv unto@prep his@pron1%gen folk@n he@pron1%nom feinen@v%pt_3,u S uSx uS u S u Sx
Troilus and Criseyde; Book I 355,That othere besie nedes him destrained;,that@conj other@gram_adj bisi@adj nede@n1%pl him@pron%obj distreinen@v%pt_3,u Sux Su Su S uSx
Troilus and Criseyde; Book I 356,"For wo was him, that what to doon he niste",for@conj wo@n ben@v%pt_3 him@pron%obj that@conj what@pron to@part don@v1%inf he@pron1%nom witen@v1%pt_3_neg,u S u S u S u S u Sx
Troilus and Criseyde; Book I 357,But bad his folk to goon wher that hem liste.,but@conj bidden@v%pt_3 his@pron1%gen folk@n to@part gon@v%inf wher@adv&conj that@part hem@pron%pl_obj listen@v1%pr_3,u S u S u S u S u Sx
Troilus and Criseyde; Book I 358,And whan that he in chaumbre was allone,and@conj whan@adv&conj that@part he@pron1%nom in@prep chaumbre@n ben@v%pt_3 al-one@adj,u S u S u Su S uSx
Troilus and Criseyde; Book I 359,He doun upon his beddes feet him sette,he@pron1%nom doun@adv upon@prep his@pron1%gen bed@n1%gen fot@n%pl him@pron%obj setten@v%pt_3,u S uS u Su S u Sx
Troilus and Criseyde; Book I 360,"And first he gan to sike, and eft to grone",and@conj first@adv he@pron1%nom ginnen@v%pt_3 to@part siken@v2%inf and@conj eft@adv to@part gronen@v%inf,u S u S u Sx u S u Sx
Troilus and Criseyde; Book I 361,"And thoughte ay on hir so, withouten lette",and@conj thought@n ai@adv on@prep hire@pron2%fem_obj so@adv withouten@prep lette@n,u Sx u S u S uSu Sx
Troilus and Criseyde; Book I 362,"That, as he sat and wook, his spirit mette",that@conj as@conj he@pron1%nom sitten@v%pt_3 and@conj waken@v%pt_3 his@pron1%gen spirit@n meten@v3%pt_3,u S u S u S u Su Sx
Troilus and Criseyde; Book I 363,"That he hir saw atemple, and al the wise",that@conj he@pron1%nom hire@pron2%fem_obj sen@v1%pt_3 a-temple@adv and@conj al@gram_adj the@def_art wise@n2,u S u S uSx u S u Sx
Troilus and Criseyde; Book I 364,"Right of hir loke, and gan it newe avise.",righte@adv of@prep hire@pron1%fem_gen lok@n4 and@conj ginnen@v%pt_3 hit@pron neue@adv avisen@v%inf,u S u Sx u S u Sx uSx
Troilus and Criseyde; Book I 365,Thus gan he make a mirour of his minde,thus@adv ginnen@v%pt_3 he@pron1%nom maken@v1%inf a@indef_art mirour@n of@prep his@pron1%gen minde@n1,u S u Sx u Su S u Sx
Troilus and Criseyde; Book I 366,In which he saugh al hoolly hir figure;,in@prep which@pron he@pron1%nom sen@v1%pt_3 al@adv holli@adv hire@pron1%fem_gen figure@n,u S u S u Su S uSx
Troilus and Criseyde; Book I 367,And that he wel coude in his herte finde,and@conj that@pron he@pron1%nom wel@adv connen@v%pt_3 in@prep his@pron1%gen herte@n finden@v%inf,u S u S ux S u Su Sx
Troilus and Criseyde; Book I 368,It was to him a right good aventure,hit@pron ben@v%pt_3 to@prep him@pron%obj a@indef_art righte@adv god@adj aventure@n,u S u S u S u SuSx
Troilus and Criseyde; Book I 369,"To love swich oon, and if he dide his cure",to@part loven@v1%inf swich@gram_adj on@pron and@conj if@conj he@pron1%nom don@v1%pt_3 his@pron1%gen cure@n1,u Sx u S u S u Sx u Sx
Troilus and Criseyde; Book I 370,"To serven hir, yet mighte he falle in grace",to@part serven@v1%inf hire@pron2%fem_obj yet@adv mouen@v3%pt_3 he@pron1%nom fallen@v%inf in@prep grace@n,u Su S u Sx u Sx u Sx
Troilus and Criseyde; Book I 371,"Or elles, for oon of hir servaunts pace.",or@conj elles@adv for@prep on@pron of@prep hire@pron1%fem_gen servaunt@n%pl passen@v%inf,u Su S u S u Su Sx
Troilus and Criseyde; Book I 372,Imagining that travaille nor grame,imaginen@v%inf that@conj travail@n nor@conj grame@n,SuSu S uSx u Sx
Troilus and Criseyde; Book I 373,"Ne mighte, for so goodly oon, be lorn",ne@adv mouen@v3%pt_3 for@prep so@adv godli@adj2 on@pron ben@v%inf lesen@v4%ppl,u Su S u Su S u S
Troilus and Criseyde; Book I 374,"As she, ne him for his desir ne shame",as@conj she@pron%nom ne@conj1 him@pron%obj for@prep his@pron1%gen desir@n no@gram_adj shame@n,u S u S u S uS u Sx
Troilus and Criseyde; Book I 375,"Al were it wist, but in pris and upborn",al@conj ben@v%pt_3 hit@pron witen@v1%ppl but@conj in@prep pris@n1 and@conj up-beren@v%ppl_abs,u Sx u S u S u S uS
Troilus and Criseyde; Book I 376,Of alle lovers wel more than biforn;,of@prep al@gram_adj lovere@n2%pl wel@adv more@adv%comp than@conj biforen@adv,u Sx uS u Su S uS
Troilus and Criseyde; Book I 377,Thus argumented he in his ginninge,thus@adv argumenten@v%pt_3 he@pron1%nom in@prep his@pron1%gen ginninge@ger,u SuSu S u S uSx
Troilus and Criseyde; Book I 378,Ful unavised of his wo cominge.,ful@adv unavised@adj of@prep his@pron1%gen wo@n comen@v#adj%prp,u SuSu S u S uSx
Troilus and Criseyde; Book I 379,Thus took he purpos loves craft to suwe,thus@adv taken@v%pt_3 he@pron1%nom purpos@n love@n1%gen craft@n1 to@part seuen@v1%inf,u S u Su Su S u Sx
Troilus and Criseyde; Book I 380,And thoughte he wolde werken prively,and@conj thinken@v2%pt_3 he@pron1%nom willen@v%pt_3 werken@v%inf privelie@adv,u Sx u Su Su SuS
Troilus and Criseyde; Book I 381,"First, to hiden his desir in muwe",first@adv to@part hiden@v%inf his@pron1%gen desir@n in@prep meue@n1,S u Su S uS u Sx
Troilus and Criseyde; Book I 382,"From every wight yborn, al outrely",from@prep everi@pron_gram_adj wight@n iberen@v1#adj%ppl al@adv outreli@adv,u Sxu S uS u SuS
Troilus and Criseyde; Book I 383,But he mighte ought recovered be therby;,but@conj he@pron1%nom mouen@v3%pt_3 ought@adv recoveren@v2%ppl ben@v%inf ther-bi@adv,u S ux S uSux S uS
Troilus and Criseyde; Book I 384,"Remembring him, that love to wide yblowe",remembren@v%prp_abs him@pron%obj that@conj love@n1 to@adv2 wide@adv blouen@v1%ppl_abs,uSu S u Sx u Sx uSx
Troilus and Criseyde; Book I 385,"Yelt bittre fruit, though swete seed be sowe.",yelden@v%pr_3 bitter@adj fruit@n though@conj swete@adj sed@n ben@v%pr_3 souen@v1%ppl,u Su S u Su S u Sx
Troilus and Criseyde; Book I 386,"And over al this, yet muchel more he thoughte",and@conj over@prep al@gram_adj this@pron yet@adv muchel@adv more@n3 he@pron1%nom thinken@v2%pt_3,u Sx u S u Su Sx u Sx
Troilus and Criseyde; Book I 387,"What for to speke, and what to holden inne",what@pron for@prep#adv to@part speken@v%inf and@conj what@pron to@part holden@v1%inf inne@adv,u S u Sx u S u Su Sx
Troilus and Criseyde; Book I 388,And what to arten hir to love he soughte,and@conj what@pron to@part arten@v%inf hire@pron2%fem_obj to@part love@n1 he@pron1%nom sechen@v%pt_3,u S u Su S u Sx u Sx
Troilus and Criseyde; Book I 389,And on a song anoonright to biginne,and@conj on@prep a@indef_art song@n anon-rightes@adv to@part biginnen@v%inf,u S u S uSu S uSx
Troilus and Criseyde; Book I 390,And gan loude on his sorwe for to winne;,and@conj ginnen@v%pt_3 loude@adv on@prep his@pron1%gen sorwe@n for@prep#adv to@part winnen@v%inf,u S ux S u Su S u Sx
Troilus and Criseyde; Book I 391,For with good hope he gan fully assente,for@conj with@prep god@adj hope@n1 he@pron1%nom ginnen@v%pt_3 fulli@adv assenten@v%inf,u S u Sx u S uS uSx
Troilus and Criseyde; Book I 392,"Criseyde for to love, and nought repente.",criseyde@n#propn for@prep#adv to@part loven@v1%inf and@conj nought@adv repenten@v%inf,uSu S u Sx u S uSx
Troilus and Criseyde; Book I 393,And of his song nought only the sentence,and@conj of@prep his@pron1%gen song@n nought@adv onli@adv the@def_art sentence@n,u S u S u Su S uSx
Troilus and Criseyde; Book I 394,As writ min autour called Lollius,as@conj writen@v%pr_3 min@pron%gen auctour@n callen@v%ppl_abs lollius@n#propn,u S u Su Su SuS
Troilus and Criseyde; Book I 395,"But pleinly, save our tonges difference",but@conj pleinli@adv sauf@prep oure@pron%pl_gen tonge@n2%gen difference@n,u Su Sx u Su SuSx
Troilus and Criseyde; Book I 396,"I dar wel sayn, in al, that Troilus",ich@pron%nom durren@v%pr_3 wel@adv seien@v1%inf in@prep al@gram_adjas_n that@conj troilus@n#propn,u S u S u S u SuS
Troilus and Criseyde; Book I 397,Seide in his song; lo! every word right thus,seien@v1%pt_3 in@prep his@pron1%gen song@n lo@interj everi@pron_gram_adj word@n righte@adv thus@adv,ux S u S u Sxu S u S
Troilus and Criseyde; Book I 398,As I shal seyn; and whoso list it here,as@conj ich@pron%nom shulen@v1%pr_3 seien@v1%inf and@conj who-so@pron%nom listen@v1%pr_3 hit@pron heren@v%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book I 399,"Lo! next this vers, he may it finden here.",lo@interj nexte@prep this@gram_adj vers@n he@pron1%nom mouen@v3%pr_3 hit@pron finden@v%inf her@adv,u S u S u S u Su Sx
Troilus and Criseyde; Book I 400,"“If no love is, O God, what fele I so?",if@conj no@gram_adj love@n1 ben@v%pr_3 o@interj god@n1#propn what@pron felen@v1%pr_1 ich@pron%nom so@adv,u S ux S u S u Sx u S
Troilus and Criseyde; Book I 401,"And if love is, what thing and whiche is he?",and@conj if@conj love@n1 ben@v%pr_3 what@gram_adj thing@n and@conj which@gram_adj ben@v%pr_3 he@pron1%nom,u S ux S u S u Sx u S
Troilus and Criseyde; Book I 402,"If love be good, from whennes comth my wo?",if@conj love@n1 ben@v%pr_3 god@adj from@prep whennes@adv comen@v%pr_3 min@pron%gen wo@n,u Sx u S u Su S u S
Troilus and Criseyde; Book I 403,"If it be wikke, a wonder thinketh me",if@conj hit@pron ben@v%pr_3 wikke@adj a@indef_art wonder@n thinken@v1%pr_3 me@pron2%obj,u S u Sx u Su Su S
Troilus and Criseyde; Book I 404,Whenne every torment and adversitee,whan@adv&conj everi@pron_gram_adj torment@n and@conj adversite@n,ux Sxu Su S uSuS
Troilus and Criseyde; Book I 405,"That cometh of him, may to me savory thinke;",that@pron comen@v%pr_3 of@prep him@pron%obj mouen@v3%pr_3 to@prep me@pron2%obj savourie@adj thinken@v1%inf,u Sx u S u S x uSu Sx
Troilus and Criseyde; Book I 406,"For ay thurst I, the more that I it drinke.",for@conj ai@adv thirsten@v%pr_1 ai@adv the@adv more@adv%comp that@conj ich@pron%nom hit@pron drinken@v%pr_1,u S u S u Sx u S u Sx
Troilus and Criseyde; Book I 407,“And if that at min owene lust I brenne,and@conj if@conj that@part at@prep min@pron%gen ouen@adj lust@n ich@pron%nom brennen@v%pr_1,u S u S u Sux S u Sx
Troilus and Criseyde; Book I 408,Fro whennes cometh my wailing and my pleinte?,from@prep whennes@adv comen@v%pr_3 min@pron%gen weilinge@ger and@conj min@pron%gen pleinte@n,u Su Sx u Su S u Sx
Troilus and Criseyde; Book I 409,"If harme agree me, wherto pleine I thenne?",if@conj harm@n agreen@v%pr_3 me@pron2%obj wher-to@adv pleinen@v%pr_1 ich@pron%nom thanne@adv,u Sx uS u Su Sx u Sx
Troilus and Criseyde; Book I 410,"I noot, ne why unwery that I feinte.",ich@pron%nom witen@v1%pr_1_neg ne@conj1 whi@adv unweri@adj that@conj ich@pron%nom feinten@v%pr_1,u S u S uSu S u Sx
Troilus and Criseyde; Book I 411,"O quike deeth, O swete harm so queinte",o@interj quik@adj deth@n o@interj swete@adj harm@n so@adv queinte@adj,u Su S u Su S u Sx
Troilus and Criseyde; Book I 412,How may of thee in me swich quantitee,hou@adv&conj mouen@v3%pr_3 of@prep the@pron2%obj in@prep me@pron2%obj swich@gram_adj quantite@n,u S u S u S u SuS
Troilus and Criseyde; Book I 413,But if that I consente that it be?,but@conj if@conj that@part ich@pron%nom consenten@v%pr_1 that@conj hit@pron ben@v%pr_3,u S u S uSu S u S
Troilus and Criseyde; Book I 414,"“And if that I consente, I wrongfully",and@conj if@conj that@part ich@pron%nom consenten@v%pr_1 ich@pron%nom wrongfulli@adv,u S u S uSx u SuS
