LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book III 368,"That wiste I wel; but tel me, if thee liste",that@pron witen@v1%pt_1 ich@pron%nom wel@adv but@conj tellen@v%imp me@pron2%obj if@conj the@pron2%obj listen@v1%pr_3,u Sx u S u S u S u Sx
Troilus and Criseyde; Book III 369,Sith I so looth was that thyself it wiste,sitthe@conj ich@pron%nom so@adv loth@adj ben@v%pt_3 that@conj thi-self@pron hit@pron witen@v1%pt_3,u S u S u S uS u Sx
Troilus and Criseyde; Book III 370,How dorste I mo tellen of this matere,hou@adv&conj durren@v%pt_1 ich@pron%nom mo@n tellen@v%inf of@prep this@gram_adj matere@n,u Sx u S uS u S uSx
Troilus and Criseyde; Book III 371,"That quake now, and no wight may us here?",that@pron quaken@v%pr_1 nou@adv and@conj no@gram_adj wight@n mouen@v3%pr_3 us@pron%pl_obj heren@v%inf,u Su S u S u S u Sx
Troilus and Criseyde; Book III 372,"“But natheles, by that God I thee swere",but@conj no-the-lesse@adv bi@prep that@art&gram_adj god@n1#propn ich@pron%nom the@pron2%obj sweren@v%pr_1,u SuS u S u S u Sx
Troilus and Criseyde; Book III 373,"That, as him list, may al this world governe",that@pron as@conj him@pron%obj listen@v1%pr_3 mouen@v3%pr_3 al@gram_adj this@gram_adj world@n governen@v%inf --@dash,u S u S u S u S uSx
Troilus and Criseyde; Book III 374,"And, if I lie, Achilles with his spere",and@conj if@conj ich@pron%nom lien@v2%pr_1 achilles@n#propn with@prep his@pron1%gen spere@n1,u S u S uSu S u Sx
Troilus and Criseyde; Book III 375,"Min herte cleve, al were my lif eterne",min@pron%gen herte@n cleven@v2%pr_3 al@conj ben@v%pt_3 min@pron%gen lif@n eterne@adj,u Su Sx u Sx u S uSx
Troilus and Criseyde; Book III 376,"As I am mortal, if I late or yerne",as@conj ich@pron%nom ben@v%pr_1 mortal@adj if@conj ich@pron%nom late@adv or@conj yerne@adv,u x S uS u S ux S uSx
Troilus and Criseyde; Book III 377,"Wolde it biwreie, or dorste, or sholde conne",willen@v%pt_1 hit@pron biwreien@v%inf or@conj durren@v%pt_1 or@conj shulen@v1%pt_1 connen@v%inf,ux S uS u Sx u Su Sx
Troilus and Criseyde; Book III 378,For al the good that God made under sonne;,for@prep al@gram_adj the@def_art god@n2 that@pron god@n1#propn maken@v1%pt_3 under@prep sonne@n --@dash,u S u S u S ux Su Sx
Troilus and Criseyde; Book III 379,"“That rather deie I wolde, and determine",that@conj rathere@adv%comp dien@v%inf ich@pron%nom willen@v%pt_1 and@conj determinen@v%inf,u Su S u Sx u SuSx
Troilus and Criseyde; Book III 380,"As thinketh me, now stokked in presoun",as@conj thinken@v1%pr_3 me@pron2%obj nou@adv stokken@v%ppl_abs in@prep prisoun@n,u Su S u Su S uS
Troilus and Criseyde; Book III 381,"In wrecchednesse, in filthe, and in vermine",in@prep wrecchednesse@n in@prep filth@n and@conj in@prep vermin@n,u SuSx u Sx u S uSx
Troilus and Criseyde; Book III 382,Caitif to cruel king Agamenoun;,caitif@adj to@prep cruel@adj king@n agamenoun@n#propn,uS u Su S uSuS
Troilus and Criseyde; Book III 383,"And this, in alle the temples of this toun",and@conj this@pron in@prep al@gram_adj the@def_art temple@n1%pl of@prep this@gram_adj toun@n,u S u Sx u Su S u S
Troilus and Criseyde; Book III 384,"Upon the goddes alle, I wol thee swere",upon@prep the@def_art god@n1%pl al@gram_adj ich@pron%nom willen@v%pr_1 the@pron2%obj sweren@v%inf,uS u Su Sx u S u Sx
Troilus and Criseyde; Book III 385,"Tomorwe day, if that thee liketh here.",to-morwe@adv dai@n if@conj that@part the@pron2%obj liken@v1%pr_3 hire@pron2%fem_obj,uSu S u S u Su Sx
Troilus and Criseyde; Book III 386,“And that thou hast so muche ydoon for me,and@conj that@conj thou@pron%nom haven@v%pr_2 so@adv muche@n don@v1%ppl for@prep me@pron2%obj,u S u S u Sx uS u S
Troilus and Criseyde; Book III 387,That I ne may it never more deserve,that@conj ich@pron%nom ne@adv mouen@v3%pr_1 hit@pron never@adv more@adv%comp deserven@v%inf,u S u S u Su Sx uSx
Troilus and Criseyde; Book III 388,"This knowe I wel, al mighte I now for thee",this@pron knouen@v%pr_1 ich@pron%nom wel@adv al@conj mouen@v3%pt_1 ich@pron%nom nou@adv for@prep the@pron2%obj,u Sx u S u Sx u S u S
Troilus and Criseyde; Book III 389,A thousand times on a morwen sterve,a@indef_art thousand@num_adj time@n%pl on@prep a@indef_art morwe@n sterven@v%inf,u Su Su S u Su Sx
Troilus and Criseyde; Book III 390,"I can no more, but that I wol thee serve",ich@pron%nom connen@v%pr_1 no@gram_adj more@n3 but@conj that@conj ich@pron%nom willen@v%pr_1 the@pron2%obj serven@v1%inf,u S u Sx u S u S u Sx
Troilus and Criseyde; Book III 391,"Right as thy sclave, whiderso thou wende",righte@adv as@conj thin@pron%gen sclave@n2 whider-so@adv thou@pron%nom wenden@v%pr_2,u S u Su SuS u Sx
Troilus and Criseyde; Book III 392,"For evermore, unto my lives ende!",for@prep ever-mor@adv unto@prep min@pron%gen lif@n%gen ende@n1,u SuSx uS u Su Sx
Troilus and Criseyde; Book III 393,"“But here, with al min herte, I thee biseche",but@conj her@adv with@prep al@gram_adj min@pron%gen herte@n ich@pron%nom the@pron2%obj bisechen@v%pr_1,u Sx u S u Sx u S uSx
Troilus and Criseyde; Book III 394,That never in me thou deme swich folie,that@conj never@adv in@prep me@pron2%obj thou@pron%nom demen@v%pr_2 swich@gram_adj folie@n,u Su S x u Su S uS
Troilus and Criseyde; Book III 395,"As I shal seyn; me thoughte, by thy speche",as@conj ich@pron%nom shulen@v1%pr_1 seien@v1%inf me@pron2%obj thinken@v1%pt_3 bi@prep thin@pron%gen speche@n,u S u S u Su S u Sx
Troilus and Criseyde; Book III 396,"That this, which thou me dost for companie",that@conj this@pron which@pron thou@pron%nom me@pron2%obj don@v1%pr_2 for@prep compaignie@n,u S u S u S u SuS
Troilus and Criseyde; Book III 397,I sholde wene it were a bauderie;,ich@pron%nom shulen@v1%pt_1 wenen@v2%inf hit@pron ben@v%pt_3 a@indef_art bauderie@n1,u Su Sx u Sx u SuS
Troilus and Criseyde; Book III 398,"I am nought wood, al if I lewed be;",ich@pron%nom ben@v%pr_1 nought@adv wod@adj al@conj if@conj ich@pron%nom leued@adj ben@v%pr_1,u S u S u S u Su S
Troilus and Criseyde; Book III 399,"It is not so, that woot I wel, pardee.",hit@pron ben@v%pr_3 not@adv so@adv that@pron witen@v1%pr_1 ich@pron%nom wel@adv parde@interj,u S u S u S u S uS
Troilus and Criseyde; Book III 400,"“But he that goth, for gold or for richesse",but@conj he@pron1%nom that@pron gon@v%pr_3 for@prep gold@n or@conj for@prep richesse@n,u S u S u S u S uSx
Troilus and Criseyde; Book III 401,"On swich message, calle him what thee list",on@prep swich@gram_adj message@n1 callen@v%imp him@pron%obj what@pron the@pron2%obj listen@v1%pr_3,u S uSu Sx u S u S
Troilus and Criseyde; Book III 402,"And this that thou dost, calle it gentilesse",and@conj this@pron that@pron thou@pron%nom don@v1%pr_2 callen@v%imp hit@pron gentilesse@n,u S u S u Sx u SuSx
Troilus and Criseyde; Book III 403,"Compassioun, and felawship, and trist;",compassioun@n and@conj felaushipe@n and@conj trust@n,uSuS u SuS u S
Troilus and Criseyde; Book III 404,"Departe it so, for widewhere is wist",departen@v%imp hit@pron so@adv for@conj wide-wher@adv ben@v%pr_3 witen@v1%ppl,uSx u S u SuSx u S
Troilus and Criseyde; Book III 405,How that there is diversitee requered,hou@adv&conj that@part ther@adv ben@v%pr_3 diversite@n requeren@v%ppl,u S ux S uSuS uSx
Troilus and Criseyde; Book III 406,"Bitwixen thinges like, as I have lered.",bitwixe@prep thing@n%pl lik@adj as@conj ich@pron%nom haven@v%pr_1 leren@v%ppl,uSu Su Sx u S ux Sx
Troilus and Criseyde; Book III 407,"“And, that thou knowe I thenke nought ne wene",and@conj that@conj thou@pron%nom knouen@v%pr_2 ich@pron%nom thinken@v2%pr_1 nought@adv ne@conj1 wenen@v2%pr_1,u S u Sx u Su S u Sx
Troilus and Criseyde; Book III 408,That this servise a shame be or jape,that@conj this@gram_adj servise@n a@indef_art shame@n ben@v%pr_3 or@conj jape@n,u S uSx u Su S u Sx
Troilus and Criseyde; Book III 409,I have my faire suster Polixene,ich@pron%nom haven@v%pr_1 min@pron%gen fair@adj suster@n polixena@n#propn,u Sx u Su Su SuSx
Troilus and Criseyde; Book III 410,"Cassandre, Eleine, or any of the frape;",cassandre@n#propn eleine@n1#propn or@conj ani@gram_adjas_n of@prep the@def_art frape@n --@dash,uSx uSx u Su S u Sx
Troilus and Criseyde; Book III 411,Be she never so faire or wel yshape,ben@v%pr_3 she@pron%nom never@adv so@adv fair@adj or@conj wel@adv ishapen@v%ppl,u S uS u Sx u S uSx
Troilus and Criseyde; Book III 412,"Tel me, which thou wilt of everichone",tellen@v%imp me@pron2%obj which@pron thou@pron%nom willen@v%pr_2 of@prep everich-on@pron,u S u S u S uSuSx
Troilus and Criseyde; Book III 413,"To han for thin, and lat me thanne allone.",to@part haven@v%inf for@prep thin@pron%gen_abs and@conj leten@v%imp me@pron2%obj thanne@adv al-one@adj,u S u S u S u Sx uSx
Troilus and Criseyde; Book III 414,“But sin that thou hast don me this servise,but@conj sin@conj that@part thou@pron%nom haven@v%pr_2 don@v1%ppl me@pron2%obj this@gram_adj servise@n,u S u S u S u S uSx
Troilus and Criseyde; Book III 415,"My lif to save, and for noon hope of mede",min@pron%gen lif@n to@part saven@v%inf and@conj for@prep non@gram_adj hope@n1 of@prep mede@n4,u S u Sx u S u Sx u Sx
Troilus and Criseyde; Book III 416,"So, for the love of God, this grete emprise",so@adv for@prep the@def_art love@n1 of@prep god@n1#propn this@gram_adj gret@adj emprise@n,u S u Sx u S u Sx uSx
Troilus and Criseyde; Book III 417,Parforme it out; for now is moste nede.,performen@v%imp hit@pron oute@adv for@conj nou@adv ben@v%pr_3 most@adj%sup nede@n1,uSx u S u S u Su Sx
Troilus and Criseyde; Book III 418,"For high and low, withouten any drede",for@prep heigh@adj#n and@conj loue@adj withouten@prep ani@gram_adj drede@n,u S u S uSu Su Sx
Troilus and Criseyde; Book III 419,I wol alwey thine hestes alle kepe;,ich@pron%nom willen@v%pr_1 al-wei@adv thin@pron%gen heste@n1%pl al@gram_adj kepen@v%inf,u S uS ux Su Su Sx
Troilus and Criseyde; Book III 420,"Have now good night, and lat us bothe slepe.”",haven@v%imp nou@adv god@adj night@n and@conj leten@v%imp us@pron%pl_obj bothe@num_adj slepen@v%inf,ux S u S u S u Su Sx
Troilus and Criseyde; Book III 421,Thus held him ech of other wel apaied,thus@adv holden@v1%pt_3 him@pron%obj ech@pron of@prep other@pron wel@adv apaien@v%ppl_abs,u S u S u S u SuS
Troilus and Criseyde; Book III 422,That al the world ne mighte it bet amende;,that@conj al@gram_adj the@def_art world@n ne@adv mouen@v3%pt_3 hit@pron bet@adv%comp amenden@v%inf,u S u S u Sx u S uSx
Troilus and Criseyde; Book III 423,"And, on the morwe, whan they were araied",and@conj on@prep the@def_art morwe@n whan@adv&conj thei@pron%pl_nom ben@v%pt_pl arraien@v%ppl,u S u Sx u S ux SuS
Troilus and Criseyde; Book III 424,Ech to his owene nedes gan entende.,ech@pron to@prep his@pron1%gen ouen@adj nede@n1%pl ginnen@v%pt_3 entenden@v%inf,u S u Sux Su S uSx
Troilus and Criseyde; Book III 425,"But Troilus, though as the fir he brende",but@conj troilus@n#propn though@conj as@conj the@def_art fir@n he@pron1%nom brennen@v%pt_3,u SuS u S u S u Sx
Troilus and Criseyde; Book III 426,For sharp desir of hope and of plesaunce,for@prep sharp@adj desir@n of@prep hope@n1 and@conj of@prep plesaunce@n1,u S uS u Sx u S uSx
Troilus and Criseyde; Book III 427,He not forgat his wise governaunce.,he@pron1%nom not@adv foryeten@v%pt_3 his@pron1%gen wise@adj governaunce@n,u S uS u Su SuSx
Troilus and Criseyde; Book III 428,But in himself with manhod gan restreine,but@conj in@prep him-self@pron with@prep manhede@n ginnen@v%pt_3 restreinen@v%inf,u S uS u Su S uSx
Troilus and Criseyde; Book III 429,Ech rakel dede and ech unbridled chere,ech@pron_gram_adj rakel@adj dede@n and@conj ech@pron_gram_adj unbridelen@v#adj%ppl chere@n1,u Su Sx u S uSu Sx
Troilus and Criseyde; Book III 430,"That alle tho that liven, sooth to seyne",that@conj al@gram_adj tho@pron2%pl that@pron liven@v1%pr_pl soth@n to@part seien@v1%inf,u Su S u Su S u Sx
Troilus and Criseyde; Book III 431,"Ne sholde han wist, by word or by manere",ne@adv shulen@v1%pt_3 haven@v%inf witen@v1%ppl bi@prep word@n or@conj bi@prep manere@n,u Sx u S u S u S uSx
Troilus and Criseyde; Book III 432,"What that he mente, as touching this matere.",what@pron that@pron he@pron1%nom menen@v1%pt_3 as@conj touchinge@prep this@gram_adj matere@n,u S u Sx u Su S uSx
Troilus and Criseyde; Book III 433,From every wight as fer as is the cloude,from@prep everi@pron_gram_adj wight@n as@conj fer@adv as@conj ben@v%pr_3 the@def_art cloud@n,u Sxu S u S u S u Sx
Troilus and Criseyde; Book III 434,"He was, so wel dissimulen he coude.",he@pron1%nom ben@v%pt_3 so@adv wel@adv dissimulen@v%inf he@pron1%nom connen@v%pt_3,u S u S uSuS u Sx
Troilus and Criseyde; Book III 435,And al the whil which that I yow devise,and@conj al@gram_adj the@def_art whil@n which@pron that@pron ich@pron%nom you@pron%pl_obj devisen@v%inf,u S u S u S u S uSx
Troilus and Criseyde; Book III 436,This was his lif; with al his fulle might,this@pron ben@v%pt_3 his@pron1%gen lif@n with@prep al@gram_adj his@pron1%gen ful@adj might@n,u S u S u S u Su S
Troilus and Criseyde; Book III 437,By day he was in Martes high servise,bi@prep dai@n he@pron1%nom ben@v%pt_3 in@prep marte@n#propn%gen heigh@adj servise@n --@dash,u S u S u Su S uSx
Troilus and Criseyde; Book III 438,"This is to seyn, in armes as a knight;",this@pron ben@v%pr_3 to@part seien@v1%inf in@prep armes@n%pl as@conj a@indef_art knight@n,u S u S u Su S u S
Troilus and Criseyde; Book III 439,"And for the more part, the longe night",and@conj for@prep the@def_art more@adj%comp part@n the@def_art long@adj1 night@n,u S u Su S u Su S
Troilus and Criseyde; Book III 440,"He lay, and thoughte how that he mighte serve",he@pron1%nom lien@v1%pt_3 and@conj thinken@v2%pt_3 hou@adv&conj that@part he@pron1%nom mouen@v3%pt_3 serven@v1%inf,u S u Sx u S u Su Sx
Troilus and Criseyde; Book III 441,"His lady best, hir thank for to deserve.",his@pron1%gen ladie@n best@adv%sup hire@pron1%fem_gen thank@n for@prep#adv to@part deserven@v%inf,u Su S u S u S uSx
Troilus and Criseyde; Book III 442,"Nil I nought swerë, although he lay softe",willen@v%pr_1_neg ich@pron%nom nought@adv sweren@v%inf al-thogh@conj he@pron1%nom lien@v1%pt_3 softe@adv,S u S u Su S u Sx
Troilus and Criseyde; Book III 443,That in his thought he nas sumwhat disesed,that@conj in@prep his@pron1%gen thought@n he@pron1%nom ben@v%pt_3_neg som-what@adv disesen@v%ppl,u S u S u S uS uSx
Troilus and Criseyde; Book III 444,Ne that he tornede on his pilwes ofte,ne@conj1 that@conj he@pron1%nom turnen@v%pt_3 on@prep his@pron1%gen pilwe@n%pl ofte@adv,u S u Sux S u Su Sx
Troilus and Criseyde; Book III 445,And wolde of that him missed han ben sesed;,and@conj willen@v%pt_3 of@prep that@pron him@pron%obj missen@v1%pt_3 haven@v%inf ben@v%ppl seisen@v%ppl,u Sx u S u Su S u Sx
Troilus and Criseyde; Book III 446,But in swich cas man is nought alwey plesed,but@conj in@prep swich@gram_adj cas@n men@pron_impers ben@v%pr_3 nought@adv al-wei@adv plesen@v%ppl,u S u S u S u Su Sx
Troilus and Criseyde; Book III 447,"For ought I wot, no more than was he;",for@prep ought@pron ich@pron%nom witen@v1%pr_1 no@gram_adj more@adv%comp than@conj ben@v%pt_3 he@pron1%nom,u S u S u Su S u S
Troilus and Criseyde; Book III 448,That can I deme of possibilitee.,that@pron connen@v%pr_1 ich@pron%nom demen@v%inf of@prep possibilite@n,u S u Sx u SuSuS
Troilus and Criseyde; Book III 449,"But certein is, to purpos for to go",but@conj certain@adj ben@v%pr_3 to@prep purpos@n for@prep#adv to@part gon@v%inf,u Su S u Su S u S
Troilus and Criseyde; Book III 450,"That in this while, as writen is in geste",that@conj in@prep this@gram_adj whil@n as@conj writen@v%ppl ben@v%pr_3 in@prep geste@n1,u S u Sx u Su S u Sx
Troilus and Criseyde; Book III 451,He say his lady somtime; and also,he@pron1%nom sen@v1%pt_3 his@pron1%gen ladie@n som-time@adv and@conj also@adv,u S u Su Sux S uS
Troilus and Criseyde; Book III 452,"She with him spak, whan that she dorste or leste",she@pron%nom with@prep him@pron%obj speken@v%pt_3 whan@adv&conj that@part she@pron%nom durren@v%pt_3 or@conj listen@v1%pt_3,u S u S u S u Sx u Sx
Troilus and Criseyde; Book III 453,"And by hir bothe avis, as was the beste",and@conj bi@prep here@pron%pl_gen bothe@num_adj avis@n as@conj ben@v%pt_3 the@def_art best@adjas_n%sup,u S u Sx uS u S u Sx
Troilus and Criseyde; Book III 454,Apointeden ful warly in this nede,appointen@v%pr_pl ful@adv wareli@adv in@prep this@gram_adj nede@n1,uSuS u Su S u Sx
Troilus and Criseyde; Book III 455,"So as they dorste, how they wold procede.",so@adv as@conj thei@pron%pl_nom durren@v%pt_pl hou@adv&conj thei@pron%pl_nom willen@v%pt_pl proceden@v%inf,u S u Su S u S uSx
Troilus and Criseyde; Book III 456,But it was spoken in so short a wise,but@conj hit@pron ben@v%pt_3 speken@v%ppl in@prep so@adv short@adj a@indef_art wise@n2,u S u Su S u S u Sx
Troilus and Criseyde; Book III 457,"In swich await alwey, and in swich fere",in@prep swich@gram_adj awaite@n al-wei@adv and@conj in@prep swich@gram_adj fer@n1,u S uS uS u S u Sx
Troilus and Criseyde; Book III 458,Lest any wight divinen or devise,leste@conj ani@gram_adj wight@n divinen@v%inf or@conj devisen@v%inf,u Su S uSu S uSx
Troilus and Criseyde; Book III 459,"Wolde of hem two, or to it leye an ere",willen@v%pt_3 of@prep hem@pron%pl_obj two@num_adj or@conj to@prep hit@pron leien@v1%pt_3 a@indef_art ere@n1,ux S u S u S u S u Sx
Troilus and Criseyde; Book III 460,That al this world so leef to hem ne were,that@conj al@gram_adj this@gram_adj world@n so@adv lef@adj to@prep hem@pron%pl_obj ne@adv ben@v%pt_3,u S u S u S u S u Sx
Troilus and Criseyde; Book III 461,As that Cupido wolde hem grace sende,as@conj that@part cupide@n#propn willen@v%pt_3 hem@pron%pl_obj grace@n senden@v2%inf,u S uSu Sx u Su Sx
Troilus and Criseyde; Book III 462,To maken of hir speche aright an ende.,to@part maken@v1%inf of@prep here@pron%pl_gen speche@n a-right@adv a@indef_art ende@n1,u Su S u Sx uS u Sx
Troilus and Criseyde; Book III 463,But thilke litel that they spake or wroughte,but@conj thilke@gram_adj litel@n that@pron thei@pron%pl_nom speken@v%pt_pl or@conj werken@v%pt_pl,u Su Su S u Sx u Sx
Troilus and Criseyde; Book III 464,His wise goost took ay of al swich hede,his@pron1%gen wise@adj gost@n taken@v%pt_3 ai@adv of@prep al@gram_adj swich@gram_adj hed@n2,u Su S u S u S u Sx
Troilus and Criseyde; Book III 465,"It semed hir, he wiste what she thoughte",hit@pron semen@v2%pt_3 hire@pron2%fem_obj he@pron1%nom witen@v1%pt_3 what@pron she@pron%nom thinken@v2%pt_3,u Su S u Su S u Sx
Troilus and Criseyde; Book III 466,"Withouten word, so that it was no nede",withouten@prep word@n so@adv that@conj hit@pron ben@v%pt_3 no@gram_adj nede@n1,uSu S u S u S u Sx
Troilus and Criseyde; Book III 467,"To bidde him ought to done, or ought forbede;",to@part bidden@v%inf him@pron%obj ought@pron to@part don@v1%inf or@conj ought@pron forbeden@v%inf,u Sx u S u Sx u S uSx
Troilus and Criseyde; Book III 468,"For which hir thought that love, al come it late",for@prep which@pron hire@pron2%fem_obj thinken@v2%pt_3 that@conj love@n1 al@conj comen@v%pr_3 hit@pron late@adv,u S u S u Sx u Sx u Sx
Troilus and Criseyde; Book III 469,Of alle joye hadde opned hir the yate.,of@prep al@gram_adj joie@n haven@v%pt_3 openen@v%ppl hire@pron2%fem_obj the@def_art gate@n1,u Sx uS ux Su S u Sx
Troilus and Criseyde; Book III 470,And shortly of this proces for to pace,and@conj shortli@adv of@prep this@gram_adj proces@n for@prep#adv to@part passen@v%inf,u Su S u Su S u Sx
Troilus and Criseyde; Book III 471,So wel his werk and wordes he bisette,so@adv wel@adv his@pron1%gen werk@n and@conj word@n%pl he@pron1%nom bisetten@v%pt_3,u S u S u Su S uSx
Troilus and Criseyde; Book III 472,That he so ful stood in his lady grace,that@conj he@pron1%nom so@adv ful@adv stonden@v1%pt_3 in@prep his@pron1%gen ladie@n grace@n,u S u S u S u Su Sx
Troilus and Criseyde; Book III 473,"That twenty thousand times, or she lette",that@conj twenti@num_adj thousand@num_adj time@n%pl er@conj1 she@pron%nom letten@v%pt_3,u Su Su Su S u Sx
Troilus and Criseyde; Book III 474,She thonked God she ever with him mette;,she@pron%nom thanken@v%pt_3 god@n1#propn she@pron%nom ever@adv with@prep him@pron%obj meten@v4%pt_3,u Su S u Su S u Sx
Troilus and Criseyde; Book III 475,So coude he him governe in swich servise,so@adv connen@v%pt_3 he@pron1%nom him@pron%obj governen@v%inf in@prep swich@gram_adj servise@n,u Sx u S uSx u S uSx
Troilus and Criseyde; Book III 476,That al the world ne mighte it bet devise.,that@conj al@gram_adj the@def_art world@n ne@adv mouen@v3%pt_3 hit@pron bet@adv%comp devisen@v%inf,u S u S u Sx u S uSx
Troilus and Criseyde; Book III 477,Forwhy she fond him so discreet in al,for-whi@conj she@pron%nom finden@v%pt_3 him@pron%obj so@adv discrete@adj in@prep al@gram_adjas_n,uS u S u S uS u S
Troilus and Criseyde; Book III 478,"So secret, and of swich obeisaunce",so@adv secret@adj and@conj of@prep swich@gram_adj obeisaunce@n,S uS u S u SuSx
Troilus and Criseyde; Book III 479,That wel she felte he was to hir a wal,that@conj wel@adv she@pron%nom felen@v1%pt_3 he@pron1%nom ben@v%pt_3 to@prep hire@pron2%fem_obj a@indef_art wal@n1,u S u Sx u S u S u S
Troilus and Criseyde; Book III 480,"Of steel, and sheld from every displesaunce;",of@prep stele@n3 and@conj sheld@n from@prep everi@pron_gram_adj displesaunce@n,u S u S u SuS uxSx
Troilus and Criseyde; Book III 481,"That, to ben in his gode governaunce",that@conj to@part ben@v%inf in@prep his@pron1%gen god@adj governaunce@n,u S u S u Su SuSx
Troilus and Criseyde; Book III 482,"So wis he was, she was no more afered",so@adv wise@adj he@pron1%nom ben@v%pt_3 she@pron%nom ben@v%pt_3 no@gram_adj more@adv%comp afered@ppl,u S u S x u S ux SuS
Troilus and Criseyde; Book III 483,"I mene, as fer as oughte ben requered.",ich@pron%nom menen@v1%pr_1 as@conj fer@adv as@conj ouen@v%pt_3 ben@v%inf requeren@v%ppl,u Sx u S u Sx u SuS
Troilus and Criseyde; Book III 484,"And Pandarus, to quike alwey the fir",and@conj pandare@n#propn to@part quiken@v%inf al-wei@adv the@def_art fir@n,u SuS u Sx uS u S
Troilus and Criseyde; Book III 485,Was ever ylike prest and diligent;,ben@v%pt_3 ever@adv iliche@adv prest@adj and@conj diligent@adj,u Su Sux S u SuS
Troilus and Criseyde; Book III 486,To ese his frend was set al his desir.,to@part esen@v%inf his@pron1%gen frend@n ben@v%pt_3 setten@v%ppl al@gram_adj his@pron1%gen desir@n,u Sx u S u S u S uS
Troilus and Criseyde; Book III 487,"He shof ay on, he to and fro was sent;",he@pron1%nom shouven@v%pt_3 ai@adv on@adv1 he@pron1%nom to@adv1 and@conj from@adv ben@v%pt_3 senden@v2%ppl,u S u S u S u S u S
Troilus and Criseyde; Book III 488,He lettres bar whan Troilus was absent.,he@pron1%nom lettre@n%pl beren@v1%pt_3 whan@adv&conj troilus@n#propn ben@v%pt_3 absent@adj,u Su S u Su S uS
Troilus and Criseyde; Book III 489,"That never man, as in his freendes nede",that@conj never@adv man@n as@conj in@prep his@pron1%gen frend@n%gen nede@n1,u Su S u S u Su Sx
Troilus and Criseyde; Book III 490,"Ne bar him bet than he, withouten drede.",ne@adv beren@v1%pt_3 him@pron%obj bet@adv%comp than@conj he@pron1%nom withouten@prep drede@n,u S u S u S uSu Sx
Troilus and Criseyde; Book III 491,"But now, paraunter, som man waiten wolde",but@conj nou@adv paraventure@adv som@gram_adj man@n waiten@v%inf willen@v%pt_3,u S uSu S u Su Sx
Troilus and Criseyde; Book III 492,"That every word, or sonde, or look, or chere",that@conj everi@pron_gram_adj word@n or@conj sonde@n or@conj lok@n4 or@conj chere@n1,u SuS u S ux S u S xx
Troilus and Criseyde; Book III 493,Of Troilus that I rehersen sholde,of@prep troilus@n#propn that@pron ich@pron%nom rehersen@v%inf shulen@v1%pt_1,u SuS u S uSu Sx
Troilus and Criseyde; Book III 494,"In al this while, unto his lady dere;",in@prep al@gram_adj this@gram_adj whil@n unto@prep his@pron1%gen ladie@n dere@adj1 --@dash,u S u Sx uS u Su Sx
Troilus and Criseyde; Book III 495,I trowe it were a long thing for to here;,ich@pron%nom trouen@v%pr_1 hit@pron ben@v%pt_3 a@indef_art long@adj1 thing@n for@prep#adv to@part heren@v%inf --@dash,u Sx u Sx u S u S u Sx
Troilus and Criseyde; Book III 496,Or of what wight that stant in swich disjointe,or@conj of@prep what@gram_adj wight@n that@pron stonden@v1%pr_3 in@prep swich@gram_adj disjointe@n,u S u S u S u S uSx
Troilus and Criseyde; Book III 497,"His wordes alle, or every look, to pointe.",his@pron1%gen word@n%pl al@gram_adj or@conj everi@pron_gram_adj lok@n4 to@part pointen@v1%inf,u Su Sx u Sxu S u Sx
Troilus and Criseyde; Book III 498,"For sothe, I have not herd it doon er this",for@prep soth@n ich@pron%nom haven@v%pr_1 not@adv heren@v%ppl hit@pron don@v1%ppl_abs er@prep this@pron,u Sx u Sx u S u S u S
Troilus and Criseyde; Book III 499,"In storie noon, ne no man here, I wene;",in@prep storie@n1 non@gram_adj ne@conj1 no@gram_adj man@n her@adv ich@pron%nom wenen@v2%pr_1,u Su S u S u Sx u Sx
Troilus and Criseyde; Book III 500,"And though I wolde I coude not, ywis;",and@conj though@conj ich@pron%nom willen@v%pt_1 ich@pron%nom connen@v%pt_1 not@adv iwis@adv,u S u Sx u Su S uS
Troilus and Criseyde; Book III 501,For ther was som epistel hem bitwene,for@conj ther@adv ben@v%pt_3 som@gram_adj epistel@n hem@pron%pl_obj bitwene@prep,u S u S uSu S uSx
Troilus and Criseyde; Book III 502,"That wolde, as seith min auctor, wel contene",that@conj willen@v%pt_3 as@conj seien@v1%pr_3 min@pron%gen auctour@n wel@adv conteinen@v%inf,u Sx u S u Su S uSx
Troilus and Criseyde; Book III 503,"Neigh half this book, of which him list notwrite;",neigh@adv half@n this@gram_adj bok@n1 of@prep which@pron him@pron%obj listen@v1%pr_3 not-writen@v%inf,u S u S u S u S uSx
Troilus and Criseyde; Book III 504,How sholde I thanne a line of it endite?,hou@adv&conj shulen@v1%pt_1 ich@pron%nom thanne@adv a@indef_art line@n1 of@prep hit@pron enditen@v%inf,u Sx u Sx u Sx u S uSx
Troilus and Criseyde; Book III 505,But to the grete effect: than sey I thus,but@conj to@prep the@def_art gret@adj effect@n thanne@adv seien@v1%pr_1 ich@pron%nom thus@adv,u S u Sx uS u S u S
Troilus and Criseyde; Book III 506,That stonding in concord and in quiete,that@conj stonden@v1%prp_abs in@prep concorde@n and@conj in@prep quiete@n,u Su S uS u S uSx
