headword,infinitive,preterite,past_participle,classification,notes
enfourmen,enfourmen,,enformed(2),weak,classified by morphological evidence
engendren,engendren,,"engendred(6), engendered(1)",weak,classified by morphological evidence
enhabiten,enhabiten,,enhabit(2),weak,classified by morphological evidence
enhauncen,enhauncen,,enhaunced(3),weak,classified by morphological evidence
enspiren,enspiren,,inspired(2),weak,classified by morphological evidence (check!)
entenden,entenden,entended(2),,weak,classified by morphological evidence
enterchaungen,enterchaungen,,entrechaunged(2),weak,classified by morphological evidence
entitelen,entitelen,,entitled(1),weak,classified by morphological evidence
entren,entren,,entred(4),weak,classified by morphological evidence
envenimen,envenimen,,"envenimed(1), envenymed(1)",weak,classified by morphological evidence
envolupen,envolupen,,envoluped(2),weak,classified by morphological evidence
escapen,escapen,,escaped(2),weak,classified by morphological evidence
escheuen,escheuen,,eschued(1),weak,classified by morphological evidence
esen,esen,,esed(7),weak,classified by morphological evidence
exciten,exciten,excited(2),,weak,classified by morphological evidence
excusen,excusen,,excused(2),weak,classified by morphological evidence
executen,executen,,execut(2),weak,classified by morphological evidence
expounen,expounen,"expouned(2), expowned(2)",,weak,classified by morphological evidence
failen,failen,"failled(3), failed(1)",,weak,classified by morphological evidence
falsen,falsen,falsed(2),falsed(4),weak,classified by morphological evidence
farsen,farsen,,farsed(2),weak,classified by morphological evidence
fasten,fasten,fasted(6),fast(2),weak,classified by morphological evidence (check!)
faunen,faunen,fauned(2),,weak,classified by morphological evidence (check!)
feden,feden,fedde(4),fed(2),weak,classified by morphological evidence
feffen,feffen,,feffed(2),weak,classified by morphological evidence
feinen,feinen,"feined(4), feyned(3), feynede(1)","feyned(2), feined(1)",weak,classified by morphological evidence
felen,felen,"felte(59), felt(6), felede(1), feelede(1), feled(1)","felt(12), feled(2)",weak,classified by morphological evidence (check!)
fellen,fellen,,feld(2),weak,classified by morphological evidence
feteren,feteren,fettred(2),fetered(2),weak,classified by morphological evidence
fetheren,fetheren,fethered(2),,weak,classified by morphological evidence (check!)
fetten,fetten,fette(5),fet(6),weak,classified by morphological evidence
fillen,fillen,,"fild(2), filled(2)",weak,classified by morphological evidence
fishen,fishen,,fisshed(2),weak,classified by morphological evidence
flateren,flateren,,yflatered(2),weak,classified by morphological evidence (check!)
flen,flen,fledde(4),"fled(12), yfled(2)",weak,classified by morphological evidence (check!)
flikeren,flikeren,flikered(1),,weak,classified by morphological evidence
flouren,flouren,floured(2),,weak,classified by morphological evidence (check!)
folwen,folwen,"folwed(9), folwede(3), folowede(1), folowed(1), folewed(1)",yfolowed(2),weak,classified by morphological evidence
forbeden,forbeden,forbad(4),forbode(2),weak,not in list
fore-witen,fore-witen,"forwoot(4), forwot(3)",,weak,classified by morphological evidence
formen,formen,"formed(4), formede(1)","yformed(5), formed(3), ifourmed(1)",weak,classified by morphological evidence
forwrappen,forwrappen,,forwrapped(2),weak,classified by morphological evidence
fostren,fostren,fostred(4),"fostred(11), yfostred(4)",weak,classified by morphological evidence
founden,founden,,founded(3),weak,classified by morphological evidence (check!)
foundren,foundren,foundred(2),,weak,classified by morphological evidence (check!)
ful-fillen,ful-fillen,,"fulfild(9), fulfilled(2)",weak,classified by morphological evidence
gaderen,gaderen,"gadered(2), gadrede(1)",gadered(1),weak,classified by morphological evidence
gamen,gamen,gamed(2),,weak,classified by morphological evidence
gasen,gasen,gazed(2),,weak,classified by morphological evidence
giden,giden,,gided(1),weak,classified by morphological evidence
gladen,gladen,"gladded(3), gladed(3), gladede(2)",gladed(1),weak,classified by morphological evidence
gliteren,gliteren,"glitered(1), glytered(1)",,weak,classified by morphological evidence
governen,governen,governed(4),governed(3),weak,classified by morphological evidence
graunten,graunten,"graunted(22), grauntede(1)","graunted(16), ygraunted(2)",weak,classified by morphological evidence
greten,greten,grette(2),,weak,classified by morphological evidence (check!)
greven,greven,greved(2),,weak,classified by morphological evidence
gropen,gropen,groped(2),,weak,classified by morphological evidence
grounden,grounden,,grounded(2),weak,classified by morphological evidence
halouen,halouen,,yhalowed(2),weak,classified by morphological evidence
halwen,halwen,halwed(2),halwed(2),weak,classified by morphological evidence
hamelen,hamelen,,hameled(2),weak,classified by morphological evidence
happen,happen,"happed(21), happede(3)",,weak,classified by morphological evidence (check!)
harden,harden,,yharded(2),weak,classified by morphological evidence
haten,haten,hated(2),yhated(2),weak,classified by morphological evidence
haven,haven,"hadde(740), had(407)","had(48), hadde(1)",weak,not in list
helen,helen,,"heled(7), heeled(5)",weak,classified by morphological evidence (check!)
helmen,helmen,,helmed(4),weak,classified by morphological evidence
henten,henten,"hente(30), hent(2)",hent(10),weak,classified by morphological evidence
heren,heren,"herde(137), herd(11)","herd(135), herde(3)",weak,not in list
herkenen,herkenen,herkned(6),herkned(2),weak,classified by morphological evidence
heven,heven,haaf(1),,weak,Program failed due to spelling difference
hiden,hiden,"hidde(9), hydde(1)","hid(11), yhid(2), hyd(1)",weak,not in list
hien,hien,hied(1),hyed(2),weak,classified by morphological evidence
hitten,hitten,hitte(5),hit(1),weak,classified by morphological evidence
honouren,honouren,,"honoured(9), honured(3)",weak,classified by morphological evidence
hoven,hoven,hoved(1),,weak,classified by morphological evidence (check!)
hunten,hunten,hunted(4),hunted(4),weak,classified by morphological evidence
hurten,hurten,"hurte(4), hurt(2)","hurt(16), yhurt(2)",weak,classified by morphological evidence
ibringen,ibringen,,"ybrought(7), ybroght(6), ibrought(3)",weak,classified by morphological evidence
igreten,igreten,,ygret(1),weak,classified by morphological evidence
ikissen,ikissen,,ykist(2),weak,classified by morphological evidence
ileden,ileden,,ylad(2),weak,classified by morphological evidence
ileien,ileien,,"yleid(1), yleyd(1)",weak,classified by morphological evidence
imaginen,imaginen,"ymagened(1), imagined(1)",,weak,not in list
imaken,imaken,,"ymaked(7), ymaad(4), imaked(1), ymad(1)",weak,classified by morphological evidence
imeten,imeten,,ymet(2),weak,classified by morphological evidence (check!)
innen,innen,,inned(1),weak,classified by morphological evidence (check!)
ipassen,ipassen,,ypassed(2),weak,classified by morphological evidence
ireden,ireden,,yred(2),weak,classified by morphological evidence
isenden,isenden,,ysent(2),weak,classified by morphological evidence
isetten,isetten,,"yset(2), iset(2)",weak,classified by morphological evidence
isheuen,isheuen,,yshewed(2),weak,classified by morphological evidence
itechen,itechen,,ytaught(1),weak,classified by morphological evidence
iturnen,iturnen,,yturned(4),weak,classified by morphological evidence
iwerken,iwerken,,"ywroght(3), ywrought(2), iwrought(2), ywroghte(1)",weak,not in list
japen,japen,japed(1),japed(2),weak,classified by morphological evidence
joinen,joinen,"joined(1), joyned(1)","joyned(2), joined(1)",weak,classified by morphological evidence (check!)
jugen,jugen,,"juged(3), jugged(1)",weak,classified by morphological evidence
kemben,kemben,kembde(1),kembd(7),weak,classified by morphological evidence
kepen,kepen,"kepte(25), kept(1)",kept(21),weak,classified by morphological evidence
kiken,kiken,,kiked(2),weak,classified by morphological evidence (check!)
kindelen,kindelen,,"kindled(1), kyndled(1)",weak,classified by morphological evidence (check!)
kissen,kissen,kiste(28),"kist(4), kiste(1)",weak,Decided 
kithen,kithen,kidde(1),kithed(2),weak,classified by morphological evidence
knelen,knelen,kneled(4),,weak,classified by morphological evidence
knitten,knitten,,"knyt(6), knit(5)",weak,classified by morphological evidence
knokken,knokken,knokked(3),,weak,classified by morphological evidence
labouren,labouren,laboured(2),laboured(3),weak,classified by morphological evidence
lakken,lakken,"lakked(15), lakkede(4)",,weak,classified by morphological evidence
lasen,lasen,,laced(2),weak,classified by morphological evidence
lasten,lasten,lasted(2),,weak,classified by morphological evidence (check!)
lenen,lenen,lente(2),,weak,classified by morphological evidence (check!)
lepen,lepen,"leep(4), lepte(2)",,weak,classified by morphological evidence
lernen,lernen,,lerned(13),weak,classified by morphological evidence
letten,letten,"letted(4), lette(2)",let(5),weak,classified by morphological evidence
lighten,lighten,lighte(2),lighted(1),weak,classified by morphological evidence (check!)
liknen,liknen,,likned(2),weak,classified by morphological evidence (check!)
limen,limen,,"ylimed(1), ylymed(1)",weak,classified by morphological evidence (check!)
lissen,lissen,,"ylissed(2), lissed(2)",weak,classified by morphological evidence
listen,listen,"liste(15), list(6), leste(3), lyste(2), lyst(1), lest(1)",,weak,classified by morphological evidence (check!)
loggen,loggen,,"logged(4), ylogged(2)",weak,classified by morphological evidence
loken,loken,"loked(22), looked(20)","loked(4), looked(1)",weak,classified by morphological evidence (check!)
longen,longen,longed(2),,weak,classified by morphological evidence (check!)
loven,loven,"loved(81), lovede(17), lovedest(2)","loved(24), yloved(1), iloved(1)",weak,classified by morphological evidence (check!)
lullen,lullen,lulled(1),,weak,classified by morphological evidence
lusten,lusten,"luste(3), lust(2)",,weak,classified by morphological evidence
marien,marien,"maried(1), maryed(1)",,weak,classified by morphological evidence
marken,marken,,"marked(2), ymarked(2)",weak,classified by morphological evidence (check!)
masken,masken,,ymasked(2),weak,classified by morphological evidence
medlen,medlen,,"ymedled(1), imedled(1)",weak,classified by morphological evidence
menen,menen,"mente(12), ment(1)",ment(2),weak,classified by morphological evidence (check!)
misaccounten,misaccounten,,misacounted(2),weak,classified by morphological evidence
misforyeven,misforyeven,mysforyaf(1),,weak,not in list
mishappen,mishappen,,myshapped(1),weak,classified by morphological evidence
misseien,misseien,,"missaid(1), myssayd(1), misseid(1), mysseyd(1)",weak,classified by morphological evidence
missen,missen,missed(2),missed(2),weak,classified by morphological evidence (check!)
mistrusten,mistrusten,,"mistrusted(1), mystrusted(1)",weak,classified by morphological evidence
mortheren,mortheren,,mordred(14),weak,classified by morphological evidence
moten,moten,"moste(131), most(15), mot(1), mooste(1)",,weak,classified by morphological evidence (check!)
musen,musen,,"ymused(1), imused(1)",weak,classified by morphological evidence
neden,neden,"neded(10), nedede(5)",,weak,classified by morphological evidence (check!)
nemnen,nemnen,nempned(2),,weak,classified by morphological evidence
nombren,nombren,,"nombred(1), noumbred(1)",weak,classified by morphological evidence
norishen,norishen,,norissed(1),weak,classified by morphological evidence
obeien,obeien,obeyed(6),,weak,classified by morphological evidence
obligen,obligen,,obliged(2),weak,classified by morphological evidence
offenden,offenden,,offended(2),weak,classified by morphological evidence
onen,onen,,oned(2),weak,classified by morphological evidence
openen,openen,opned(2),"opened(4), opned(2)",weak,classified by morphological evidence
oppressen,oppressen,,oppressed(6),weak,classified by morphological evidence
ordeinen,ordeinen,,"ordeyned(2), ordeined(1)",weak,classified by morphological evidence
ouen,ouen,"oughte(41), oghte(33), ought(7), aughte(3), owghte(1), oght(1)",,weak,classified by morphological evidence
overloken,overloken,,overloked(1),weak,classified by morphological evidence
overspreden,overspreden,overspradde(2),,weak,classified by morphological evidence
paien,paien,"payde(3), paide(2), payed(1)","payed(4), ypayed(3), paid(2), payd(2), ypaied(1)",weak,classified by morphological evidence
passen,passen,passed(14),passed(31),weak,classified by morphological evidence
peinen,peinen,"peined(4), peyned(4)",,weak,classified by morphological evidence
peinten,peinten,"peinted(1), peyntede(1), peynted(1)","peynted(13), peinted(11)",weak,classified by morphological evidence
percen,percen,"perced(2), percede(1)",perced(2),weak,classified by morphological evidence
perchen,perchen,,perched(2),weak,classified by morphological evidence
performen,performen,parfourned(2),parfourned(8),weak,Definitely weak — the root vowel stays same just varied spelling
picchen,picchen,pighte(2),,weak,classified by morphological evidence
piken,piken,,ypiked(2),weak,classified by morphological evidence (check!)
pinchen,pinchen,,"pinched(1), pynched(1)",weak,classified by morphological evidence
pipen,pipen,,piped(1),weak,classified by morphological evidence
pissen,pissen,,pissed(2),weak,classified by morphological evidence
planen,planen,planed(2),,weak,classified by morphological evidence (check!)
platen,platen,,plated(2),weak,classified by morphological evidence
plaunten,plaunten,,planted(4),weak,classified by morphological evidence
pleinen,pleinen,"pleined(2), pleyned(2)","ypleined(1), ypleyned(1)",weak,classified by morphological evidence
pleiten,pleiten,plited(2),,weak,"Program failed here, pretty sure its weak not irregular"
plesen,plesen,,plesed(2),weak,classified by morphological evidence
plighten,plighten,plighte(2),plight(2),weak,classified by morphological evidence
pointen,pointen,,"pointed(1), poynted(1)",weak,classified by morphological evidence (check!)
poken,poken,poked(4),,weak,classified by morphological evidence (check!)
portraien,portraien,"purtreied(1), purtreyed(1)",,weak,"Program failed here, pretty sure its weak not irregular"
pouren,pouren,poured(2),poured(2),weak,classified by morphological evidence (check!)
prechen,prechen,,preched(2),weak,classified by morphological evidence
preisen,preisen,,"preysed(2), ypreised(2), preised(1)",weak,classified by morphological evidence
pressen,pressen,pressed(2),,weak,classified by morphological evidence
preven,preven,proved(1),"preved(13), preeved(4), ypreved(2)",weak,not in list
priken,priken,"pryked(1), priked(1)",,weak,Clearly weak
profren,profren,profred(5),profred(1),weak,classified by morphological evidence
pronouncen,pronouncen,,pronounced(2),weak,classified by morphological evidence
proverben,proverben,,proverbed(2),weak,classified by morphological evidence
publishen,publishen,,"publiced(4), publisshed(1), publysshed(1)",weak,classified by morphological evidence
pullen,pullen,pulled(8),ypulled(2),weak,classified by morphological evidence
punishen,punishen,,"ypunisshed(1), ypunysshed(1)",weak,classified by morphological evidence
purchasen,purchasen,purchased(2),,weak,classified by morphological evidence
purgen,purgen,,purged(2),weak,classified by morphological evidence (check!)
purveien,purveien,,"purveyed(7), purveied(6), purveyd(1)",weak,classified by morphological evidence
putten,putten,"putte(31), put(2)","put(29), yput(5), pit(1)",weak,classified by morphological evidence
quenchen,quenchen,"queinte(1), queynte(1)","queint(5), queynt(5)",weak,classified by morphological evidence
quiken,quiken,"quiked(1), quyked(1)",quyked(1),weak,classified by morphological evidence
quiten,quiten,quitte(2),"quit(4), quyt(2)",weak,classified by morphological evidence
raten,raten,,rated(2),weak,classified by morphological evidence (check!)
ravishen,ravishen,"ravisshed(1), ravysshed(1)","ravisshed(3), ravysshed(3)",weak,classified by morphological evidence
receiven,receiven,"received(1), receyved(1)","received(5), receyved(3)",weak,classified by morphological evidence
rechasen,rechasen,,rechased(2),weak,classified by morphological evidence (check!)
recoveren,recoveren,,recovered(9),weak,classified by morphological evidence (check!)
refreshen,refreshen,refresshed(1),refresshed(4),weak,classified by morphological evidence
regnen,regnen,regned(1),,weak,classified by morphological evidence
reisen,reisen,,"reised(2), reysed(2)",weak,classified by morphological evidence (check!)
rejoisen,rejoisen,"rejoised(1), rejoysed(1)",,weak,classified by morphological evidence
rekenen,rekenen,rekned(1),yrekened(3),weak,classified by morphological evidence
relesen,relesen,relessed(2),,weak,classified by morphological evidence (check!)
releven,releven,,"releved(1), releeved(1)",weak,classified by morphological evidence
remembren,remembren,remembred(6),,weak,classified by morphological evidence
renden,renden,rente(14),rent(3),weak,classified by morphological evidence (check!)
repenten,repenten,repented(2),,weak,classified by morphological evidence
repressen,repressen,,repressed(2),weak,classified by morphological evidence
requeren,requeren,required(2),,weak,classified by morphological evidence
resounen,resounen,resouned(2),,weak,classified by morphological evidence (check!)
resten,resten,,rested(2),weak,classified by morphological evidence (check!)
restoren,restoren,restored(4),,weak,classified by morphological evidence
returnen,returnen,,retourned(1),weak,classified by morphological evidence
reuen,reuen,,rewed(2),weak,classified by morphological evidence (check!)
reulen,reulen,,"reuled(3), ruled(2)",weak,classified by morphological evidence
rollen,rollen,rolled(2),rolled(2),weak,classified by morphological evidence (check!)
romen,romen,romed(7),romed(4),weak,classified by morphological evidence
rosten,rosten,rosted(2),,weak,classified by morphological evidence
rounden,rounden,rounded(2),,weak,classified by morphological evidence
rounen,rounen,"rowned(4), rouned(3)",rouned(1),weak,classified by morphological evidence
rumbelen,rumbelen,rombled(3),,weak,classified by morphological evidence
rusen,rusen,rused(2),,weak,classified by morphological evidence
sakken,sakken,,sakked(2),weak,classified by morphological evidence
saluen,saluen,,salewed(2),weak,classified by morphological evidence
saven,saven,saved(4),saved(11),weak,classified by morphological evidence
scalden,scalden,,scalded(2),weak,classified by morphological evidence
scateren,scateren,,scatered(2),weak,classified by morphological evidence
scornen,scornen,"scorned(5), skorned(1)",,weak,classified by morphological evidence
sechen,sechen,"soughte(4), soghte(1)",soght(2),weak,Not in lists
semen,semen,"semed(69), seemed(1)",semed(2),weak,classified by morphological evidence (check!)
senden,senden,"sente(30), sent(2)",sent(38),weak,classified by morphological evidence (check!)
serven,serven,"served(5), servede(2)","served(11), yserved(2)",weak,classified by morphological evidence (check!)
setlen,setlen,,ysatled(2),weak,classified by morphological evidence
setten,setten,"sette(65), set(7)",set(64),weak,classified by morphological evidence
seuen,seuen,,sowed(1),weak,classified by morphological evidence (check!)
shadwen,shadwen,,"shadwed(1), yshadwed(1)",weak,classified by morphological evidence
shamen,shamen,,"shamed(3), yshamed(2)",weak,classified by morphological evidence
shenden,shenden,shente(1),shent(4),weak,classified by morphological evidence
sheuen,sheuen,"shewed(26), shewede(5)",shewed(15),weak,classified by morphological evidence (check!)
shitten,shitten,"shet(1), shette(1)","shet(4), shette(1)",weak,Not in lists
shouven,shouven,"shof(3), shoof(1)",,weak,"Although strong in early middle gnlish, seems weak here"
shreden,shreden,shredde(2),,weak,classified by morphological evidence
shrinen,shrinen,,"shrined(1), shryned(1)",weak,classified by morphological evidence
shulen,shulen,"sholde(445), shulde(57), shold(37), shuld(12), shoulde(2)",,weak,classified by morphological evidence (check!)
siften,siften,,sifted(2),weak,classified by morphological evidence
sighen,sighen,sighed(2),,weak,classified by morphological evidence
signifien,signifien,signified(2),,weak,classified by morphological evidence
skippen,skippen,skipte(2),,weak,classified by morphological evidence
skriken,skriken,shrighte(5),shright(2),weak,classified by morphological evidence
slitten,slitten,slitte(1),,weak,classified by morphological evidence
smilen,smilen,"smyled(1), smiled(1)",,weak,Not in lists
smithen,smithen,smythed(1),,weak,classified by morphological evidence
sneuen,sneuen,snewed(2),,weak,classified by morphological evidence
somnen,somnen,,somoned(2),weak,classified by morphological evidence
sorten,sorten,sorted(1),,weak,classified by morphological evidence (check!)
sorwen,sorwen,,sorwed(2),weak,classified by morphological evidence
soulen,soulen,,sowled(2),weak,classified by morphological evidence
sounen,sounen,"sowned(2), souned(2)",,weak,classified by morphological evidence
sparen,sparen,,"spared(2), yspared(2)",weak,classified by morphological evidence
speden,speden,spedde(6),"sped(3), spedde(2)",weak,No evidence dn not in lists
spenden,spenden,,spent(3),weak,classified by morphological evidence
spillen,spillen,,spilt(2),weak,classified by morphological evidence
spotten,spotten,,spotted(2),weak,classified by morphological evidence
spousen,spousen,,spoused(2),weak,classified by morphological evidence
spreden,spreden,spradde(2),sprad(2),weak,Not in lists
sprengen,sprengen,,"spreind(1), spreynd(1)",weak,classified by morphological evidence
spurnen,spurnen,sporned(2),,weak,classified by morphological evidence
stablishen,stablishen,,stablissed(2),weak,classified by morphological evidence
stalken,stalken,stalked(3),,weak,classified by morphological evidence
stemen,stemen,stemed(2),,weak,classified by morphological evidence
sterten,sterten,"stirte(18), sterte(8), stirt(1), stert(1)","stert(2), stirt(2)",weak,not in lists
stiken,stiken,"stak(2), stiked(1)","ystiked(3), stiked(1)",weak,classified by morphological evidence
stinten,stinten,"stynte(5), stinte(3), stente(1)","stint(1), stynt(1), stinted(1), stynted(1)",weak,Not in lists
stiren,stiren,stired(2),,weak,classified by morphological evidence
stoppen,stoppen,,stopped(4),weak,classified by morphological evidence
strouten,strouten,strouted(2),,weak,classified by morphological evidence
sufferen,sufferen,suffred(3),"suffred(11), ysuffred(2)",weak,classified by morphological evidence
suffisen,suffisen,,suffised(2),weak,classified by morphological evidence
sugren,sugren,,sucred(2),weak,classified by morphological evidence
supposen,supposen,supposed(2),"supposed(1), supposid(1)",weak,classified by morphological evidence
surmounten,surmounten,,"surmountede(1), surmounted(1)",weak,Def weak
swappen,swappen,swapte(4),,weak,classified by morphological evidence
swepen,swepen,,ysweped(2),weak,classified by morphological evidence
swiven,swiven,"swyved(1), swived(1)","swyved(3), swived(2)",weak,Y is spelling variation
swounen,swounen,"swowned(8), swouned(2)",swowned(2),weak,classified by morphological evidence
tarien,tarien,tariede(1),taried(6),weak,classified by morphological evidence (check!)
tasten,tasten,tasted(2),,weak,classified by morphological evidence
techen,techen,"taughte(2), taught(1)",taught(13),weak,Not in lists
teien,teien,,"yteid(1), yteyd(1)",weak,classified by morphological evidence
tellen,tellen,"tolde(109), told(7), toolde(1), toold(1)","told(65), toold(21), tald(2), tolde(1)",weak,Not in lists
tempren,tempren,"tempred(1), temprede(1)",tempred(2),weak,classified by morphological evidence
tempten,tempten,,tempted(2),weak,classified by morphological evidence
thakken,thakken,,thakked(2),weak,classified by morphological evidence
thanken,thanken,"thonked(11), thanked(11)","thanked(18), thonked(4), ythonked(3), ythanked(2)",weak,O is spelling variation
thirlen,thirlen,,thirled(4),weak,classified by morphological evidence
thirsten,thirsten,thursted(2),,weak,classified by morphological evidence
thurven,thurven,dorste(2),,weak,classified by morphological evidence
tiden,tiden,,"tid(7), tyd(1)",weak,classified by morphological evidence
tikelen,tikelen,tikled(1),,weak,classified by morphological evidence
tirven,tirven,,terved(2),weak,classified by morphological evidence
todashen,todashen,,todasshed(2),weak,classified by morphological evidence
torenden,torenden,torente(2),,weak,classified by morphological evidence
touchen,touchen,"touched(2), touchede(2)",,weak,classified by morphological evidence
traishen,traishen,traysed(1),,weak,classified by morphological evidence
translaten,translaten,,translated(2),weak,classified by morphological evidence
transmeuen,transmeuen,,transmewed(1),weak,classified by morphological evidence
trompen,trompen,tromped(2),,weak,classified by morphological evidence
trouen,trouen,trowed(4),trowed(7),weak,classified by morphological evidence
trussen,trussen,,trussed(2),weak,classified by morphological evidence
trusten,trusten,trusted(4),trusted(2),weak,classified by morphological evidence
tuken,tuken,,tukked(2),weak,classified by morphological evidence
turnen,turnen,"torned(7), turned(4), tornede(2), turnede(1)","turned(22), torned(5), yturned(1), tourned(1)",weak,Certainly weak
twicchen,twicchen,,twight(2),weak,classified by morphological evidence
twinnen,twinnen,,"twinned(2), twynned(2), ytwinned(1), ytwynned(1)",weak,classified by morphological evidence (check!)
twisten,twisten,twiste(2),"twist(1), twyst(1)",weak,classified by morphological evidence
unarmen,unarmen,,unarmed(1),weak,classified by morphological evidence
unbirien,unbirien,,"unburied(1), unburyed(1)",weak,classified by morphological evidence
unhorsen,unhorsen,,unhorsed(2),weak,classified by morphological evidence
usen,usen,used(8),used(7),weak,classified by morphological evidence
vanishen,vanishen,"vanysshed(2), vanisshed(1)","vanisshed(1), vanysshed(1)",weak,classified by morphological evidence
venquishen,venquishen,,venquysshed(1),weak,classified by morphological evidence
vernishen,vernishen,,"vernisshed(1), vernysshed(1)",weak,classified by morphological evidence
visiten,visiten,visited(2),,weak,classified by morphological evidence
vitailen,vitailen,vitailled(2),,weak,classified by morphological evidence
voiden,voiden,,"voided(6), voyded(2), yvoided(1), yvoyded(1)",weak,classified by morphological evidence
waiten,waiten,"waited(4), wayted(2), waitede(1)",,weak,classified by morphological evidence
waknen,waknen,,"wakned(1), wakened(1)",weak,classified by morphological evidence
warishen,warishen,,"warisshed(6), warished(2)",weak,classified by morphological evidence
warnen,warnen,"warned(3), warnede(1)","warned(7), ywarned(2)",weak,classified by morphological evidence (check!)
wasten,wasten,,wasted(7),weak,classified by morphological evidence
wedden,wedden,"wedded(4), weddede(2)","wedded(45), ywedded(7)",weak,classified by morphological evidence
weien,weien,"weied(1), weyed(1)",,weak,classified by morphological evidence (check!)
welcomen,welcomen,welcomed(1),,weak,classified by morphological evidence
welden,welden,"welte(2), weelded(1)",,weak,classified by morphological evidence
wenden,wenden,"wente(147), went(21)",went(4),weak,classified by morphological evidence
wenen,wenen,"wende(43), wend(5)",wend(7),weak,classified by morphological evidence (check!)
werken,werken,"wroghte(16), wroughte(2)","wroght(16), wrought(7), wroughte(1)",weak,Never appears in inf I think
wernen,wernen,werned(2),,weak,classified by morphological evidence
werreien,werreien,werreyed(2),"werreied(1), wereyed(1)",weak,classified by morphological evidence
weten,weten,wette(2),,weak,classified by morphological evidence
wilnen,wilnen,wilned(4),,weak,classified by morphological evidence
wipen,wipen,"wiped(3), wyped(1)",,weak,Y is spelling variation
wlispen,wlispen,lipsed(2),,weak,classified by morphological evidence
wondren,wondren,wondred(7),wondred(4),weak,classified by morphological evidence
wonen,wonen,woned(3),"wont(85), woned(4)",weak,classified by morphological evidence (check!)
wounden,wounden,,"wounded(7), wownded(1)",weak,classified by morphological evidence
wrappen,wrappen,,wrapped(4),weak,classified by morphological evidence
wratthen,wratthen,,wraththed(1),weak,classified by morphological evidence
yicchen,yicchen,,icched(2),weak,classified by morphological evidence
forgon,forgonen,foryede(2),,weak / irregular,"Gon is generally irregular, but this form seems weak"
