TYPE,headword,word,tag,oxford_count,riverside_count,oxford_files,riverside_files,oxford_contexts,riverside_contexts
BOTH,don,ydon,v%ppl,2,2,data/oxford_txts/KnT_oxford.txt,data/riverside_cats/KnT_riv.cat,The Knight's Tale 1025: ¶And whan this worthy duk hath thus ydon | The Knight's Tale 2676: This fierse Arcite hath of his helm ydon,The Knight's Tale 1025: And whan this worthy duc hath thus ydon | The Knight's Tale 2676: This fierse Arcite hath of his helm ydon
RIVERSIDE,don,ydoo,v%ppl,0,1,,data/riverside_cats/BD_riv.cat,,Book of the Duchess 1236: And whan I had my tale ydoo
BOTH,don,ydoon,v%ppl,5,4,data/oxford_txts/MerT_oxford.txt; data/oxford_txts/NPT_oxford.txt; data/oxford_txts/HF_oxford.txt; data/oxford_txts/TC3_oxford.txt; data/oxford_txts/MkT_oxford.txt,data/riverside_cats/MerT_riv.cat; data/riverside_cats/NPT_riv.cat; data/riverside_cats/HF_riv.cat; data/riverside_cats/MkT_riverside_reordered.cat,"Troilus and Criseyde; Book III 386: “And that thou hast so muche ydoon for me | The Merchant's Tale 1894: Whan that the heighe masse° was ydoon | House of Fame 1812: That had ydoon the traiterie,°",The Merchant's Tale 1894: Whan that the heighe masse was ydoon | House of Fame 1812: That had ydoon the trayterye | The Nun's Priest's Tale 3420: I have to yow quod he ydoon trespas
BOTH,don,ydoon,v%ppl_abs,1,1,data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat,"Troilus and Criseyde; Book II 1245: For trusteth wel, to longe ydoon hardnesse",Troilus and Criseyde; Book II 1245: For trusteth wel to long ydoon hardnesse
BOTH,doten,dote,v%pr_1,1,1,data/oxford_txts/MerT_oxford.txt,data/riverside_cats/MerT_riv.cat,"The Merchant's Tale 1441: I dote° nat, I woot° the cause why",The Merchant's Tale 1441: I dote nat I woot the cause why
OXFORD,drauen,draw,v%ppl,1,0,data/oxford_txts/BD_oxford.txt,,Book of the Duchess 682: I wolde have draw the same draught.°,
BOTH,drauen,drawe,v%imp,1,1,data/oxford_txts/PardT_oxford.txt,data/riverside_cats/PardT_riv.cat,"The Pardoner's Tale 966: And Pardoner, I prey thee, drawe° thee neer",The Pardoner's Tale 966: And Pardoner I prey thee drawe thee neer
BOTH,drauen,drawe,v%pr_3,1,1,data/oxford_txts/KnT_oxford.txt,data/riverside_cats/KnT_riv.cat,"The Knight's Tale 2547: No man ne drawe, ne bere it by his side.",The Knight's Tale 2547: No man ne drawe ne bere it by his syde
OXFORD,dreden,dred,v%pr_1,1,0,data/oxford_txts/RvPro_oxford.txt,,"The Reeve's Prologue 3874: We olde men, I dred, so fare we;",
BOTH,dreden,dredde,v%pt_pl,2,3,data/oxford_txts/TC1_oxford.txt; data/oxford_txts/ClT_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/ClT_riv.cat; data/riverside_cats/TC1_riv.cat,The Clerk's Tale 181: For yet alwey the peple somwhat dredde° | Troilus and Criseyde; Book I 483: That al the Grekes as the deeth him dredde.,100-ch 1813: At thilke tyme and dredde so the shame | The Clerk's Tale 181: For yet alwey the peple somwhat dredde | Troilus and Criseyde; Book I 483: That the Grekes as the deth him dredde
BOTH,dreden,drede,v%imp,4,6,data/oxford_txts/SNT_oxford.txt; data/oxford_txts/WBT_oxford.txt; data/oxford_txts/PF_oxford.txt; data/oxford_txts/TC3_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/WBT_riv.cat; data/riverside_cats/MerT_riv.cat; data/riverside_cats/SNT_riv.cat; data/riverside_cats/TC3_riv.cat; data/riverside_cats/PF_riv.cat,"The Wife of Bath's Tale 1214: Than drede you noght to been a cokewold;° | The Second Nun's Tale 324: That never shal be lost, ne drede thee° noght | Troilus and Criseyde; Book III 708: Quod Pandarus, “Ne drede thee never a del",The Wife of Bath's Tale 1214: Than drede you noght to been a cokewold | 100-ch 1742: And seyde Drede the nat for I am here | The Second Nun's Tale 324: That nevere shal be lost ne drede thee noght
BOTH,dreden,drede,v%inf,10,8,data/oxford_txts/MancT_oxford.txt; data/oxford_txts/SNT_oxford.txt; oxford_txts/GP.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/NPT_oxford.txt; data/oxford_txts/TC1_oxford.txt; data/oxford_txts/TC5_oxford.txt,data/riverside_cats/MancT_riv.cat; data/riverside_cats/TC1_riv.cat; riverside_cats/01-1-ch.cat; data/riverside_cats/NPT_riv.cat; data/riverside_cats/SNT_riv.cat; data/riverside_cats/TC4_riv.cat,"The Manciple's Tale 352: Thee thar nat° drede for to be biwreid;° | The Second Nun's Tale 125: Of hir preyere, and God to love and drede | The Second Nun's Tale 437: “Your might,” quod she, “ful litel is to drede;",The Manciple's Tale 352: Thee thar nat drede for to be biwreyd | The Second Nun's Tale 125: Of hir preyere and God to love and drede | Troilus and Criseyde; Book IV 1365: I kan nat sen wherof ye sholden drede
BOTH,dreden,drede,v%pr_1,5,6,data/oxford_txts/KnT_oxford.txt; data/oxford_txts/LGW_FPro_oxford.txt; data/oxford_txts/ClT_oxford.txt; data/oxford_txts/TC4_oxford.txt,data/riverside_cats/ClT_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/RvPro_riv.cat; data/riverside_cats/TC4_riv.cat; data/riverside_cats/LGW_FPro_riv.cat,"The Legend of Good Women; Prologue F 211: To seen this flour that I love so and drede.° | Troilus and Criseyde; Book IV 859: Which that I drede never mo to see? | The Clerk's Tale 508: Ne drede for to lese, save only ye;",The Legend of Good Women; Prologue F 211: To seen this flour that I so love and drede | The Reeve's Prologue 3874: We olde men I drede so fare we | Troilus and Criseyde; Book IV 859: Which that I drede nevere mo to see
BOTH,dreden,drede,v%pr_2,1,1,data/oxford_txts/SNT_oxford.txt,data/riverside_cats/SNT_riv.cat,The Second Nun's Tale 477: “And if thou drede nat a sooth° to here,The Second Nun's Tale 477: And if thou drede nat a sooth to heere
OXFORD,dreden,drede,v%pr_pl,1,0,data/oxford_txts/TC3_oxford.txt,,Troilus and Criseyde; Book III 322: Though wommen drede with us men to dele.,
RIVERSIDE,dreden,dreede,v%inf,0,1,,data/riverside_cats/SNT_riv.cat,,The Second Nun's Tale 437: Youre myght quod she ful litel is to dreede
BOTH,dreden,i,v%pr_1,2,2,data/oxford_txts/TC1_oxford.txt; data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC5_riv.cat; data/riverside_cats/TC1_riv.cat,"Troilus and Criseyde; Book V 704: Or elles, lo, this drede I most of alle | Troilus and Criseyde; Book I 1019: Lest she be wrooth, this drede I most, ywis",Troilus and Criseyde; Book V 704: Or elles lo this drede I moost of alle | Troilus and Criseyde; Book I 1019: Lest she be wroth this drede I moost ywys
BOTH,dremen,dreme,v%pr_3,2,2,data/oxford_txts/HF_oxford.txt,data/riverside_cats/HF_riv.cat,"House of Fame 98: That (dreme he barfoot,° dreme he shod),° | House of Fame 98: That (dreme he barfoot,° dreme he shod),°",House of Fame 98: That dreme he barefot dreme he shod | House of Fame 98: That dreme he barefot dreme he shod
OXFORD,drenchen,dreinte,v%pr_pl,1,0,data/oxford_txts/TC4_oxford.txt,,Troilus and Criseyde; Book IV 930: Or though ye bothe in salte teres dreinte?,
OXFORD,drenchen,dreinte,v%pt_pl,1,0,data/oxford_txts/FranT_oxford.txt,,"The Franklin's Tale 1378: And dreinte° hemselven, as the bookes telle.",
RIVERSIDE,drenchen,dreynte,v%pr_pl,0,1,,data/riverside_cats/TC4_riv.cat,,Troilus and Criseyde; Book IV 930: Or though ye bothe in salte teeris dreynte
RIVERSIDE,drenchen,dreynte,v%pt_pl,0,1,,data/riverside_cats/FranT_riv.cat,,The Franklin's Tale 1378: And dreynte hemselven as the bookes telle
OXFORD,driven,drive,v%pr_3,2,0,data/oxford_txts/TC5_oxford.txt; data/oxford_txts/LGW_oxford.txt,,100-ch 2177: A twenty devil way° the wind him drive!°— | Troilus and Criseyde; Book V 665: And that his fadres cart amis he drive.”,
RIVERSIDE,driven,dryve,v%pr_3,0,2,,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/TC5_riv.cat,,100-ch 2177: A twenty develwey the wynd hym dryve | Troilus and Criseyde; Book V 665: And that his fader carte amys he dryve
BOTH,droupen,drouped,v%pt_pl,1,1,oxford_txts/GP.txt,riverside_cats/01-1-ch.cat,107: His arwes drouped noght with fetheres lowe,107: His arwes drouped noght with fetheres lowe
BOTH,duren,dure,v%pr_3,1,1,data/oxford_txts/HF_oxford.txt,data/riverside_cats/HF_riv.cat,House of Fame 303: If it so longe time dure,House of Fame 303: Yf hit so longe tyme dure
BOTH,durren,avaunt,v%pr_1,1,1,data/oxford_txts/MerT_oxford.txt,data/riverside_cats/MerT_riv.cat,"The Merchant's Tale 1457: For God be thanked, I dar make avaunt,°",The Merchant's Tale 1457: For God be thanked I dar make avaunt
BOTH,durren,dar,v%pr_1,47,48,data/oxford_txts/SumT_oxford.txt; data/oxford_txts/PhyT_oxford.txt; data/oxford_txts/CYT_oxford.txt; data/oxford_txts/ClT_oxford.txt; data/oxford_txts/NPT_oxford.txt; data/oxford_txts/PF_oxford.txt; data/oxford_txts/MilT_oxford.txt; data/oxford_txts/BD_oxford.txt; data/oxford_txts/WBT_oxford.txt; data/oxford_txts/HF_oxford.txt; data/oxford_txts/TC3_oxford.txt; data/oxford_txts/MerT_oxford.txt; data/oxford_txts/TC2_oxford.txt; data/oxford_txts/KnT_oxford.txt; data/oxford_txts/FranT_oxford.txt; data/oxford_txts/TC5_oxford.txt; data/oxford_txts/MancT_oxford.txt; data/oxford_txts/MerPro_oxford.txt; data/oxford_txts/SNT_oxford.txt; data/oxford_txts/MLT_oxford.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/SqT_oxford.txt; data/oxford_txts/TC1_oxford.txt,data/riverside_cats/ABC_riv.cat; data/riverside_cats/MancT_riv.cat; data/riverside_cats/CYT_riv.cat; data/riverside_cats/ClT_riv.cat; data/riverside_cats/HF_riv.cat; data/riverside_cats/WBT_riv.cat; data/riverside_cats/TC1_riv.cat; data/riverside_cats/SumT_riv.cat; data/riverside_cats/PF_riv.cat; data/riverside_cats/PhyT_riv.cat; data/riverside_cats/MerT_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/TC3_riv.cat; data/riverside_cats/TC4_riv.cat; data/riverside_cats/TC5_riv.cat; data/riverside_cats/MLT_riv.cat; data/riverside_cats/NPT_riv.cat; data/riverside_cats/BD_riv.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/FranT_riv.cat; data/riverside_cats/SqT_riv.cat; data/riverside_cats/MilT_riv.cat; data/riverside_cats/MerPro_riv.cat; data/riverside_cats/SNT_riv.cat,"The Wife of Bath's Tale 1014: “Than,” quod she, “I dar me wel avante,° | The Merchant's Prologue 1220: She wolde him overmacche,° I dar wel swere. | Troilus and Criseyde; Book II 537: This is the worste: I dar me not biwrien;",The Wife of Bath's Tale 1014: Thanne quod she I dar me wel avante | The Merchant's Prologue 1220: She wolde hym overmacche I dar wel swere | Troilus and Criseyde; Book II 537: This is the werste I dar me nat bywreyen
BOTH,durren,dar,v%pr_pl,1,1,data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat,"Troilus and Criseyde; Book II 1747: Than dar ye nought, and why? for she, and she",Troilus and Criseyde; Book II 1747: Than dar ye naught And whi For she and she
OXFORD,durren,dorst,v%pt_pl,1,0,data/oxford_txts/NPT_oxford.txt,,The Nun's Priest's Tale 2918: How dorst ye° seyn for shame unto your love,
BOTH,durren,dorste,v%pt_pl,4,3,data/oxford_txts/TC3_oxford.txt; data/oxford_txts/RvT_oxford.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/LGW_oxford.txt,data/riverside_cats/RvT_riv.cat; data/riverside_cats/TC4_riv.cat; data/riverside_cats/NPT_riv.cat,"100-ch 749: At every time whan they dorste° so. | Troilus and Criseyde; Book III 455: So as they dorste, how they wold procede. | Troilus and Criseyde; Book IV 1565: That ye ne dorste come ayein for shame!",Troilus and Criseyde; Book IV 1565: That ye ne dorste come ayeyn for shame | The Reeve's Tale 4009: And hardily they dorste leye hir nekke | The Nun's Priest's Tale 2918: How dorste ye seyn for shame unto youre love
OXFORD,durren,dur,v%inf,1,0,data/oxford_txts/TC5_oxford.txt,,"Troilus and Criseyde; Book V 840: Stod paregal, to dur don that him leste.",
RIVERSIDE,durren,durste,v%pt_pl,0,2,,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/TC3_riv.cat,,100-ch 749: At every tyme whan they durste so | Troilus and Criseyde; Book III 455: So as they durste how they wolde procede
BOTH,durren,han,v%pt_pl,1,1,data/oxford_txts/ClT_oxford.txt,data/riverside_cats/ClT_riv.cat,"The Clerk's Tale 403: Unnethe trowed they,° but dorste han swore",The Clerk's Tale 403: Unnethe trowed they but dorste han swore
RIVERSIDE,dwellen,dwelle,v%imp,0,1,,data/riverside_cats/TC4_riv.cat,,Troilus and Criseyde; Book IV 1449: Dwelle rather here myn owen swete herte
BOTH,dwellen,dwelle,v%pr_2,1,1,data/oxford_txts/TC1_oxford.txt,data/riverside_cats/TC1_riv.cat,Troilus and Criseyde; Book I 789: But I may not endure that thou dwelle,Troilus and Criseyde; Book I 789: But I may nat endure that thow dwelle
BOTH,dwellen,dwelte,v%pt_pl,1,1,data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC5_riv.cat,"Troilus and Criseyde; Book V 910: He dorste not, ye dwelte lenger there.",Troilus and Criseyde; Book V 910: He dorste nat ye dwelte lenger there
RIVERSIDE,eilen,the,v%pt_3,0,1,,data/riverside_cats/TC4_riv.cat,,Troilus and Criseyde; Book IV 331: Calkas I mene allas what eiled the
OXFORD,eilen,thee,v%pt_3,1,0,data/oxford_txts/TC4_oxford.txt,,"Troilus and Criseyde; Book IV 331: Calkas I mene, allas! what eileth thee",
RIVERSIDE,embrouden,enbroude,v%inf,0,1,,data/riverside_cats/LGW_riverside_reordered.cat,,100-ch 2351: So that she werken and enbroude couthe
RIVERSIDE,encresen,encreese,v%pr_3,0,1,,data/riverside_cats/TC2_riv.cat,,Troilus and Criseyde; Book II 1333: Right so encreese hope of what it be
BOTH,encresen,encresse,v%pr_3,1,1,data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC5_riv.cat,Troilus and Criseyde; Book V 1359: “The whos welfare and hele eek God encresse,Troilus and Criseyde; Book V 1359: The whos welfare and hele ek God encresse
BOTH,enditen,endite,v%inf,29,23,data/oxford_txts/Anelida_oxford.txt; data/oxford_txts/LGW_FPro_oxford.txt; data/oxford_txts/TC2_oxford.txt; data/oxford_txts/KnT_oxford.txt; oxford_txts/GP.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/LGW_oxford.txt; data/oxford_txts/FranT_oxford.txt; data/oxford_txts/NPT_oxford.txt; data/oxford_txts/TC1_oxford.txt; data/oxford_txts/HF_oxford.txt; data/oxford_txts/ClT_oxford.txt; data/oxford_txts/TC3_oxford.txt; data/oxford_txts/TC5_oxford.txt; data/oxford_txts/PF_oxford.txt; data/oxford_txts/MkT_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/ClT_riv.cat; data/riverside_cats/TC5_riv.cat; data/riverside_cats/TC1_riv.cat; riverside_cats/01-1-ch.cat; data/riverside_cats/NPT_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/TC3_riv.cat; data/riverside_cats/PF_riv.cat; data/riverside_cats/TC4_riv.cat; data/riverside_cats/LGW_FPro_riv.cat; data/riverside_cats/MkT_riverside_reordered.cat,"100-ch 1345: So greet a routhe° I have it for t’endite°— | 100-ch 1678: Wel can Ovide her lettre in vers endite,° | 100-ch 2356: And coude eek° rede,° and wel ynogh endite,°",100-ch 1345: So gret a routhe I have it for t endite | Troilus and Criseyde; Book II 257: With subtyl art hire tales for to endite | Troilus and Criseyde; Book II 700: As to myn auctour listeth for t endite
BOTH,enditen,endite,v%pr_1,2,2,data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat,"Troilus and Criseyde; Book II 13: That of no sentement I this endite | Troilus and Criseyde; Book II 267: Than thoughte he thus, “If I my tale endite",Troilus and Criseyde; Book II 13: That of no sentement I this endite | Troilus and Criseyde; Book II 267: Than thought he thus If I my tale endite
BOTH,enditen,endite,v%pr_pl,1,1,data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat,"Troilus and Criseyde; Book II 1162: “No? than wol I,” quod he, “so ye endite.”",Troilus and Criseyde; Book II 1162: No than wol I quod he so ye endite
RIVERSIDE,enditen,endyte,v%inf,0,6,,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/FranT_riv.cat; data/riverside_cats/HF_riv.cat; data/riverside_cats/PF_riv.cat; data/riverside_cats/Anelida_riv.cat,,100-ch 1678: Wel can Ovyde hire letter in vers endyte | 100-ch 2356: She coude eek rede and wel ynow endyte | The Franklin's Tale 1550: What sholde I lenger of this cas endyte
BOTH,enhorten,enhorte,v%inf,2,2,data/oxford_txts/KnT_oxford.txt; data/oxford_txts/LGW_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/KnT_riv.cat,"100-ch 1440: That he his nevew Jasoun wolde enhorte° | The Knight's Tale 2851: To this effect, ful wisly to enhorte°",100-ch 1440: That he his neveu Jason wolde enhorte | The Knight's Tale 2851: To this effect ful wisely to enhorte
BOTH,enspiren,enspire,v%pr_2,1,1,data/oxford_txts/TC3_oxford.txt,data/riverside_cats/TC3_riv.cat,"Troilus and Criseyde; Book III 712: “Yit blisful Venus, this night thou me enspire,”",Troilus and Criseyde; Book III 712: Yet blisful Venus this nyght thow me enspire
OXFORD,entenden,entend,v%inf,1,0,data/oxford_txts/FriT_oxford.txt,,"The Friar's Tale 1478: I wol entend to winnen,° if I may",
BOTH,entenden,entende,v%inf,4,5,data/oxford_txts/TC3_oxford.txt; data/oxford_txts/TC2_oxford.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/MkT_oxford.txt,data/riverside_cats/FriT_riv.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/TC3_riv.cat; data/riverside_cats/TC4_riv.cat; data/riverside_cats/MkT_riverside_reordered.cat,Troilus and Criseyde; Book II 853: This doth me so to vertu for to entende | Troilus and Criseyde; Book III 424: Ech to his owene nedes gan entende. | Troilus and Criseyde; Book IV 893: May to no long prologe as now entende;,Troilus and Criseyde; Book II 853: This dooth me so to vertu for t entende | The Friar's Tale 1478: I wol entende to wynnyng if I may | Troilus and Criseyde; Book III 424: Ech to his owen nedes gan entende
BOTH,entenden,entende,v%pr_3,1,1,data/oxford_txts/TC4_oxford.txt,data/riverside_cats/TC4_riv.cat,"Troilus and Criseyde; Book IV 1649: As I, that alle trouthe in yow entende.",Troilus and Criseyde; Book IV 1649: As I that alle trouthe in yow entende
RIVERSIDE,entermeten,entremette,v%inf,0,1,,data/riverside_cats/WBPro_riv.cat,,The Wife of Bath's Prologue 834: A frere wol entremette hym everemo
RIVERSIDE,envien,envie,v%pr_2,0,1,,data/riverside_cats/TC5_riv.cat,,Troilus and Criseyde; Book V 1789: But litel book no makyng thow n envie
RIVERSIDE,escheuen,eschue,v%imp,0,1,,data/riverside_cats/TC2_riv.cat,,Troilus and Criseyde; Book II 1018: But by thi lif be war and faste eschue
OXFORD,escheuen,eschuwe,v%imp,1,0,data/oxford_txts/TC2_oxford.txt,,"Troilus and Criseyde; Book II 1018: But, by thy lif, be war and faste eschuwe",
BOTH,eten,ete,v%imp,1,3,data/oxford_txts/NPT_oxford.txt,data/riverside_cats/SumT_riv.cat; data/riverside_cats/NPT_riv.cat; data/riverside_cats/MkT_riverside_reordered.cat,"The Nun's Priest's Tale 2967: Pekke hem right as they growe, and ete hem in.",The Summoner's Tale 2241: Now ete youre mete and lat the cherl go pleye | The Nun's Priest's Tale 2967: Pekke hem up right as they growe and ete hem yn | The Monk's Tale 2452: And ete ynogh right thus they to hym seyde
BOTH,eten,ete,v%inf,7,7,data/oxford_txts/MilT_oxford.txt; data/oxford_txts/MancT_oxford.txt; data/oxford_txts/BD_oxford.txt; data/oxford_txts/KnT_oxford.txt; data/oxford_txts/LGW_oxford.txt; data/oxford_txts/SqT_oxford.txt,data/riverside_cats/MancT_riv.cat; data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/SqT_riv.cat; data/riverside_cats/MilT_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/BD_riv.cat,"100-ch 1931: He wolde him ete,° ther helpeth° no defence. | The Manciple's Tale 171: Gon ete° wormes and swich wrecchednesse.° | The Squire's Tale 603: That shal ete with a feend,’ thus herde I seye.°",100-ch 1931: He wolde hym ete ther helpeth no defence | The Manciple's Tale 171: Goon ete wormes and swich wrecchednesse | The Squire's Tale 603: That shal ete with a feend thus herde I seye
BOTH,eten,ete,v%pt_pl,2,2,data/oxford_txts/BD_oxford.txt; data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat; data/riverside_cats/BD_riv.cat,"Troilus and Criseyde; Book II 1184: Tho wesshen they, and sette hem doun and ete; | Book of the Duchess 432: Ful high upon the trees, and ete",Troilus and Criseyde; Book II 1184: Tho wesshen they and sette hem down and ete | Book of the Duchess 432: Ful high upon the trees and ete
RIVERSIDE,excusen,excused,v%pt_pl,0,1,,data/riverside_cats/MerT_riv.cat,,The Merchant's Tale 1903: Excused hym by cause of his siknesse
BOTH,expounen,expounde,v%inf,3,3,data/oxford_txts/TC5_oxford.txt; data/oxford_txts/MkT_oxford.txt,data/riverside_cats/TC5_riv.cat; data/riverside_cats/MkT_riverside_reordered.cat,Troilus and Criseyde; Book V 1288: Thus shuldestow thy dreem aright expounde.” | Troilus and Criseyde; Book V 1456: Cassandre him gan right thus his dreem expounde. | The Monk's Tale 2750: And she his dreem bigan right thus° expounde.,Troilus and Criseyde; Book V 1288: Thus sholdestow thi drem aright expounde | Troilus and Criseyde; Book V 1456: Cassandre hym gan right thus his drem expounde | The Monk's Tale 2750: And she his dreem bigan right thus expounde
BOTH,expressen,expresse,v%pr_3,1,1,data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC5_riv.cat,Troilus and Criseyde; Book V 790: For wise folk in bokes it expresse,Troilus and Criseyde; Book V 790: For wise folk in bookes it expresse
BOTH,faden,fade,v%inf,2,2,data/oxford_txts/BD_oxford.txt; data/oxford_txts/Anelida_oxford.txt,data/riverside_cats/BD_riv.cat; data/riverside_cats/Anelida_riv.cat,Anelida and Arcite 19: Under the laurer° which that may not fade | Book of the Duchess 564: That maketh my hew° to fal and fade,Anelida and Arcite 19: Under the laurer which that may not fade | Book of the Duchess 564: That maketh my hewe to falle and fade
OXFORD,failen,fail,v%inf,1,0,data/oxford_txts/BD_oxford.txt,,Book of the Duchess 441: Yet shulde he fail to rekene evene,
BOTH,failen,faille,v%pr_3,2,2,data/oxford_txts/WBPro_oxford.txt; data/oxford_txts/MerT_oxford.txt,data/riverside_cats/MerT_riv.cat; data/riverside_cats/WBPro_riv.cat,"The Wife of Bath's Prologue 574: And if that faille, thanne is al ydo.° | The Merchant's Tale 1632: And shapen° that he faille nat to spede;°",The Wife of Bath's Prologue 574: And if that faille thanne is al ydo | The Merchant's Tale 1632: And shapen that he faille nat to spede
BOTH,fallen,falle,v%pr_3,6,6,data/oxford_txts/RvT_oxford.txt; data/oxford_txts/KnT_oxford.txt; data/oxford_txts/LGW_oxford.txt; data/oxford_txts/NPT_oxford.txt; data/oxford_txts/TC1_oxford.txt; data/oxford_txts/MancPro_oxford.txt,data/riverside_cats/RvT_riv.cat; data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/TC1_riv.cat; data/riverside_cats/NPT_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/MancPro_riv.cat,"100-ch 855: “If it so falle° that my Piramus | The Knight's Tale 2555: And if so falle, the chieftain be take | Prologue to the Manciple's Tale 65: And, if he falle from his capel eftsone,°",100-ch 855: If it so falle that my Piramus | The Knight's Tale 2555: And if so falle the chieftayn be take | Prologue to the Manciple's Tale 65: And if he falle from his capul eftsoone
OXFORD,fallen,fill,v%pt_pl,1,0,data/oxford_txts/FranT_oxford.txt,,"The Franklin's Tale 1219: ¶At after soper fill they° in tretee,°",
BOTH,fallen,fille,v%pt_3,1,1,data/oxford_txts/BD_oxford.txt,data/riverside_cats/KnT_riv.cat,Book of the Duchess 1320: As me met;° but thus it fille.,The Knight's Tale 2110: For if ther fille tomorwe swich a cas
OXFORD,falsen,fals,v%inf,1,0,data/oxford_txts/BD_oxford.txt,,"Book of the Duchess 1234: And never fals yow, but I mete,°",
OXFORD,faren,far,v%inf,1,0,data/oxford_txts/WBPro_oxford.txt,,"The Wife of Bath's Prologue 501: Lat him far wel, God yeve his soule reste",
BOTH,faren,fare,v%imp,4,7,data/oxford_txts/TC5_oxford.txt; data/oxford_txts/LGW_FPro_oxford.txt; data/oxford_txts/TC1_oxford.txt; data/oxford_txts/TC4_oxford.txt,data/riverside_cats/RvT_riv.cat; data/riverside_cats/TC5_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/ShipT_riv.cat,"The Legend of Good Women; Prologue F 551: And fare now wel, I charge° thee no more. | Troilus and Criseyde; Book IV 658: And fare now wel, for in this point I reste.” | Troilus and Criseyde; Book V 1421: And fare now wel, min owene swete herte!",The Shipman's Tale 279: And fare now wel myn owene cosyn deere | The Shipman's Tale 364: And fare wel deere cosyn til we meete | The Knight's Tale 2740: Ther was namoore but Fare wel have good day
BOTH,faren,fares,v%pr_pl,1,1,data/oxford_txts/RvT_oxford.txt,data/riverside_cats/RvT_riv.cat,The Reeve's Tale 4023: How fares thy faire doghter and thy wif?”,The Reeve's Tale 4023: Hou fares thy faire doghter and thy wyf
BOTH,faren,ferd,v%ppl,1,1,data/oxford_txts/TC4_oxford.txt,data/riverside_cats/TC4_riv.cat,"Troilus and Criseyde; Book IV 1094: Withouten hir, and ferd ful wel at ese?",Troilus and Criseyde; Book IV 1094: Withouten hire and ferd ful wel at ese
BOTH,fasten,faste,v%inf,1,1,data/oxford_txts/ShipT_oxford.txt,data/riverside_cats/ShipT_riv.cat,"The Shipman's Tale 215: Quod she, “what, sir, how longe wol ye faste?",The Shipman's Tale 215: Quod she What sire how longe wol ye faste
BOTH,fasten,faste,v%pr_1,1,1,data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat,"Troilus and Criseyde; Book II 1166: For love, that every other day I faste”—",Troilus and Criseyde; Book II 1166: For love that everich other day I faste
BOTH,fecchen,fecche,v%imp,1,2,data/oxford_txts/TC5_oxford.txt,data/riverside_cats/MilT_riv.cat; data/riverside_cats/TC5_riv.cat,"Troilus and Criseyde; Book V 322: The soule gide, and, whan thee list, it fecche!”",The Miller's Tale 3492: This Nicholas answerde Fecche me drynke | Troilus and Criseyde; Book V 322: The soule gyde and whan the liste it fecche
BOTH,fecchen,fecche,v%pr_3,2,3,data/oxford_txts/FriT_oxford.txt,data/riverside_cats/FriT_riv.cat,"The Friar's Tale 1544: The feend,’° quod he, ‘yow fecche body and bones | The Friar's Tale 1610: ¶“ ‘Nay than,’ quod he, ‘the foule feend me fecche",The Friar's Tale 1544: The feend quod he yow fecche body and bones | The Friar's Tale 1610: Nay thanne quod he the foule feend me fecche | The Friar's Tale 1628: The devel quod she so fecche hym er he deye
OXFORD,feden,fede,v%inf,2,0,data/oxford_txts/TC4_oxford.txt; data/oxford_txts/MLT_oxford.txt,,"Troilus and Criseyde; Book IV 339: Medled with pleintes newe, his wo to fede | The Man of Law's Tale 503: With loves° five and fisshes two to fede.",
