headword,word,tag,line_number,filename,context,text_type,source_file
haven,han,v%pr_pl,The Second Nun's Tale 484,data/oxford_txts/SNT_oxford.txt,"But thou mayst seyn,° thy princes han thee maked",OXFORD,SNT_gui_complete.csv
sacrificen,sacrifice,v%imp,The Second Nun's Tale 488,data/oxford_txts/SNT_oxford.txt,"“And sacrifice to our goddes, er thou go;",OXFORD,SNT_gui_complete.csv
connen,can,v%pr_1,The Second Nun's Tale 490,data/oxford_txts/SNT_oxford.txt,For I can suffre it as a philosophre;,OXFORD,SNT_gui_complete.csv
speken,spak,v%pt_2,The Second Nun's Tale 494,data/oxford_txts/SNT_oxford.txt,Thou seidest no word sin thou spak to me,OXFORD,SNT_gui_complete.csv
don,doon,v%inf,The Second Nun's Tale 530,data/oxford_txts/SNT_oxford.txt,That no man sholde doon man swich penaunce°,OXFORD,SNT_gui_complete.csv
haven,han,v%pr_pl,The Second Nun's Tale 536,data/oxford_txts/SNT_oxford.txt,With shetes han the blood ful faire yhent.°,OXFORD,SNT_gui_complete.csv
haven,han,v%inf,The Second Nun's Tale 543,data/oxford_txts/SNT_oxford.txt,To han respit three dayes and namo,OXFORD,SNT_gui_complete.csv
don,doon,v%pr_pl,The Second Nun's Tale 553,data/oxford_txts/SNT_oxford.txt,Men doon to Crist and to his seint servise.,OXFORD,SNT_gui_complete.csv
hoten,highte,v%pt_3,The Squire's Tale 33,data/oxford_txts/SqT_oxford.txt,"That yongest was, and highte° Canacee.",OXFORD,SqT_gui_complete.csv
tellen,tel,v%inf,The Squire's Tale 34,data/oxford_txts/SqT_oxford.txt,But for to tel yow al hir beautee,OXFORD,SqT_gui_complete.csv
durren,dar,v%pr_1,The Squire's Tale 36,data/oxford_txts/SqT_oxford.txt,I dar nat undertak so heigh a thing.,OXFORD,SqT_gui_complete.csv
undertaken,undertak,v%inf,The Squire's Tale 36,data/oxford_txts/SqT_oxford.txt,I dar nat undertak so heigh a thing.,OXFORD,SqT_gui_complete.csv
longen,longing,v%prp_abs,The Squire's Tale 39,data/oxford_txts/SqT_oxford.txt,That coude° his colours° longing for° that art,OXFORD,SqT_gui_complete.csv
ben,am,v%pr_1,The Squire's Tale 41,data/oxford_txts/SqT_oxford.txt,"I am non swich,° I moot° speke as I can.",OXFORD,SqT_gui_complete.csv
moten,moot,v%pr_1,The Squire's Tale 41,data/oxford_txts/SqT_oxford.txt,"I am non swich,° I moot° speke as I can.",OXFORD,SqT_gui_complete.csv
don,don,v%inf,The Squire's Tale 46,data/oxford_txts/SqT_oxford.txt,Don crien° thurghout Sarray his citee,OXFORD,SqT_gui_complete.csv
haven,han,v%inf,The Squire's Tale 56,data/oxford_txts/SqT_oxford.txt,Him semed° han geten hem° protecciouns,OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_1,The Squire's Tale 67,data/oxford_txts/SqT_oxford.txt,"I wol nat tellen of hir strange° sewes,°",OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_1,The Squire's Tale 73,data/oxford_txts/SqT_oxford.txt,"I wol nat tarien° yow, for it is prime,°",OXFORD,SqT_gui_complete.csv
connen,can,v%pr_1,The Squire's Tale 105,data/oxford_txts/SqT_oxford.txt,Albeit that° I can nat soune° his style,OXFORD,SqT_gui_complete.csv
connen,can,v%pr_1,The Squire's Tale 106,data/oxford_txts/SqT_oxford.txt,Ne can nat climben over so heigh a stile,OXFORD,SqT_gui_complete.csv
mouen,may,v%pr_pl,The Squire's Tale 143,data/oxford_txts/SqT_oxford.txt,"This mirour and this ring, that ye may see",OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_pl,The Squire's Tale 146,data/oxford_txts/SqT_oxford.txt,"¶“The vertu° of the ring, if ye wol here",OXFORD,SqT_gui_complete.csv
seien,seyn,v%inf,The Squire's Tale 175,data/oxford_txts/SqT_oxford.txt,"This is to seyn, the swerd and the mirour",OXFORD,SqT_gui_complete.csv
connen,can,v%pr_pl,The Squire's Tale 185,data/oxford_txts/SqT_oxford.txt,"And cause° why, for they can nat the craft.°",OXFORD,SqT_gui_complete.csv
beren,born,v%ppl,The Squire's Tale 226,data/oxford_txts/SqT_oxford.txt,"That born was up into the maister tour,°",OXFORD,SqT_gui_complete.csv
seien,seiden,v%pt_3,The Squire's Tale 231,data/oxford_txts/SqT_oxford.txt,"And seiden, that in Rome was swich oon.",OXFORD,SqT_gui_complete.csv
haven,han,v%pr_pl,The Squire's Tale 236,data/oxford_txts/SqT_oxford.txt,¶And othere folk han wondred on the swerd,OXFORD,SqT_gui_complete.csv
mouen,may,v%pr_pl,The Squire's Tale 241,data/oxford_txts/SqT_oxford.txt,Right in swich wise as men may with the swerd,OXFORD,SqT_gui_complete.csv
haven,han,v%pr_pl,The Squire's Tale 242,data/oxford_txts/SqT_oxford.txt,Of which right now ye han yourselven herd.,OXFORD,SqT_gui_complete.csv
heren,herd,v%pt_pl,The Squire's Tale 249,data/oxford_txts/SqT_oxford.txt,"Of craft of ringes° herd they never non,°",OXFORD,SqT_gui_complete.csv
seien,seyn,v%pr_pl,The Squire's Tale 252,data/oxford_txts/SqT_oxford.txt,"Thus seyn the peple, and drawen hem apart.°",OXFORD,SqT_gui_complete.csv
haven,han,v%pr_pl,The Squire's Tale 256,data/oxford_txts/SqT_oxford.txt,"But for° they° han yknowen it so fern,°",OXFORD,SqT_gui_complete.csv
ascenden,ascending,v%prp,The Squire's Tale 264,data/oxford_txts/SqT_oxford.txt,And yet° ascending was the beest° royal,OXFORD,SqT_gui_complete.csv
haven,han,v%inf,The Squire's Tale 280,data/oxford_txts/SqT_oxford.txt,He moste han knowen love and his° servise,OXFORD,SqT_gui_complete.csv
shulen,shall,v%pr_1,The Squire's Tale 317,data/oxford_txts/SqT_oxford.txt,Which I shall telle yow bitwix us two.,OXFORD,SqT_gui_complete.csv
don,doon,v%inf,The Squire's Tale 323,data/oxford_txts/SqT_oxford.txt,And he wol doun descende and doon your wille;,OXFORD,SqT_gui_complete.csv
trillen,trille,v%imp,The Squire's Tale 328,data/oxford_txts/SqT_oxford.txt,"Trille this pin, and he wol vanishe anoon",OXFORD,SqT_gui_complete.csv
shulen,shal,v%pr_1,The Squire's Tale 332,data/oxford_txts/SqT_oxford.txt,In swich a gise° as I shal to yow seyn,OXFORD,SqT_gui_complete.csv
riden,ride,v%imp,The Squire's Tale 334,data/oxford_txts/SqT_oxford.txt,"Ride whan yow list, ther is namore° to done.”",OXFORD,SqT_gui_complete.csv
haven,han,v%inf,The Squire's Tale 349,data/oxford_txts/SqT_oxford.txt,That muchel° drink and labour wolde han reste;,OXFORD,SqT_gui_complete.csv
galpen,galping,v%prp_abs,The Squire's Tale 354,data/oxford_txts/SqT_oxford.txt,"They thanken him galping, by two, by three",OXFORD,SqT_gui_complete.csv
shulen,shul,v%pr_pl,The Squire's Tale 357,data/oxford_txts/SqT_oxford.txt,Hir dremes shul nat been ytold for° me;,OXFORD,SqT_gui_complete.csv
gon,gon,v%inf,The Squire's Tale 364,data/oxford_txts/SqT_oxford.txt,"To gon to reste, sone after it was eve;",OXFORD,SqT_gui_complete.csv
willen,wil,v%pr_pl,The Squire's Tale 378,data/oxford_txts/SqT_oxford.txt,"And seide, “Madame, whider° wil ye goon",OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_1,The Squire's Tale 380,data/oxford_txts/SqT_oxford.txt,"“I wol,” quod she, “arise, for me leste°",OXFORD,SqT_gui_complete.csv
haven,han,v%inf,The Squire's Tale 421,data/oxford_txts/SqT_oxford.txt,"That nolde° han wept, if that he wepe coude",OXFORD,SqT_gui_complete.csv
faren,ferde,v%pt_3,The Squire's Tale 461,data/oxford_txts/SqT_oxford.txt,That ferde° with° himself so pitously.°,OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_1,The Squire's Tale 494,data/oxford_txts/SqT_oxford.txt,"Min harm° I wol confessen, er I pace.”°",OXFORD,SqT_gui_complete.csv
haven,han,v%inf,The Squire's Tale 510,data/oxford_txts/SqT_oxford.txt,"That no wight coude han wend° he coude feine,°",OXFORD,SqT_gui_complete.csv
seien,seyn,v%inf,The Squire's Tale 532,data/oxford_txts/SqT_oxford.txt,"This is to seyn, that, after° his desert,°",OXFORD,SqT_gui_complete.csv
seien,seyn,v%inf,The Squire's Tale 569,data/oxford_txts/SqT_oxford.txt,"This is to seyn, my wil obeyed his wil",OXFORD,SqT_gui_complete.csv
kepen,keping,v%prp_abs,The Squire's Tale 571,data/oxford_txts/SqT_oxford.txt,Keping the boundes of my worship° ever.,OXFORD,SqT_gui_complete.csv
shulen,shal,v%pr_1,The Squire's Tale 573,data/oxford_txts/SqT_oxford.txt,"As him, God woot! ne never shal namo.°",OXFORD,SqT_gui_complete.csv
connen,can,v%pr_1,The Squire's Tale 580,data/oxford_txts/SqT_oxford.txt,I can nat make of it discripcioun;,OXFORD,SqT_gui_complete.csv
ben,am,v%pr_1,The Squire's Tale 597,data/oxford_txts/SqT_oxford.txt,"And seide him° thus: ‘Lo, I am youres al;",OXFORD,SqT_gui_complete.csv
seien,sey,v%inf,The Squire's Tale 600,data/oxford_txts/SqT_oxford.txt,"Who can sey bet than he, who can do werse?",OXFORD,SqT_gui_complete.csv
repairen,repairing,v%prp_abs,The Squire's Tale 608,data/oxford_txts/SqT_oxford.txt,"That ‘Alle thing, repairing° to his kinde,°",OXFORD,SqT_gui_complete.csv
seien,seyn,v%pr_pl,The Squire's Tale 609,data/oxford_txts/SqT_oxford.txt,"Gladeth himself’; thus seyn men, as I gesse;",OXFORD,SqT_gui_complete.csv
don,doon,v%pr_pl,The Squire's Tale 611,data/oxford_txts/SqT_oxford.txt,As briddes doon that men in cages fede.,OXFORD,SqT_gui_complete.csv
ben,am,v%pr_1,The Squire's Tale 629,data/oxford_txts/SqT_oxford.txt,And I am lorn° withouten remedie!”,OXFORD,SqT_gui_complete.csv
lesen,lorn,v%ppl,The Squire's Tale 629,data/oxford_txts/SqT_oxford.txt,And I am lorn° withouten remedie!”,OXFORD,SqT_gui_complete.csv
mouen,might,v%pt_pl,The Squire's Tale 634,data/oxford_txts/SqT_oxford.txt,They niste° how they might the faucon glade.°,OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_1,The Squire's Tale 652,data/oxford_txts/SqT_oxford.txt,I wol namore as now° speke of hir ring,OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_1,The Squire's Tale 658,data/oxford_txts/SqT_oxford.txt,But hennesforth° I wol my proces° holde,OXFORD,SqT_gui_complete.csv
willen,wol,v%pr_pl,Troilus and Criseyde; Book III 24,data/oxford_txts/TC3_oxford.txt,"Algates, hem that ye wol sette afire",OXFORD,TC3_gui_complete.csv
don,do,v%pr_pl,Troilus and Criseyde; Book III 26,data/oxford_txts/TC3_oxford.txt,"Ye do hem corteis be, fresshe and benigne",OXFORD,TC3_gui_complete.csv
connen,can,v%pr_pl,Troilus and Criseyde; Book III 33,data/oxford_txts/TC3_oxford.txt,Whan they can not construe how it may jo,OXFORD,TC3_gui_complete.csv
haven,han,v%pr_pl,Troilus and Criseyde; Book III 36,data/oxford_txts/TC3_oxford.txt,Ye folk a lawe han set in universe,OXFORD,TC3_gui_complete.csv
ben,am,v%pr_1,Troilus and Criseyde; Book III 41,data/oxford_txts/TC3_oxford.txt,"Whos clerk I am, so techeth me devise",OXFORD,TC3_gui_complete.csv
don,do,v%pr_pl,Troilus and Criseyde; Book III 44,data/oxford_txts/TC3_oxford.txt,"Inhelde, and do me shewe of thy swetnesse.—",OXFORD,TC3_gui_complete.csv
moten,mot,v%pr_1,Troilus and Criseyde; Book III 47,data/oxford_txts/TC3_oxford.txt,How I mot telle anonright the gladnesse,OXFORD,TC3_gui_complete.csv
sen,see,v%imp,Troilus and Criseyde; Book III 62,data/oxford_txts/TC3_oxford.txt,"See, who is here yow comen to visite;",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_1,Troilus and Criseyde; Book III 69,data/oxford_txts/TC3_oxford.txt,"“Ye, swete herte? allas, I may nought rise",OXFORD,TC3_gui_complete.csv
don,do,v%pr_pl,Troilus and Criseyde; Book III 73,data/oxford_txts/TC3_oxford.txt,"“O, for the love of God, do ye not so",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_1,Troilus and Criseyde; Book III 90,data/oxford_txts/TC3_oxford.txt,"His resons, as I may my rimes holde",OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 91,data/oxford_txts/TC3_oxford.txt,"I yow wol telle, as techen bokes olde.",OXFORD,TC3_gui_complete.csv
durren,dar,v%pr_1,Troilus and Criseyde; Book III 104,data/oxford_txts/TC3_oxford.txt,And though I dar ne can unto yow pleine,OXFORD,TC3_gui_complete.csv
don,doon,v%inf,Troilus and Criseyde; Book III 109,data/oxford_txts/TC3_oxford.txt,"Right sone, I trowe, and doon your herte an ese",OXFORD,TC3_gui_complete.csv
haven,han,v%pr_pl,Troilus and Criseyde; Book III 111,data/oxford_txts/TC3_oxford.txt,But sin that ye han herd me somwhat seye,OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 114,data/oxford_txts/TC3_oxford.txt,It mighte han maad an herte of stoon to rewe;,OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_1,Troilus and Criseyde; Book III 131,data/oxford_txts/TC3_oxford.txt,And thanne agreën that I may ben he,OXFORD,TC3_gui_complete.csv
don,doon,v%inf,Troilus and Criseyde; Book III 133,data/oxford_txts/TC3_oxford.txt,In trouthe alwey to doon yow my servise,OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 136,data/oxford_txts/TC3_oxford.txt,"And I to han, right as yow list, comfort",OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 159,data/oxford_txts/TC3_oxford.txt,"“Min honour sauf, I wol wel trewely",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_1,Troilus and Criseyde; Book III 166,data/oxford_txts/TC3_oxford.txt,Ay kepe; and if I may don him gladnesse,OXFORD,TC3_gui_complete.csv
shulen,shul,v%pr_pl,Troilus and Criseyde; Book III 171,data/oxford_txts/TC3_oxford.txt,Ye shul namore han soverainetee,OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 171,data/oxford_txts/TC3_oxford.txt,Ye shul namore han soverainetee,OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 178,data/oxford_txts/TC3_oxford.txt,"And I shal trewely, with al my might",OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_pl,Troilus and Criseyde; Book III 181,data/oxford_txts/TC3_oxford.txt,For every wo ye shal recovere a blisse”;,OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_pl,Troilus and Criseyde; Book III 191,data/oxford_txts/TC3_oxford.txt,Forwhy this folk wol comen up anoon,OXFORD,TC3_gui_complete.csv
haven,han,v%pr_pl,Troilus and Criseyde; Book III 192,data/oxford_txts/TC3_oxford.txt,"That han the lettre red; lo, I hem here.",OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 196,data/oxford_txts/TC3_oxford.txt,For I ful wel shal shape your cominge;,OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 238,data/oxford_txts/TC3_oxford.txt,"To Troilus, as I shal yow devise.",OXFORD,TC3_gui_complete.csv
languishen,languisshing,v%prp_abs,Troilus and Criseyde; Book III 241,data/oxford_txts/TC3_oxford.txt,When I thee saw so languisshing to yere,OXFORD,TC3_gui_complete.csv
don,doon,v%inf,Troilus and Criseyde; Book III 251,data/oxford_txts/TC3_oxford.txt,Which that I nevere doon shal eft for other,OXFORD,TC3_gui_complete.csv
durren,dar,v%pr_1,Troilus and Criseyde; Book III 269,data/oxford_txts/TC3_oxford.txt,"For that man is unbore, I dar wel swere",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_1,Troilus and Criseyde; Book III 272,data/oxford_txts/TC3_oxford.txt,May thenken that she is my nece dere,OXFORD,TC3_gui_complete.csv
seien,seyn,v%inf,Troilus and Criseyde; Book III 278,data/oxford_txts/TC3_oxford.txt,"And seyn, that I the worste trecherie",OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 281,data/oxford_txts/TC3_oxford.txt,"“Wherfore, er I wol ferther goon a pas",OXFORD,TC3_gui_complete.csv
ben,be,v%imp_2,Troilus and Criseyde; Book III 285,data/oxford_txts/TC3_oxford.txt,"And be nought wrooth, though I thee ofte preye",OXFORD,TC3_gui_complete.csv
seien,seid,v%pt_pl,Troilus and Criseyde; Book III 301,data/oxford_txts/TC3_oxford.txt,Al seid men sooth as often as they gabbe.,OXFORD,TC3_gui_complete.csv
maken,made,v%ppl,Troilus and Criseyde; Book III 303,data/oxford_txts/TC3_oxford.txt,Hastow made many a lady bright of hewe,OXFORD,TC3_gui_complete.csv
ben,am,v%pr_1,Troilus and Criseyde; Book III 312,data/oxford_txts/TC3_oxford.txt,And I am sworn to holden it secree,OXFORD,TC3_gui_complete.csv
sweren,sworn,v%ppl,Troilus and Criseyde; Book III 312,data/oxford_txts/TC3_oxford.txt,And I am sworn to holden it secree,OXFORD,TC3_gui_complete.csv
gon,go,v%pr_1,Troilus and Criseyde; Book III 313,data/oxford_txts/TC3_oxford.txt,And after I go telle it two or three;,OXFORD,TC3_gui_complete.csv
loken,loke,v%imp,Troilus and Criseyde; Book III 316,data/oxford_txts/TC3_oxford.txt,"“Now loke thanne, if they be nought to blame",OXFORD,TC3_gui_complete.csv
shulen,i,v%pr_1,Troilus and Criseyde; Book III 317,data/oxford_txts/TC3_oxford.txt,"Swich maner folk; what shal I clepe hem, what",OXFORD,TC3_gui_complete.csv
clepen,hem,v%inf,Troilus and Criseyde; Book III 317,data/oxford_txts/TC3_oxford.txt,"Swich maner folk; what shal I clepe hem, what",OXFORD,TC3_gui_complete.csv
seien,sey,v%pr_1,Troilus and Criseyde; Book III 323,data/oxford_txts/TC3_oxford.txt,“I sey not this for no mistrust of yow,OXFORD,TC3_gui_complete.csv
ben,be,v%imp,Troilus and Criseyde; Book III 332,data/oxford_txts/TC3_oxford.txt,"And keep thee clos, and be now of good chere",OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 334,data/oxford_txts/TC3_oxford.txt,I shal thy proces sette in swich a kinde,OXFORD,TC3_gui_complete.csv
witen,woot,v%pr_1,Troilus and Criseyde; Book III 337,data/oxford_txts/TC3_oxford.txt,"“For wel I woot, thou menest wel, parde;",OXFORD,TC3_gui_complete.csv
durren,dar,v%pr_1,Troilus and Criseyde; Book III 338,data/oxford_txts/TC3_oxford.txt,Therfore I dar this fully undertake.,OXFORD,TC3_gui_complete.csv
haven,have,v%imp,Troilus and Criseyde; Book III 341,data/oxford_txts/TC3_oxford.txt,"Have now good night, I may no lenger wake;",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_1,Troilus and Criseyde; Book III 341,data/oxford_txts/TC3_oxford.txt,"Have now good night, I may no lenger wake;",OXFORD,TC3_gui_complete.csv
heren,hering,v%prp_abs,Troilus and Criseyde; Book III 346,data/oxford_txts/TC3_oxford.txt,Hering th’effect of Pandarus biheste?,OXFORD,TC3_gui_complete.csv
ben,am,v%pr_1,Troilus and Criseyde; Book III 376,data/oxford_txts/TC3_oxford.txt,"As I am mortal, if I late or yerne",OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 384,data/oxford_txts/TC3_oxford.txt,"Upon the goddes alle, I wol thee swere",OXFORD,TC3_gui_complete.csv
connen,can,v%pr_1,Troilus and Criseyde; Book III 390,data/oxford_txts/TC3_oxford.txt,"I can no more, but that I wol thee serve",OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 390,data/oxford_txts/TC3_oxford.txt,"I can no more, but that I wol thee serve",OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 395,data/oxford_txts/TC3_oxford.txt,"As I shal seyn; me thoughte, by thy speche",OXFORD,TC3_gui_complete.csv
seien,seyn,v%inf,Troilus and Criseyde; Book III 395,data/oxford_txts/TC3_oxford.txt,"As I shal seyn; me thoughte, by thy speche",OXFORD,TC3_gui_complete.csv
ben,am,v%pr_1,Troilus and Criseyde; Book III 398,data/oxford_txts/TC3_oxford.txt,"I am nought wood, al if I lewed be;",OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 413,data/oxford_txts/TC3_oxford.txt,"To han for thin, and lat me thanne allone.",OXFORD,TC3_gui_complete.csv
haven,have,v%imp,Troilus and Criseyde; Book III 420,data/oxford_txts/TC3_oxford.txt,"Have now good night, and lat us bothe slepe.”",OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 431,data/oxford_txts/TC3_oxford.txt,"Ne sholde han wist, by word or by manere",OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 445,data/oxford_txts/TC3_oxford.txt,And wolde of that him missed han ben sesed;,OXFORD,TC3_gui_complete.csv
witen,wot,v%pr_1,Troilus and Criseyde; Book III 447,data/oxford_txts/TC3_oxford.txt,"For ought I wot, no more than was he;",OXFORD,TC3_gui_complete.csv
willen,wold,v%pt_pl,Troilus and Criseyde; Book III 455,data/oxford_txts/TC3_oxford.txt,"So as they dorste, how they wold procede.",OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 511,data/oxford_txts/TC3_oxford.txt,That it befel right as I shal yow telle,OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 513,data/oxford_txts/TC3_oxford.txt,Right for the fin that I shal speke of here,OXFORD,TC3_gui_complete.csv
maken,made,v%ppl,Troilus and Criseyde; Book III 535,data/oxford_txts/TC3_oxford.txt,Hadde hereupon eek made gret ordenaunce,OXFORD,TC3_gui_complete.csv
haven,han,v%pr_pl,Troilus and Criseyde; Book III 553,data/oxford_txts/TC3_oxford.txt,Ye han wel herd the fin of his entente.,OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_pl,Troilus and Criseyde; Book III 564,data/oxford_txts/TC3_oxford.txt,"This moot be doon, ye shal be ther anoon.”",OXFORD,TC3_gui_complete.csv
shulen,i,v%pt_1,Troilus and Criseyde; Book III 593,data/oxford_txts/TC3_oxford.txt,As Tantalus!” What sholde I more telle?,OXFORD,TC3_gui_complete.csv
don,doon,v%inf,Troilus and Criseyde; Book III 633,data/oxford_txts/TC3_oxford.txt,“To doon min herte as now so greet an ese,OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 645,data/oxford_txts/TC3_oxford.txt,"“I wol,” quod she, “min uncle leef and dere",OXFORD,TC3_gui_complete.csv
ben,am,v%pr_1,Troilus and Criseyde; Book III 647,data/oxford_txts/TC3_oxford.txt,I am right glad with yow to dwellen here;,OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 655,data/oxford_txts/TC3_oxford.txt,He wolde han hyed hir to bedde fain,OXFORD,TC3_gui_complete.csv
witen,woot,v%pr_pl,Troilus and Criseyde; Book III 659,data/oxford_txts/TC3_oxford.txt,"“And nece, woot ye wher I wol yow leye",OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 659,data/oxford_txts/TC3_oxford.txt,"“And nece, woot ye wher I wol yow leye",OXFORD,TC3_gui_complete.csv
shulen,shul,v%pr_pl,Troilus and Criseyde; Book III 660,data/oxford_txts/TC3_oxford.txt,For that we shul not liggen fer asonder,OXFORD,TC3_gui_complete.csv
shulen,shul,v%pr_pl,Troilus and Criseyde; Book III 667,data/oxford_txts/TC3_oxford.txt,Shul youre wommen slepen wel and softe;,OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 668,data/oxford_txts/TC3_oxford.txt,And there besidin shal yourselve be;,OXFORD,TC3_gui_complete.csv
gon,go,v%pr_pl,Troilus and Criseyde; Book III 672,data/oxford_txts/TC3_oxford.txt,"So go we slepe, I trowe it be the beste.”",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_pl,Troilus and Criseyde; Book III 686,data/oxford_txts/TC3_oxford.txt,"That, whom yow liste of hem, ye may here calle.”",OXFORD,TC3_gui_complete.csv
leten,late,v%imp,Troilus and Criseyde; Book III 693,data/oxford_txts/TC3_oxford.txt,And late hem slepe that abedde were.,OXFORD,TC3_gui_complete.csv
maken,make,v%imp,Troilus and Criseyde; Book III 703,data/oxford_txts/TC3_oxford.txt,"And seide, “Make thee redy right anon",OXFORD,TC3_gui_complete.csv
dreden,drede,v%imp,Troilus and Criseyde; Book III 708,data/oxford_txts/TC3_oxford.txt,"Quod Pandarus, “Ne drede thee never a del",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_1,Troilus and Criseyde; Book III 719,data/oxford_txts/TC3_oxford.txt,"Of grace, and that I glad ayein may turne",OXFORD,TC3_gui_complete.csv
folwen,folowe,v%imp,Troilus and Criseyde; Book III 739,data/oxford_txts/TC3_oxford.txt,"And folowe me, for I wol han the wite;",OXFORD,TC3_gui_complete.csv
haven,han,v%inf,Troilus and Criseyde; Book III 739,data/oxford_txts/TC3_oxford.txt,"And folowe me, for I wol han the wite;",OXFORD,TC3_gui_complete.csv
shulen,shul,v%pr_pl,Troilus and Criseyde; Book III 771,data/oxford_txts/TC3_oxford.txt,"“Now nece min, ye shul wel understonde,”",OXFORD,TC3_gui_complete.csv
witen,woot,v%pr_pl,Troilus and Criseyde; Book III 779,data/oxford_txts/TC3_oxford.txt,"Ye woot yourself, as wel as any wight",OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 791,data/oxford_txts/TC3_oxford.txt,And by that feith I shal Priam of Troye!,OXFORD,TC3_gui_complete.csv
don,doon,v%pr_pl,Troilus and Criseyde; Book III 805,data/oxford_txts/TC3_oxford.txt,"What harm they doon, for now live I to longe!",OXFORD,TC3_gui_complete.csv
shulen,shal,v%pr_1,Troilus and Criseyde; Book III 810,data/oxford_txts/TC3_oxford.txt,I shal therof as ful excusen me,OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_1,Troilus and Criseyde; Book III 834,data/oxford_txts/TC3_oxford.txt,“Wherfore I wol deffine in this matere,OXFORD,TC3_gui_complete.csv
witen,woot,v%pr_pl,Troilus and Criseyde; Book III 844,data/oxford_txts/TC3_oxford.txt,"“Ye woot, ye nece min,” quod he, “what is;",OXFORD,TC3_gui_complete.csv
mouen,may,v%pr_pl,Troilus and Criseyde; Book III 846,data/oxford_txts/TC3_oxford.txt,"For ye may quenche al this, if that yow leste",OXFORD,TC3_gui_complete.csv
seien,seyn,v%inf,Troilus and Criseyde; Book III 865,data/oxford_txts/TC3_oxford.txt,"That dar I seyn, now there is but we two;",OXFORD,TC3_gui_complete.csv
witen,woot,v%pr_1,Troilus and Criseyde; Book III 866,data/oxford_txts/TC3_oxford.txt,"But wel I woot, that ye wol not do so;",OXFORD,TC3_gui_complete.csv
willen,wol,v%pr_pl,Troilus and Criseyde; Book III 866,data/oxford_txts/TC3_oxford.txt,"But wel I woot, that ye wol not do so;",OXFORD,TC3_gui_complete.csv
loken,loke,v%imp,Troilus and Criseyde; Book III 876,data/oxford_txts/TC3_oxford.txt,"Now loke thanne, if ye, that been his love",OXFORD,TC3_gui_complete.csv
shulen,shul,v%pr_pl,Troilus and Criseyde; Book III 877,data/oxford_txts/TC3_oxford.txt,Shul putte al night his lif in jupartie,OXFORD,TC3_gui_complete.csv
